tag	event	A	B
mcf004	46	first	second
mcf007	43	second	first
mcf011	42	second	first
mcf012	37	second	first
mcf016	49	first	second
mcf029	50	second	first
mcf041	26	first	second
mcf052	17	first	second
mcf053	22	first	second
mcf054	35	first	second
mcf054	49	first	second
mcf056	50	first	second
mcf073	12	second	first
mcf078	30	second	first
mcf078	47	first	second
mcf079	28	first	second
mcf083	2	second	first
mcf089	13	second	first
mcf094	12	second	first
mcf099	19	first	second
mcf100	39	second	first
mcf104	2	first	second
mcf106	32	first	second
mcf122	21	second	first
mcf136	1	second	first
mcf137	49	first	second
mcf138	23	first	second
mcf139	47	second	first
mcf143	29	first	second
mcf151	7	second	first
