run	subrun	event	hits_numu	hits_nue	hits_Enu	hits_x	hits_y	hits_z	lgop_numu	lgop_nue	lgop_Enu	lgop_x	lgop_y	lgop_z	truth_signal
18255	1	273559	-999.000	-999.000	0.0	0.0	0.0	0.0	3.380	-15.000	792.9	32.6	53.8	248.8	
18255	1	476900	-999.000	-999.000	0.0	0.0	0.0	0.0	1.577	-15.000	424.5	15.4	192.8	9.0	
