sample	run	subrun	event	kind	class	numu_A	numu_B	Enu_base	Enu_hits	dvtx_cm	main_jacc	input_jacc	npts_in_A	npts_in_B	onlyA	onlyB	vias	mainlen_base	mainlen_hits	flash_base	flash_hits	dt01_base	dt01_hits	paired_base	paired_hits	vmoved_base	vmoved_hits	nt_base	nt_hits	vdef_base	vdef_hits	vtx_base	vtx_hits	pid_base	pid_hits	beamfl_base	beamfl_hits	bdt_changed
mcp2k	18255	1	53749	GAINED	QL-main	-999.0	1.5994	0.0	871.3		0.0	0.0	0	4181	0	4181	main1,own8	0.0	125.7		1.7924/19055.1/tpc1		25	0	1		0		4		0		68.4,-75.0,189.6		pi213 mu165 mu50 e5 e1 e18 e1 e1 e1 e3 mu162 mu5	tpc0:1.807/666/g8	tpc0:1.817/722/g5;tpc1:1.792/19055/g5	
mcp2k	18255	1	58006	LOST	fragment	0.9872	0.7372	469.0	468.4	0.0	1.0	0.98	1379	1351	28	0	own2	43.8	43.8	0.6429/19970.5/tpc1	0.6472/20051.3/tpc1	25	32	1	1	0	0	8	8	0	0	161.3,-20.4,143.3	161.3,-20.4,143.3	mu119 e47 e39 e153 e1 p4	mu119 e54 e31 e153 e1 p4	tpc0:0.668/346/g6;tpc1:0.643/19971/g6	tpc0:0.679/334/g5;tpc1:0.647/20051/g5	ssm_67,shw_sp_54,cosmict_7,numu_cc_6,numu_2,sel_1
mcp2k	18255	1	66944	GAINED	QL-main	0.0342	1.774	355.7	414.2	71.3	0.0	0.469	739	1576	0	837	main1,own2	56.2	100.1	1.5583/11394.9/tpc0	1.5655/13307.5/tpc0	471	469	0	0	0	0	8	4	0	0	-100.3,-61.2,370.4	-98.0,-62.7,441.6	pi155 e58 e2 p1	mu251 e53 e1 e1 e2 p1	tpc0:1.558/11395/g4;tpc1:1.087/494/g1000019	tpc0:1.566/13308/g9;tpc1:1.097/550/g1000010	shw_sp_147,cosmict_12,numu_cc_12,nu_3,numu_2,neutrino_1,sel_1
mcp2k	18255	1	67868	GAINED	fragment	0.4746	3.2525	1089.7	1016.9	0.2	1.0	0.989	1996	1974	22	0	own3	105.5	105.5	1.9933/24927.3/tpc1	2.0010/24982.1/tpc1	26	30	1	1	0	0	8	4	0	0	152.5,45.2,345.6	152.5,45.0,345.5	p5 p74 p64 pi268 p296 pi32 ?0 e41 e1 e0 e1 e1 e2	pi33 p74 p39 mu257 p297 ?0 e41 e1 e0 e1 e1 e2	tpc0:2.019/302/g10;tpc1:1.993/24927/g10	tpc0:2.031/331/g8;tpc1:2.001/24982/g8	numu_cc_14,cosmict_10,shw_sp_8,nu_3,numu_2,neutrino_1
mcp2k	18255	1	71642	LOST	PR-only	2.2639	0.636	1522.4	1796.5	0.3	1.0	1.0	4826	4826	0	0		138.4	138.4	0.6301/28262.0/tpc1	0.6406/28479.9/tpc1	1	1	1	1	0	0	4	8	0	0	23.5,53.3,138.9	23.2,53.2,138.8	pi95 mu213 p112 e624 e51 e78 e84 p4 e1 e5 e3	pi225 pi52 e255 pi103 e51 e78 e28 e119 e3 e2 e0 e2 e1 p4 e3 e251 e199	tpc0:0.631/13809/g2;tpc1:0.630/28262/g2	tpc0:0.640/13910/g7;tpc1:0.641/28480/g7	shw_sp_172,ssm_143,br88,mip45,tro28,stw22,lol19,cosmict_15,pio14,vis13,numu_cc_12,sig11,spt10,stem10,anc8,mgo_6,mgt_6,lem6,cme6,hol5,nu_3,gap3,numu_2,neutrino_1,nue_1
mcp2k	18255	1	77846	GAINED	fragment	-0.5595	3.1754	156.7	639.8	13.8	1.0	0.989	1879	1858	21	0	own2	164.0	164.0	1.9693/9180.8/tpc0	1.9797/9244.3/tpc0	28		1	0	0	0	4	4	0	0	-14.4,92.3,260.7	-23.4,98.1,251.9	p137 e1 p1 p1 e1 p4 e3	mu375 p139 e1 p1 p1 e1 p4 e3	tpc0:1.969/9181/g4;tpc1:1.997/956/g4	tpc0:1.980/9244/g8	cosmict_16,numu_cc_14,shw_sp_12,nu_3,numu_3,sel_1
mcp2k	18255	1	105338	GAINED	QL-main	-999.0	1.4212	0.0	676.8		0.0	0.0	0	1149	0	1149	main1,own1	0.0	123.3		1.2539/17457.8/tpc0		1028	0	0		0		4		0		-105.0,-91.9,189.6		p395 mu168	tpc1:0.220/689/g0	tpc0:1.254/17458/g9;tpc1:0.225/733/g8	
mcp2k	18255	1	275385	GAINED	PR-only	-0.3046	4.2156	240.9	481.5	0.0	1.0	1.0	1865	1865	0	0		151.6	151.6	0.6898/34852.4/tpc0	0.6921/34999.8/tpc0	15	25	1	1	0	0	4	4	0	0	-156.0,-100.8,317.5	-156.0,-100.8,317.5	mu125 e1 p3 e2 e2 e1 e1	mu367 p3 e2 e2 e1 e1	tpc0:0.690/34852/g0;tpc1:0.705/419/g0	tpc0:0.692/35000/g8;tpc1:0.717/446/g8	cosmict_22,numu_cc_13,numu_4,shw_sp_2,sel_1
mcp2k	18255	1	281985	LOST	PR-only	2.2546	0.3951	521.9	292.1	50.8	1.0	1.0	1271	1271	0	0		67.7	67.7	1.4693/3865.1/tpc1	1.4816/3925.2/tpc1	21	20	1	1	0	0	4	8	0	0	47.0,76.9,471.4	41.8,26.4,470.5	mu151 p215 e12 e28 p2	mu145 e11 e28 p2	tpc0:1.491/199/g15;tpc1:1.469/3865/g15	tpc0:1.502/247/g13;tpc1:1.482/3925/g13	shw_sp_136,numu_cc_13,cosmict_11,nu_3,numu_2,neutrino_1,sel_1
mcp2k	18255	1	293536	GAINED	PR-only	-1.0662	0.9827	249.9	342.1	0.7	1.0	1.0	930	930	0	0		32.7	32.7	1.5525/5654.9/tpc0	1.5610/5686.7/tpc0	3	5	1	1	0	0	8	8	0	0	-8.5,163.4,93.8	-8.3,162.8,93.5	e40 e142 e59 e1 e1 e7	p108 e151 e66 e1 e1 e7	tpc0:1.553/5655/g6;tpc1:1.555/1402/g6	tpc0:1.561/5687/g8;tpc1:1.566/1493/g8	ssm_183,shw_sp_125,br54,mip43,tro19,lol15,vis13,spt10,stem9,anc9,stw8,numu_cc_8,hol7,pio5,sig5,gap4,lem4,nu_3,mgo_3,mgt_3,cme3,numu_2,sel_1,nue_1
