fileidx	file	entry	run	subrun	event
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	0	18269	1	197314
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	1	18269	1	197600
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	2	18269	1	197710
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	3	18269	1	197776
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	4	18269	1	197864
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	5	18269	1	197908
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	6	18269	1	198216
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	7	18269	1	198260
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	8	18269	1	198854
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	9	18269	1	199646
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	10	18269	1	200218
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	11	18269	1	200460
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	12	18269	1	201208
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	13	18269	1	201582
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	14	18269	1	202022
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	15	18269	1	202176
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	16	18269	1	203540
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	17	18269	1	203738
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	18	18269	1	203782
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	19	18269	1	204838
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	20	18269	1	204860
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	21	18269	1	205124
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	22	18269	1	205234
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	23	18269	1	205300
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	24	18269	1	206026
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	25	18269	1	206378
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	26	18269	1	206862
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	27	18269	1	207236
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	28	18269	1	207346
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	29	18269	1	207676
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	30	18269	1	207940
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	31	18269	1	208996
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	32	18269	1	209040
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	33	18269	1	209084
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	34	18269	1	209172
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	35	18269	1	209964
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	36	18269	1	210976
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	37	18269	1	211790
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	38	18269	1	212186
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	39	18269	1	212406
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	40	18269	1	212494
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	41	18269	1	212714
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	42	18269	1	212868
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	43	18269	1	213418
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	44	18269	1	213748
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	45	18269	1	214078
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	46	18269	1	214100
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	47	18269	1	214430
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	48	18269	1	214826
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	49	18269	1	215046
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	50	18487	1	326250
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	51	18487	1	326360
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	52	18487	1	326536
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	53	18487	1	326580
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	54	18487	1	326954
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	55	18487	1	327284
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	56	18487	1	327856
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	57	18487	1	327966
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	58	18487	1	328428
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	59	18487	1	328582
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	60	18487	1	329242
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	61	18487	1	329418
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	62	18487	1	329814
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	63	18487	1	330012
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	64	18487	1	330034
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	65	18487	1	330738
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	66	18487	1	331090
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	67	18487	1	331222
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	68	18487	1	332256
000	data_SBND2026A_InTime-Run1_reco1_frameshift_1000evt.root	69	18487	1	332806
