run	event	kind	theta	ntrack	anode	face	slice	nblob0	nghost0	nblob	nghost	nsoft	q_true0	q_true	q_reco	wmax0_u	wmax0_v	wmax0_w	wmax_u	wmax_v	wmax_w	wmean_u	wmean_v	wmean_w
1	1	iso	0.0	1	8	1	746	501	501	149	149	149	0.0	0.0	4364.548742115498	20	20	8	18	19	8	6.0	6.3	1.9
1	1	iso	0.0	1	8	1	747	518	518	68	68	68	0.0	0.0	52008.50596308708	20	20	9	20	18	9	6.5	7.0	2.7
1	1	iso	0.0	1	8	1	748	192	0	105	0	2	308648.84157943726	264352.7728462219	803893.2187500002	19	17	17	19	14	16	11.2	11.3	9.9
1	1	iso	0.0	1	8	1	749	192	0	16	0	2	2513397.4321136475	307983.87072753906	1604974.1093750002	19	17	17	12	11	14	10.7	10.8	9.3
1	1	iso	0.0	1	8	1	750	192	0	97	0	2	658911.4313735962	496731.7938156128	812147.70703125	19	17	17	19	14	16	11.2	11.4	9.9
1	1	iso	0.0	1	8	1	751	550	550	70	70	70	0.0	0.0	60251.126567840576	18	16	11	18	15	11	5.0	5.8	3.2
1	1	iso	0.0	1	8	1	752	544	544	168	168	168	0.0	0.0	8647.062166027725	17	15	8	16	15	8	4.4	5.4	2.3
1	1	iso	0.0	1	10	1	746	4367	4367	425	425	425	0.0	0.0	44775.85828149319	14	19	8	14	19	8	4.2	5.1	1.7
1	1	iso	0.0	1	10	1	747	4047	4047	253	253	253	0.0	0.0	106146.70309594274	20	20	8	20	20	8	5.7	5.9	3.0
1	1	iso	0.0	1	10	1	748	551	0	140	0	2	827882.8114738464	316821.724319458	2119529.125	28	31	35	28	30	35	17.6	19.3	15.2
1	1	iso	0.0	1	10	1	749	551	0	17	0	1	6679317.644813538	687226.7200469971	4265561.25	28	31	35	28	29	35	20.6	22.9	18.8
1	1	iso	0.0	1	10	1	750	551	0	159	0	1	1735666.0535316467	1335605.478603363	2155125.7500000005	28	31	35	28	31	35	18.8	20.5	16.1
1	1	iso	0.0	1	10	1	751	3210	3210	267	267	267	0.0	0.0	148779.3876886582	20	20	13	20	20	12	5.6	6.5	3.6
1	1	iso	0.0	1	10	1	752	4289	4289	529	529	529	0.0	0.0	48397.6560504972	14	20	10	14	20	10	4.1	5.4	2.2
1	2	iso	0.0	1	2	0	850	1568	1568	569	569	569	0.0	0.0	18874.918967872858	20	20	8	20	20	8	8.0	4.6	2.6
1	2	iso	0.0	1	2	0	851	1272	1272	247	247	247	0.0	0.0	238721.46208589524	20	20	19	20	20	18	10.9	6.5	5.6
1	2	iso	0.0	1	2	0	852	583	0	311	0	7	1289942.1129627228	865412.7734870911	2868839.370876314	23	20	19	23	20	19	12.6	14.4	10.9
1	2	iso	0.0	1	2	0	853	583	0	57	0	6	8473676.96749878	1320482.5529632568	5580027.250000002	23	20	19	21	20	19	13.8	16.4	12.7
1	2	iso	0.0	1	2	0	854	583	0	294	0	7	2467364.370698929	1739500.9351119995	2881759.312500002	23	20	19	23	20	19	12.6	14.6	11.0
1	2	iso	0.0	1	2	0	855	1051	0	255	0	152	16175.45160883665	6442.2285318002105	290367.8910472691	20	20	18	20	20	15	11.8	7.5	6.4
1	2	iso	0.0	1	2	0	856	1623	1623	635	635	635	0.0	0.0	25573.09444199875	20	20	12	20	20	11	8.6	5.2	3.0
1	2	iso	0.0	1	4	0	850	822	822	303	303	303	0.0	0.0	9593.52035793662	20	19	8	20	19	8	7.9	4.9	2.3
1	2	iso	0.0	1	4	0	851	540	540	167	167	167	0.0	0.0	160783.7110166438	20	20	19	20	20	16	7.9	7.1	4.2
1	2	iso	0.0	1	4	0	852	192	0	145	0	6	851424.313791275	740295.3717365265	1919839.6964721687	16	20	19	16	20	19	14.8	14.3	12.8
1	2	iso	0.0	1	4	0	853	193	0	56	0	6	5671290.30305481	1692281.4526367188	3766598.812500002	16	20	19	16	16	18	14.5	13.7	11.5
1	2	iso	0.0	1	4	0	854	193	0	147	0	6	1673439.585823059	1399593.5980300903	1960220.8609008798	16	20	19	16	20	19	14.8	14.2	12.8
1	2	iso	0.0	1	4	0	855	441	0	164	0	100	10739.088327042758	5179.666382491589	197511.32254093885	20	20	19	20	20	19	11.8	6.9	6.1
1	2	iso	0.0	1	4	0	856	645	645	344	344	344	0.0	0.0	15514.882353782654	20	20	9	20	20	9	9.6	5.9	2.7
1	3	iso	2.0	1	4	0	590	2	2	2	2	2	0.0	0.0	0.0	10	5	5	10	5	5	7.0	4.5	4.0
1	3	iso	2.0	1	4	0	591	26	26	21	21	21	0.0	0.0	3878.263816833496	9	13	5	9	13	5	4.6	5.4	2.5
1	3	iso	2.0	1	4	0	592	64	56	37	30	34	19405.20645842637	19405.20609963374	71770.5388032794	17	13	18	17	13	18	5.3	5.6	3.3
1	3	iso	2.0	1	4	0	593	70	48	54	37	43	257167.48906348785	257112.4094465836	253307.29731172323	18	20	17	18	19	17	6.7	7.4	5.4
1	3	iso	2.0	1	4	0	594	79	42	52	27	35	405644.50670950196	107671.22427880845	373906.92428934574	20	19	20	20	19	20	9.9	7.6	6.8
1	3	iso	2.0	1	4	0	595	121	38	58	12	16	407686.2879818849	240435.7806501165	390830.7215318084	20	19	20	18	19	19	9.8	9.7	10.4
1	3	iso	2.0	1	4	0	596	197	90	61	25	27	405749.85033535375	263389.7827108912	393528.25742316246	20	18	18	20	18	18	7.9	8.5	7.8
1	3	iso	2.0	1	4	0	597	167	67	51	22	25	406838.35808048863	180099.35767948627	393125.5025755465	20	19	20	20	18	20	9.6	8.4	7.8
1	3	iso	2.0	1	4	0	598	166	65	59	13	17	405767.2493013963	297746.15607854724	398079.35618060833	20	18	20	20	18	20	10.4	11.6	10.3
1	3	iso	2.0	1	4	0	599	206	98	76	29	32	405463.3895275858	382127.62289708154	794775.5218984336	19	19	20	19	19	20	10.1	9.6	8.4
1	3	iso	2.0	1	4	0	600	240	111	93	44	48	409232.9937824416	4708.598142194562	394394.6939850636	20	20	20	20	20	17	6.3	8.1	6.6
1	3	iso	2.0	1	4	0	601	203	74	65	25	30	406464.5332335681	217495.55055348575	392098.5806415081	20	20	20	20	20	20	11.2	10.8	8.4
1	3	iso	2.0	1	4	0	602	188	77	65	16	19	406997.4074698749	247258.27076150916	384679.111396363	20	20	19	20	19	17	10.8	10.6	8.8
1	3	iso	2.0	1	4	0	603	206	96	82	40	44	405534.6717889607	300410.91022598743	387468.4342087805	20	20	20	20	20	20	9.3	8.4	6.7
