workdir	kind	theta	ntrack	anodes	q_depo	nblob0	nghost0	nblob	nghost	nsoft	q_true0	q_true	q_reco	captured0	captured	ghost0	ghost	qerr
000001_1_sub	iso	0.0	1	[8, 10]	12536219.0	20255	18026	2463	1929	1939	12723824.214885712	3408722.360359192	12234602.008711914	1.0150	0.2719	0.8900	0.7832	2.5892
000001_2_sub	iso	0.0	1	[2, 4]	20356488.0	10289	6470	3694	2265	2555	20454052.193765454	7769188.578879975	19934226.106061704	1.0048	0.3817	0.6288	0.6132	1.5658
000001_3_sub	iso	2.0	1	[4, 6]	13019413.0	5757	2792	2198	990	1122	13154529.970336992	8393238.85291024	13088023.946402924	1.0104	0.6447	0.4850	0.4504	0.5594
000001_4_sub	iso	5.0	1	[5, 7]	14173652.0	596	354	534	297	336	13899260.97739174	13898486.684107253	13919395.639356405	0.9806	0.9806	0.5940	0.5562	0.0015
000001_5_sub	iso	10.0	1	[2, 4, 6]	12470379.0	1678	635	1408	543	701	12220001.110455386	12216540.468778335	12188995.899923027	0.9799	0.9796	0.3784	0.3857	-0.0023
000001_6_sub	iso	1.0	2	[0, 2, 3, 5]	26218232.0	11584	8728	2091	1451	1506	26012812.713245604	7091310.946631748	25237905.350944243	0.9922	0.2705	0.7535	0.6939	2.5590
000001_7_sub	iso	2.0	3	[8, 9, 11]	39400860.0	18367	7817	4956	1753	2165	32458539.805240244	17152076.090297095	31094203.074331477	0.8238	0.4353	0.4256	0.3537	0.8129
000001_8_sub	iso	5.0	4	[9, 11]	49738184.0	22758	14796	5587	2628	3111	50166202.331717804	35742271.62488769	49344578.1554662	1.0086	0.7186	0.6501	0.4704	0.3806
000001_9_sub	cosmic	-1	1	[9]	17585964.0	1210	33	1155	27	74	17494961.00377799	17494183.992645927	17882738.70142588	0.9948	0.9948	0.0273	0.0234	0.0222
000001_10_sub	cosmic	-1	2	[4, 6]	28388764.0	1984	283	1806	220	499	27938133.952008843	27937148.600488674	28315714.906877905	0.9841	0.9841	0.1426	0.1218	0.0136
