bee_idx	entry	rse	verdict	main_id	t0_us	flash_pe	len_main_cm	npts_main	tgm	stm	fc	lm	stmfit	n_bundle_evt	n_inbeam
0	0	492-51-23	TGM	12	1.239	15102.2	152.4	4903	1	0	0	0	tgm	10	1
1	1	827-27-4	nu-candidate	18	0.366	6384.3	114.4	1293	0	0	0	0	eval	15	1
2	2	304-6-28	nu-candidate	5	1.430	27833.7	109.0	1884	0	0	0	0	eval	13	1
3	3	707-18-12	STM	7	0.738	15167.9	123.6	3523	0	1	0	0	eval	15	1
4	4	146-60-31	nu-candidate	12	1.513	7392.6	100.9	1212	0	0	0	0	eval	16	1
5	5	60-38-31	STM	16	1.469	45579.1	186.4	2906	0	1	0	0	eval	11	2
5	5	60-38-31	nu-candidate	6	1.908	84.7	0.7	6	0	0	0	1	nosteiner	11	2
6	6	445-18-34	STM	19	1.099	10502.7	151.1	2422	0	1	0	0	eval	14	1
7	7	541-46-22	TGM	27	0.798	6671.8	160.7	3057	1	0	0	0	tgm	21	2
7	7	541-46-22	nu-candidate	15	1.485	3170.6	47.5	130	0	0	1	0	contained	21	2
8	8	272-2-30	TGM	5	0.790	29329.9	422.6	20516	1	0	0	0	tgm	23	1
9	9	105-23-2	TGM	14	1.648	7484.6	230.3	3407	1	0	0	0	tgm	8	1
10	10	105-23-5	STM	18	1.505	10352.0	117.0	1405	0	1	0	0	eval	17	1
11	11	105-23-21	TGM	15	0.904	20353.0	439.1	4760	1	0	0	0	tgm	14	1
12	12	36-77-17	nu-candidate	20	1.216	5489.6	69.8	1360	0	0	0	0	eval	16	1
13	13	966-2-22	nu-candidate	6	0.292	6946.7	89.7	1824	0	0	0	0	eval	13	1
14	14	921-29-10	TGM	5	1.483	2319.9	67.9	170	1	0	0	0	tgm	14	1
15	15	921-29-41	TGM	24	1.540	7882.8	160.5	3327	1	0	0	0	tgm	18	1
16	16	890-21-16	TGM	16	0.703	32813.9	340.5	11153	1	0	0	0	tgm	13	1
17	17	890-21-39	TGM	20	0.968	9991.6	295.6	10938	1	0	0	0	tgm	14	1
18	18	651-84-12	nu-candidate	11	1.260	21647.5	141.7	3197	0	0	0	0	eval	7	1
19	19	651-84-34	STM	32	1.357	11880.7	256.6	5806	0	1	0	0	eval	22	2
19	19	651-84-34	no-bundle	-1	1.007	1670.6	0.0	0	-1	-1	-1	-1	-	22	2
20	20	993-78-14	TGM	12	1.067	7000.5	207.1	5316	1	0	0	0	tgm	10	1
21	21	44-40-14	TGM	17	0.410	11136.3	370.6	10628	1	0	0	0	tgm	13	2
21	21	44-40-14	nu-candidate	12	1.374	207.1	60.2	49	0	0	0	1	nosteiner	13	2
22	22	411-27-8	TGM	22	0.413	18145.8	53.9	33	1	0	0	2	tgm	20	1
23	23	710-80-44	STM	8	0.674	29370.5	234.7	4208	0	1	0	0	eval	8	1
24	24	658-38-25	TGM	16	0.449	27867.9	128.1	2140	1	0	0	0	tgm	11	1
