# retire_20260901.sh  tiers=A
# started              2026-09-01T15:19:35-07:00
# wcp-porting-img HEAD 2e0f445b
# toolkit HEAD         50df4094
# broken symlinks pre  0
# du -sh sbnd_xin pre  153G
# df filesystem pre   509G avail
iso_ts	dir	tier	MB	archive_tarball	dir_mtime	citations
2026-09-01T15:19:36-07:00	work-77r3-base-mcp1k	A	810	work-77r3-base-mcp1k.tar.gz	2026-09-01T10:00:25-07:00	0
2026-09-01T15:19:36-07:00	work-77r3-base-ncpi0	A	105	work-77r3-base-ncpi0.tar.gz	2026-09-01T09:54:54-07:00	0
2026-09-01T15:19:36-07:00	work-77r3-base-nuecc48	A	284	work-77r3-base-nuecc48.tar.gz	2026-09-01T09:57:55-07:00	0
2026-09-01T15:19:36-07:00	work-77r3-bis-ctl-ncpi0	A	4	work-77r3-bis-ctl-ncpi0.tar.gz	2026-09-01T09:56:57-07:00	0
2026-09-01T15:19:36-07:00	work-77r3-bis-t1-merge_relax-ncpi0	A	4	work-77r3-bis-t1-merge_relax-ncpi0.tar.gz	2026-09-01T09:57:05-07:00	0
2026-09-01T15:19:36-07:00	work-77r3-bis-t1-pass4_prune-ncpi0	A	4	work-77r3-bis-t1-pass4_prune-ncpi0.tar.gz	2026-09-01T09:57:13-07:00	0
2026-09-01T15:19:36-07:00	work-77r3-bis-t1-satellite-ncpi0	A	4	work-77r3-bis-t1-satellite-ncpi0.tar.gz	2026-09-01T09:57:20-07:00	0
2026-09-01T15:19:36-07:00	work-77r3-bis-t1all-ncpi0	A	4	work-77r3-bis-t1all-ncpi0.tar.gz	2026-09-01T09:58:01-07:00	0
2026-09-01T15:19:36-07:00	work-77r3-bis-t2-back_dvtx-ncpi0	A	4	work-77r3-bis-t2-back_dvtx-ncpi0.tar.gz	2026-09-01T09:57:28-07:00	0
2026-09-01T15:19:36-07:00	work-77r3-bis-t2-pass3_backfill-ncpi0	A	4	work-77r3-bis-t2-pass3_backfill-ncpi0.tar.gz	2026-09-01T09:57:35-07:00	0
