# doc 89 Phase 2 -- prod0901 -> prod0901b successor gate
# shared products identical; T_cluster the only added tree
sample	event	root	archives	nusel	calib	verdict
mcp1k	166650	-	-	-	-	OK
mcp1k	166738	-	-	-	-	OK
mcp1k	166804	-	-	-	-	OK
mcp1k	166870	-	-	-	-	OK
mcp1k	167112	-	-	-	-	OK
mcp1k	167200	-	-	-	-	OK
mcp1k	167222	-	-	-	-	OK
mcp1k	167354	-	-	-	-	OK
mcp1k	167376	-	-	-	-	OK
mcp1k	167398	-	-	-	-	OK
mcp1k	167640	-	-	-	-	OK
mcp1k	167684	-	-	-	-	OK
mcp1k	167904	-	-	-	-	OK
mcp1k	168388	-	-	-	-	OK
mcp1k	168410	-	-	-	-	OK
mcp1k	168432	-	-	-	-	OK
mcp1k	168526	-	-	-	-	OK
mcp1k	168614	-	-	-	-	OK
mcp1k	168658	-	-	-	-	OK
mcp1k	169054	-	-	-	-	OK
mcp1k	169202	-	-	-	-	OK
mcp1k	169208	-	-	-	-	OK
mcp1k	169340	-	-	-	-	OK
mcp1k	169356	-	-	-	-	OK
mcp1k	169488	-	-	-	-	OK
mcp1k	169532	-	-	-	-	OK
mcp1k	169598	-	-	-	-	OK
mcp1k	169620	-	-	-	-	OK
mcp1k	169626	-	-	-	-	OK
mcp1k	169708	-	-	-	-	OK
mcp1k	169736	-	-	-	-	OK
mcp1k	169758	-	-	-	-	OK
mcp1k	169774	-	-	-	-	OK
mcp1k	169824	-	-	-	-	OK
mcp1k	169846	-	-	-	-	OK
mcp1k	169890	-	-	-	-	OK
mcp1k	170792	-	-	-	-	OK
mcp1k	170808	-	-	-	-	OK
mcp1k	170814	-	-	-	-	OK
mcp1k	170880	-	-	-	-	OK
mcp1k	170924	-	-	-	-	OK
mcp1k	170940	-	-	-	-	OK
mcp1k	170984	-	-	-	-	OK
mcp1k	171050	-	-	-	-	OK
mcp1k	171116	-	-	-	-	OK
mcp1k	171144	-	-	-	-	OK
mcp1k	171358	-	-	-	-	OK
mcp1k	171446	-	-	-	-	OK
mcp1k	171600	-	-	-	-	OK
mcp1k	171892	-	-	-	-	OK
mcp1k	172090	-	-	-	-	OK
mcp1k	172200	-	-	-	-	OK
mcp1k	172266	-	-	-	-	OK
mcp1k	172414	-	-	-	-	OK
mcp1k	172552	-	-	-	-	OK
mcp1k	172596	-	-	-	-	OK
mcp1k	172656	-	-	-	-	OK
mcp1k	172722	-	-	-	-	OK
mcp1k	172788	-	-	-	-	OK
mcp1k	172794	-	-	-	-	OK
mcp1k	172832	-	-	-	-	OK
mcp1k	172860	-	-	-	-	OK
mcp1k	172926	-	-	-	-	OK
mcp1k	172942	-	-	-	-	OK
mcp1k	173058	-	-	-	-	OK
mcp1k	173146	-	-	-	-	OK
mcp1k	173234	-	-	-	-	OK
mcp1k	173256	-	-	-	-	OK
mcp1k	173294	-	-	-	-	OK
mcp1k	173476	-	-	-	-	OK
