# shape fit on run 039252 (file 0) pulses only; 1727 pulses harvested (doc 11: 1727), 857 file-0 pulses with the full [-30, 700) window
  chan   n     ff     bi  tau_i  tau_s  sigma     rms
  1010  54  0.316  0.579  11.67   94.9   0.75  0.0093
  1011  53  0.224  0.358   7.70  119.8   0.94  0.0156
  1020  54  0.208  0.301   4.50  116.6   1.15  0.0164
  1021  54  0.251  0.457   5.76   86.2   0.97  0.0168
  1030  53  0.310  0.476   7.49   77.8   0.75  0.0139
  1031  54  0.200  0.424   4.89   76.7   0.68  0.0147
  1040  53  0.229  0.472   5.21   72.9   0.94  0.0157
  1041  54  0.137  0.410   4.55  113.8   0.92  0.0136
  1050  54  0.300  0.450   7.01   90.0   0.75  0.0141
  1051  53  0.285  0.267   9.64  121.9   1.01  0.0141
  1060  53  0.152  0.245   4.00  110.3   0.70  0.0118
  1061  54  0.286  0.461   6.95   86.1   0.74  0.0139
  1070  54  0.240  0.374   6.26   73.9   1.00  0.0164
  1071  54  0.197  0.405   4.87   70.7   0.68  0.0138
  1080  53  0.000  0.351   2.67  108.5   0.38  0.0158
  1081  53  0.000  0.405   3.06  111.9   0.83  0.0175
per-pulse prompt-fraction spread (other parameters fixed per channel), n 857: [16,84] = [-0.021, +0.012] -> sim sigma_ff 0.017
