# 2777 merged rail runs, run 039252 file 0 (18 events), 16 cathode channels
# runs with >1 sub-run (merged across gaps <= 2): 9; twoside leaves >=1 sub-run CLIPPED: 0; ToT falls back to twoside: 0
     ToT bin  depth      n ts clipped | ToT/twoside in-run fill area: median [16,84]  p95   | replica decon
    1-5        1.01    216          0 | 1.004 [1.002, 1.020]  1.029   | window PE tot_fill/twoside 1.000 [0.996, 1.001]
    5-20       1.15    796          0 | 1.038 [0.998, 1.061]  1.076   | window PE tot_fill/twoside 1.003 [0.999, 1.006]
   20-40       1.35    319          0 | 0.923 [0.847, 0.993]  1.018   | window PE tot_fill/twoside 0.983 [0.961, 0.998]
   40-71       1.68    338          0 | 0.875 [0.740, 0.913]  0.951   | window PE tot_fill/twoside 0.949 [0.876, 0.970]
   71-108      2.37    316          0 | 0.832 [0.627, 0.888]  0.910   | window PE tot_fill/twoside 0.902 [0.747, 0.937]
  108-141      3.28    239          0 | 0.773 [0.539, 0.827]  0.851   | window PE tot_fill/twoside 0.834 [0.621, 0.880]
  141-194      4.76    247          0 | 0.692 [0.403, 0.753]  0.787   | window PE tot_fill/twoside 0.738 [0.454, 0.802]
  194-260      7.78    154          0 | 0.545 [0.235, 0.626]  0.660   | window PE tot_fill/twoside 0.576 [0.251, 0.665]
  260-2000    20.57    152          0 | 0.305 [0.109, 0.456]  0.495   | window PE tot_fill/twoside 0.306 [0.112, 0.471]
