sample	metric	value
nuecc48	n_events	48
nuecc48	n_rc_nonzero	0
nuecc48	n_evaluated	48
nuecc48	n_degenerate	0
nuecc48	n_clean	48
nuecc48	label:cosmic-tagged	1
nuecc48	label:nu-candidate	47
nuecc48	n_cosmict_flag_0	48
nuecc48	n_dl_warn	0
nuecc48	enu_min_MeV	412.9
nuecc48	enu_median_MeV	1501.9
nuecc48	enu_max_MeV	3709.3
nuecc48	numu_median	-0.329
nuecc48	n_numu_gt_0.9	4
nuecc48	n_nue_filled	44
nuecc48	nue_median_filled	9.89
nuecc48	n_nue_gt_7.0	31
nuecc48	n_nue_gt_0.7	39
nuecc48	excluded_frac_median_pct	0.34
nuecc48	pr_core_s_median	16.91
nuecc48	pr_core_s_p90	39.68
nuecc48	pr_core_s_max	144.94
nuecc48	pr_core_h_sum	0.32
nuecc48	pr_wall_s_median@PR_JOBS=32	22.98
nuecc48	pr_procwall_s_median@PR_JOBS=32	24
nuecc48	pr_maxrss_GiB_median	1.21
nuecc48	pr_maxrss_GiB_p90	1.31
nuecc48	pr_maxrss_GiB_max	1.44
ncpi0	n_events	19
ncpi0	n_rc_nonzero	0
ncpi0	n_evaluated	19
ncpi0	n_degenerate	0
ncpi0	n_clean	19
ncpi0	label:nu-candidate	19
ncpi0	n_cosmict_flag_0	19
ncpi0	n_dl_warn	0
ncpi0	enu_min_MeV	125.8
ncpi0	enu_median_MeV	1322.7
ncpi0	enu_max_MeV	2677.8
ncpi0	numu_median	0.302
ncpi0	n_numu_gt_0.9	7
ncpi0	n_nue_filled	5
ncpi0	nue_median_filled	-0.86
ncpi0	n_nue_gt_7.0	0
ncpi0	n_nue_gt_0.7	1
ncpi0	excluded_frac_median_pct	1.67
ncpi0	pr_core_s_median	12.50
ncpi0	pr_core_s_p90	21.79
ncpi0	pr_core_s_max	25.15
ncpi0	pr_core_h_sum	0.07
ncpi0	pr_wall_s_median@PR_JOBS=32	16.84
ncpi0	pr_procwall_s_median@PR_JOBS=32	17
ncpi0	pr_maxrss_GiB_median	1.20
ncpi0	pr_maxrss_GiB_p90	1.28
ncpi0	pr_maxrss_GiB_max	1.29
mcp1k	n_events	1000
mcp1k	n_rc_nonzero	0
mcp1k	n_evaluated	461
mcp1k	n_degenerate	16
mcp1k	n_clean	445
mcp1k	label:cosmic-tagged	303
mcp1k	label:no-beam-flash	117
mcp1k	label:no-bundle	72
mcp1k	label:nu-candidate	508
mcp1k	n_cosmict_flag_0	370
mcp1k	n_dl_warn	0
mcp1k	enu_min_MeV	11.3
mcp1k	enu_median_MeV	575.1
mcp1k	enu_max_MeV	3453.1
mcp1k	numu_median	1.786
mcp1k	n_numu_gt_0.9	269
mcp1k	n_nue_filled	20
mcp1k	nue_median_filled	-4.59
mcp1k	n_nue_gt_7.0	0
mcp1k	n_nue_gt_0.7	3
mcp1k	excluded_frac_median_pct	0.41
mcp1k	pr_core_s_median	1.58
mcp1k	pr_core_s_p90	7.60
mcp1k	pr_core_s_max	40.56
mcp1k	pr_core_h_sum	1.05
mcp1k	pr_wall_s_median@PR_JOBS=32	14.23
mcp1k	pr_procwall_s_median@PR_JOBS=32	16
mcp1k	pr_maxrss_GiB_median	0.45
mcp1k	pr_maxrss_GiB_p90	1.21
mcp1k	pr_maxrss_GiB_max	1.50
mcp2k	n_events	2000
mcp2k	n_rc_nonzero	0
mcp2k	n_evaluated	905
mcp2k	n_degenerate	33
mcp2k	n_clean	872
mcp2k	label:cosmic-tagged	628
mcp2k	label:no-beam-flash	226
mcp2k	label:no-bundle	153
mcp2k	label:nu-candidate	993
mcp2k	n_cosmict_flag_0	743
mcp2k	n_dl_warn	0
mcp2k	enu_min_MeV	3.1
mcp2k	enu_median_MeV	533.6
mcp2k	enu_max_MeV	4649.7
mcp2k	numu_median	1.605
mcp2k	n_numu_gt_0.9	508
mcp2k	n_nue_filled	72
mcp2k	nue_median_filled	-7.61
mcp2k	n_nue_gt_7.0	3
mcp2k	n_nue_gt_0.7	8
mcp2k	excluded_frac_median_pct	0.44
mcp2k	pr_core_s_median	1.63
mcp2k	pr_core_s_p90	8.06
mcp2k	pr_core_s_max	83.37
mcp2k	pr_core_h_sum	2.21
mcp2k	pr_wall_s_median@PR_JOBS=32	14.26
mcp2k	pr_procwall_s_median@PR_JOBS=32	16
mcp2k	pr_maxrss_GiB_median	0.45
mcp2k	pr_maxrss_GiB_p90	1.20
mcp2k	pr_maxrss_GiB_max	1.39
all	n_events	3067
all	n_evaluated	1433
all	n_degenerate	49
all	n_clean	1384
all	label:nu-candidate	1567
all	label:cosmic-tagged	932
all	label:no-bundle	225
all	label:no-beam-flash	343
all	pr_core_s_median	1.70
all	pr_core_h_sum	3.65
all	pr_maxrss_GiB_median	0.46
all	pr_maxrss_GiB_p90	1.21
all	pr_maxrss_GiB_max	1.50
all	stageA_imaging_s_per_evt_median	6.25
all	stageA_imaging_s_per_evt_max	8.19
all	stageA_imaging_rss_GiB_median	0.94
all	stageA_imaging_rss_GiB_max	1.05
all	stageA_imaging_sum_wall_h	5.34
all	stageA_imaging_n_groups	194
all	stageA_clus+QL_s_per_evt_median	4.38
all	stageA_clus+QL_s_per_evt_max	7.56
all	stageA_clus+QL_rss_GiB_median	0.57
all	stageA_clus+QL_rss_GiB_max	0.98
all	stageA_clus+QL_sum_wall_h	3.76
all	stageA_clus+QL_n_groups	194
