sample	group	stage	n_events	rc	wall_s	maxrss_kb
nuecc48	g0	imaging	16	0	107.0	1014056.0
nuecc48	g0	clus+QL	16	0	86.0	662684.0
nuecc48	g1	imaging	16	0	90.0	1003076.0
nuecc48	g1	clus+QL	16	0	73.0	614508.0
nuecc48	g2	imaging	16	0	104.0	991456.0
nuecc48	g2	clus+QL	16	0	94.0	695868.0
ncpi0	g0	imaging	16	0	96.0	1005508.0
ncpi0	g0	clus+QL	16	0	79.0	617148.0
ncpi0	g1	imaging	3	0	16.0	978980.0
ncpi0	g1	clus+QL	3	0	14.0	525292.0
mcp1k	g0	imaging	16	0	91.0	994432.0
mcp1k	g0	clus+QL	16	0	58.0	574228.0
mcp1k	g1	imaging	16	0	82.0	986388.0
mcp1k	g1	clus+QL	16	0	49.0	526348.0
mcp1k	g10	imaging	16	0	97.0	987812.0
mcp1k	g10	clus+QL	16	0	73.0	556384.0
mcp1k	g11	imaging	16	0	110.0	993652.0
mcp1k	g11	clus+QL	16	0	76.0	599752.0
mcp1k	g12	imaging	16	0	102.0	982680.0
mcp1k	g12	clus+QL	16	0	70.0	609072.0
mcp1k	g13	imaging	16	0	106.0	989376.0
mcp1k	g13	clus+QL	16	0	76.0	604652.0
mcp1k	g14	imaging	16	0	98.0	989848.0
mcp1k	g14	clus+QL	16	0	66.0	579508.0
mcp1k	g15	imaging	16	0	117.0	984044.0
mcp1k	g15	clus+QL	16	0	85.0	606372.0
mcp1k	g16	imaging	16	0	91.0	987548.0
mcp1k	g16	clus+QL	16	0	60.0	552552.0
mcp1k	g17	imaging	16	0	107.0	998236.0
mcp1k	g17	clus+QL	16	0	79.0	691480.0
mcp1k	g18	imaging	16	0	100.0	988804.0
mcp1k	g18	clus+QL	16	0	71.0	596184.0
mcp1k	g19	imaging	16	0	96.0	1011304.0
mcp1k	g19	clus+QL	16	0	70.0	532740.0
mcp1k	g2	imaging	16	0	100.0	992248.0
mcp1k	g2	clus+QL	16	0	67.0	568864.0
mcp1k	g20	imaging	16	0	100.0	986636.0
mcp1k	g20	clus+QL	16	0	78.0	547120.0
mcp1k	g21	imaging	16	0	102.0	987264.0
mcp1k	g21	clus+QL	16	0	70.0	578156.0
mcp1k	g22	imaging	16	0	121.0	1013480.0
mcp1k	g22	clus+QL	16	0	85.0	729416.0
mcp1k	g23	imaging	16	0	100.0	987152.0
mcp1k	g23	clus+QL	16	0	70.0	598892.0
mcp1k	g24	imaging	16	0	91.0	991996.0
mcp1k	g24	clus+QL	16	0	63.0	565164.0
mcp1k	g25	imaging	16	0	111.0	989596.0
mcp1k	g25	clus+QL	16	0	93.0	695568.0
mcp1k	g26	imaging	16	0	131.0	1009144.0
mcp1k	g26	clus+QL	16	0	121.0	900876.0
mcp1k	g27	imaging	16	0	107.0	987112.0
mcp1k	g27	clus+QL	16	0	78.0	563928.0
mcp1k	g28	imaging	16	0	95.0	986772.0
mcp1k	g28	clus+QL	16	0	70.0	586200.0
mcp1k	g29	imaging	16	0	101.0	986800.0
mcp1k	g29	clus+QL	16	0	71.0	630836.0
mcp1k	g3	imaging	16	0	105.0	991460.0
mcp1k	g3	clus+QL	16	0	76.0	594160.0
mcp1k	g30	imaging	16	0	107.0	989420.0
mcp1k	g30	clus+QL	16	0	77.0	585508.0
mcp1k	g31	imaging	16	0	114.0	1010380.0
mcp1k	g31	clus+QL	16	0	98.0	1024320.0
mcp1k	g32	imaging	16	0	109.0	1011616.0
mcp1k	g32	clus+QL	16	0	71.0	608876.0
mcp1k	g33	imaging	16	0	101.0	988236.0
mcp1k	g33	clus+QL	16	0	70.0	633296.0
mcp1k	g34	imaging	16	0	110.0	992440.0
mcp1k	g34	clus+QL	16	0	81.0	601204.0
mcp1k	g35	imaging	16	0	102.0	1006416.0
mcp1k	g35	clus+QL	16	0	71.0	596496.0
mcp1k	g36	imaging	16	0	98.0	986020.0
mcp1k	g36	clus+QL	16	0	70.0	537088.0
mcp1k	g37	imaging	16	0	91.0	987696.0
mcp1k	g37	clus+QL	16	0	62.0	551084.0
mcp1k	g38	imaging	16	0	92.0	991184.0
mcp1k	g38	clus+QL	16	0	64.0	567952.0
mcp1k	g39	imaging	16	0	112.0	1010844.0
mcp1k	g39	clus+QL	16	0	90.0	681364.0
mcp1k	g4	imaging	16	0	108.0	991968.0
mcp1k	g4	clus+QL	16	0	78.0	636304.0
mcp1k	g40	imaging	16	0	102.0	994684.0
mcp1k	g40	clus+QL	16	0	75.0	640360.0
mcp1k	g41	imaging	16	0	96.0	996756.0
mcp1k	g41	clus+QL	16	0	67.0	630740.0
mcp1k	g42	imaging	16	0	101.0	987632.0
mcp1k	g42	clus+QL	16	0	70.0	566440.0
mcp1k	g43	imaging	16	0	118.0	1016656.0
mcp1k	g43	clus+QL	16	0	87.0	732196.0
mcp1k	g44	imaging	16	0	102.0	1006224.0
mcp1k	g44	clus+QL	16	0	73.0	579892.0
mcp1k	g45	imaging	16	0	83.0	986156.0
mcp1k	g45	clus+QL	16	0	50.0	604740.0
mcp1k	g46	imaging	16	0	105.0	1013232.0
mcp1k	g46	clus+QL	16	0	68.0	594420.0
