det	run	evt	img_s	img_kb	img_rc	clus_s	clus_kb	clus_rc
pdhd	027305	20	133	1649836	0	211	1543112	0
pdhd	027425	12	50	447100	0	29	721648	0
pdhd	027425	32	48	448448	0	22	632672	0
pdhd	027425	9	35	409872	0	13	412080	0
pdhd	027425	33	43	559136	0	23	619544	0
pdhd	027425	5	44	426644	0	23	647680	0
pdhd	027425	6	39	445476	0	19	550816	0
pdhd	027980	1	34	411976	0	14	440764	0
pdhd	027980	13	31	409376	0	11	353164	0
pdhd	027980	12	34	409908	0	14	423324	0
pdhd	027980	11	38	410080	0	17	490700	0
pdhd	027980	10	38	410184	0	19	513236	0
pdhd	027980	0	46	515820	0	28	747092	0
pdhd	027980	14	40	410020	0	20	559972	0
pdhd	027980	15	39	412032	0	17	526060	0
pdhd	027980	20	32	409616	0	10	321004	0
pdhd	027980	2	32	409776	0	11	375856	0
pdhd	027980	18	40	411708	0	20	555824	0
pdhd	027980	16	43	420592	0	22	604916	0
pdhd	027980	19	39	409720	0	17	494396	0
pdhd	027305	11	158	1757072	0	262	1747724	0
pdhd	027980	25	31	411220	0	10	346796	0
pdhd	027980	17	44	468992	0	24	600072	0
pdhd	027980	24	33	409792	0	12	367076	0
pdhd	027980	21	42	428372	0	21	630228	0
pdhd	027980	22	45	447396	0	22	633804	0
pdhd	027980	27	34	410524	0	13	421468	0
pdhd	027980	23	48	417388	0	27	676012	0
pdhd	027980	30	29	411404	0	8	306188	0
pdhd	027980	26	45	438952	0	23	645376	0
pdhd	027980	3	39	410528	0	18	511572	0
pdhd	027980	8	33	410224	0	13	391860	0
pdhd	027980	9	33	409444	0	11	366452	0
pdhd	027980	4	38	411656	0	18	508320	0
pdhd	027980	29	46	453552	0	25	691100	0
pdhd	027980	28	47	595052	0	29	711160	0
pdhd	027980	7	43	412220	0	20	566156	0
pdhd	027980	5	51	638036	0	33	935300	0
pdhd	028084	11	47	620464	0	22	612328	0
pdhd	028084	0	59	1061840	0	35	700512	0
pdhd	028084	10	51	629364	0	27	669164	0
pdhd	027980	6	60	646356	0	42	958652	0
pdhd	028084	13	51	614672	0	26	624132	0
pdhd	028084	14	45	637176	0	22	560176	0
pdhd	028084	1	60	790024	0	38	813924	0
pdhd	028084	12	56	537048	0	31	775676	0
pdhd	027305	0	257	3152140	0	284	2057720	0
