run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu	flash_time_us	flash_pe	flash_tpc	flash_group	has_vertex	vertex_moved_cluster	br_filled	mip_filled	n_act_all_roles	n_companion
711	90	30	0	0	1000008	20	20	same	1	0	1	156.3	0	0	19.01	54.49	24.64	0	1091.1	2.8281	-15.0000	4	0	1	0	0	0	1	0	numu	RES	CC	989.9	726.2	0.894	3.18		1.0297	12966.8	1	1000008	1	0	0	0	4	3
711	90	32	0	0	5	8	8	same	1	0	0	6.5	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	1	-1				-1	-1	-1	-1		0.4523	4140.1	0	5	0	0	0	0	1	0
711	90	35	0	0	10	10	10	same	1	0	0	49.6	0	0	-80.35	111.48	432.48	0	555.6	-0.4990	-15.0000	8	0	0	1	0	0	3	2	numu	RES	NC	635.6	494.8	0.717	40.98		0.8539	7486.5	0	10	1	0	0	0	15	14
711	90	36	0	0	4	3	3	same	1	0	0	415.8	0	0	-47.53	64.21	3.46	0	1313.5	-1.7343	-15.0000	6	1	1	0	0	1	4	1	numu	QE	CC	1488.1	961.3	0.903	314.80		1.0548	19449.2	0	4	1	0	0	0	14	13
711	99	15	0	0	2	5	5	same	2	0	0	32.7	0	0	-200.29	113.99	113.17	0	409.5	-1.9642	-15.0000	10	1	0	1	0	1	1	0	numu	QE	NC	1350.5	320.0	1.464	48.58		1.5953	36655.6	0	2	1	0	0	0	8	6
711	99	33	0	0	2	4	4	same	1	0	1	35.0	0	0	-128.68	-51.33	146.31	0	456.1	-1.1830	-15.0000	8	0	0	1	0	0	1	0	numu	RES	CC	802.8	534.3	0.178	0.30		0.3123	16096.9	0	2	1	0	0	0	8	7
711	99	42	0	0	1000007	14	14	same	1	0	1	66.3	0	0	67.91	-130.77	418.14	0	338.3	1.1547	-15.0000	6	1	1	0	0	1	1	0	numu	QE	CC	407.5	294.8	0.509	0.89		0.6462	4447.7	1	1000007	1	0	0	0	15	14
711	99	50	0	0	6	4	4	same	1	0	0	129.4	0	0	-181.95	-108.55	22.59	0	579.8	2.6697	-15.0000	4	0	1	0	0	0	1	0	numu	QE	CC	588.8	470.1	0.195	0.43		0.3283	12576.8	0	6	1	0	0	0	2	1
712	6	4	0	0	1000002	5	5	same	1	0	1	30.2	0	0	50.13	-80.88	428.61	0	254.1	-2.9541	-15.0000	8	0	0	1	0	0	4	3	numu	RES	NC	947.4	516.9	1.17	79.29		1.3086	9831.1	1	11	1	0	0	0	26	25
712	6	8	0	0	1000006	21	21	same	13	1	1	156.4	1	2	66.09	-93.81	228.71	0	711.1	1.7012	-15.0000	4	0	1	0	0	0	2	0	numu	QE	CC	717.5	640.9	0.86	64.73		0.7575	19167.3	1	1000006	1	0	0	0	13	0
712	6	8	1	1	7	4	4	same	1	0	0	0.7	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	2	-1				-1	-1	-1	-1		0.9968	3476.8	0	7	0	0	0	0	1	0
712	6	15	0	0	1000002	20	20	same	4	0	0	210.1	0	0	69.07	-155.89	302.66	0	815.2	2.3768	-15.0000	4	0	1	0	0	0	2	1	numu	RES	CC	1371.3	747.8	0.791	1.83		0.9293	11964.2	1	16	1	0	0	0	15	11
