run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	61461	3.8117507	3.7282815			886.2125	950.43726	0.0	2.452982956444262
18255	1	62459	2.9956748	2.9254518			910.27795	899.50964		
18255	1	65289	2.1120298	1.3593904			917.4935	1209.3296	0.0	2.37545779681747
18255	1	278046	0.5687299	-0.30466187			746.33795	659.3096	0.0	1.181589810171015
18255	1	281837	0.76184916	0.5785506			1396.949	989.9298	0.0	3.977463060695839
18255	1	282072	3.4652162	4.301008			840.6866	1273.6514	0.0	1.9787856313911238
18255	1	285753	-1.4905796	-1.3010759			322.98566	288.36963	0.0	3.56689257038791
18255	1	288287	2.539653	2.4320798			1027.4648	1053.3767	0.0	3.5085961615261
18259	1	66712	2.7494917	3.5454035			933.88586	766.07544	0.0	2.5515090153083677
18259	1	172266	0.7845373	1.0024275			728.9343	779.34143	0.0	2.9959500799607772
