sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
mcp1k	18259	1	67152	0	13.170	1.254	20	1197472	0	nu-candidate	14	1	1	0	1													
mcp1k	18259	1	67394	0	13.190	4.291	19	1532704	0	nu-candidate	13	1	1	1	0	0.635	46.5	19	55.368477	174.56503	387.57495	-0.66299653	0.64809227	1.0	0.0	0.7	0.0	1049.6196
mcp1k	18259	1	67746	0	12.855	3.840	19	1534388	0	nu-candidate	9	1	1	1	0	1.618	172.4	1	71.10309	37.32898	330.72928	0.96761966	-4.300936	1.0	0.0	0.7	0.0	443.1897
mcp1k	18259	1	67922	0	6.744	0.869	13	1197664	0	no-beam-flash	9	0	0	0	0													
mcp1k	18259	1	67988	0	3.506	1.008	11	1200344	0	no-beam-flash	11	0	0	0	0													
mcp1k	18259	1	68054	0	3.333	1.022	11	1198684	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18259	1	68362	0	1.402	1.238	9	1198032	0	no-bundle	12	0	1	0	0													
mcp1k	18259	1	68428	0	1.076	0.933	9	1194712	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18259	1	68516	0	1.750	0.825	9	1196984	0	no-bundle	10	0	1	0	0													
mcp1k	18259	1	68648	0	8.877	3.800	16	1532720	0	nu-candidate	11	1	1	1	0	1.371	116.8	1	-36.117424	-197.56885	490.2379	1.2946676	-4.300936	1.0	0.0	0.7	0.0	334.83838
mcp1k	18259	1	68714	0	8.942	3.463	16	1532476	0	nu-candidate	13	1	1	1	0	1.085	94.0	1	-174.88547	-49.50133	288.19073	2.4506845	-15.0	1.0	0.0	0.7	0.0	454.4569
mcp1k	18259	1	68956	0	10.312	1.454	18	1197864	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18259	1	68978	0	8.864	3.565	16	1532536	0	nu-candidate	11	1	1	1	0	1.910	156.3	2	9.260055	91.8241	87.14602	0.66776925	-15.0	1.0	0.0	0.7	0.0	643.39886
