event	flagged	admitted	admitted_info	convicted	verdict_unknown	dropped	sel_main_off	sel_main_on	sel_L_off	sel_L_on	n_assoc_off	n_assoc_on	label_off	label_on
287759	7	0		0	0	0							no-beam-flash	no-beam-flash
287783	10	2	2	0	0	0							nu-candidate	nu-candidate
287825	16	4	4	0	0	0	5	5	119.8	119.8	9	9	nu-candidate	nu-candidate
287830	7	3	3	0	0	0	16	16	98.7	98.7	11	11	nu-candidate	nu-candidate
287896	13	3	3	0	0	0							nu-candidate	nu-candidate
288067	6	0		0	0	0	7	7	42.8	42.8	1	1	nu-candidate	nu-candidate
288287	9	2	2	0	0	0	10	10	256.0	256.0	14	14	nu-candidate	nu-candidate
288327	11	3	3	0	0	0							cosmic-tagged	cosmic-tagged
288358	10	0		0	0	0	3	3	125.7	125.7	1	1	nu-candidate	nu-candidate
288397	8	3	3	0	0	0							cosmic-tagged	cosmic-tagged
288468	3	1	1	0	0	0							cosmic-tagged	cosmic-tagged
288613	3	0		0	0	0							no-beam-flash	no-beam-flash
288639	11	5	5	1	0	1	8	8	117.3	117.3	9	8	nu-candidate	nu-candidate
288727	8	0		0	0	0							no-beam-flash	no-beam-flash
288745	7	1	1	0	0	0	23	23	34.5	34.5	11	11	nu-candidate	nu-candidate
288776	8	2	2	0	0	0							nu-candidate	nu-candidate
288859	7	1	1	0	0	0	9	9	318.7	318.7	9	9	nu-candidate	nu-candidate
288864	3	0		0	0	0							cosmic-tagged	cosmic-tagged
288921	4	0		0	0	0							cosmic-tagged	cosmic-tagged
288947	9	2	2	0	0	0	16	16	89.6	89.6	8	8	nu-candidate	nu-candidate
288952	7	0		0	0	0							cosmic-tagged	cosmic-tagged
288974	7	3	3	0	0	0							nu-candidate	nu-candidate
289062	11	0		0	0	0							no-bundle	no-bundle
289141	6	1	1	1	0	0	8	8	1.1	1.1	0	0	cosmic-tagged	cosmic-tagged
289145	13	4	4	0	0	0							cosmic-tagged	cosmic-tagged
289251	6	2	2	0	0	0	12	12	281.3	281.3	3	3	nu-candidate	nu-candidate
289295	11	3	3	0	0	0							cosmic-tagged	cosmic-tagged
289343	10	5	5	0	0	0							cosmic-tagged	cosmic-tagged
289475	9	0		0	0	0							no-beam-flash	no-beam-flash
289493	4	0		0	0	0							no-beam-flash	no-beam-flash
289559	4	0		0	0	0	14	14	166.4	166.4	2	2	nu-candidate	nu-candidate
289647	5	0		0	0	0							cosmic-tagged	cosmic-tagged
289656	13	6	6	0	0	0							cosmic-tagged	cosmic-tagged
289805	6	0		0	0	0							nu-candidate	nu-candidate
289832	5	0		0	0	0	10	10	208.7	208.7	2	2	nu-candidate	nu-candidate
289849	9	1	1	0	0	0							nu-candidate	nu-candidate
290052	9	7	7	0	0	0	8	8	88.1	88.1	8	8	nu-candidate	nu-candidate
290069	8	0		0	0	0							cosmic-tagged	cosmic-tagged
290135	12	0		0	0	0							no-beam-flash	no-beam-flash
290201	7	1	1	0	0	0	9	9	116.0	116.0	3	3	nu-candidate	nu-candidate
290223	8	0		0	0	0							no-beam-flash	no-beam-flash
290294	3	0		0	0	0	12	12	25.2	25.2	1	1	nu-candidate	nu-candidate
290316	6	0		0	0	0							cosmic-tagged	cosmic-tagged
290329	8	1	1	0	0	0							cosmic-tagged	cosmic-tagged
290602	8	0		0	0	0							no-beam-flash	no-beam-flash
290712	4	0		0	0	0							no-bundle	no-bundle
290729	7	2	2	0	0	0	12	12	118.3	118.3	2	2	nu-candidate	nu-candidate
290800	5	0		0	0	0							no-beam-flash	no-beam-flash
290844	5	0		0	0	0							cosmic-tagged	cosmic-tagged
291037	5	1	1	0	0	0	13	13	105.3	105.3	4	4	nu-candidate	nu-candidate
