event	flagged	admitted	admitted_info	convicted	verdict_unknown	dropped	sel_main_off	sel_main_on	sel_L_off	sel_L_on	n_assoc_off	n_assoc_on	label_off	label_on
399240	15	0		0	0	0							no-bundle	no-bundle
399284	6	0		0	0	0							cosmic-tagged	cosmic-tagged
399328	8	0		0	0	0	12	12	14.2	14.2	1	1	nu-candidate	nu-candidate
399382	9	1	1	0	0	0							nu-candidate	nu-candidate
399426	6	0		0	0	0							nu-candidate	nu-candidate
399702	11	1	1	0	0	0	27	27	210.7	210.7	1	1	nu-candidate	nu-candidate
399856	7	0		0	0	0	3	3	62.9	62.9	1	1	nu-candidate	nu-candidate
399910	6	0		0	0	0							no-beam-flash	no-beam-flash
399998	4	1	1	0	0	0	20	20	40.9	40.9	3	3	nu-candidate	nu-candidate
400054	8	1	1	0	0	0	16	16	6.8	6.8	5	5	nu-candidate	nu-candidate
400174	6	0		0	0	0							nu-candidate	nu-candidate
400262	5	2	2	0	0	0							nu-candidate	nu-candidate
400274	9	2	2	0	0	0	6	6	2.3	2.3	0	0	cosmic-tagged	cosmic-tagged
400460	10	1	1	0	0	0	18	18	164.2	164.2	4	4	nu-candidate	nu-candidate
400504	9	1	1	0	0	0	6	6	79.0	79.0	2	2	nu-candidate	nu-candidate
400592	5	0		0	0	0	14	14	236.6	236.6	1	1	nu-candidate	nu-candidate
400636	9	0		0	0	0	13	13	260.3	260.3	4	4	nu-candidate	nu-candidate
400724	8	5	5	0	0	0							cosmic-tagged	cosmic-tagged
400768	6	1	1	0	0	0							cosmic-tagged	cosmic-tagged
400856	7	1	1	0	0	0	12	12	93.5	93.5	2	2	nu-candidate	nu-candidate
400900	6	0		0	0	0							no-bundle	no-bundle
400922	5	3	3	0	0	0							cosmic-tagged	cosmic-tagged
401054	7	2	2	0	0	0	11	11	8.2	8.2	6	6	nu-candidate	nu-candidate
401208	4	0		0	0	0							no-bundle	no-bundle
401252	11	1	1	0	0	0							cosmic-tagged	cosmic-tagged
401450	9	4	4	0	0	0							cosmic-tagged	cosmic-tagged
401516	6	1	1	0	0	0	12	12	180.5	180.5	3	3	nu-candidate	nu-candidate
401626	7	3	3	0	0	0	9	9	103.4	103.4	5	5	nu-candidate	nu-candidate
401758	5	0		0	0	0							cosmic-tagged	cosmic-tagged
401780	6	1	1	0	0	0	13	13	150.9	150.9	2	2	nu-candidate	nu-candidate
401824	4	0		0	0	0							cosmic-tagged	cosmic-tagged
401846	5	2	2	0	0	0							cosmic-tagged	cosmic-tagged
401912	4	0		0	0	0							nu-candidate	nu-candidate
401934	3	0		0	0	0							nu-candidate	nu-candidate
402330	9	0		0	0	0	1	1	34.4	34.4	2	2	nu-candidate	nu-candidate
402484	7	1	1	1	0	0							cosmic-tagged	cosmic-tagged
402506	10	3	3	0	0	0	13	13	2.3	2.3	6	6	nu-candidate	nu-candidate
402528	9	4	4	0	0	0							nu-candidate	nu-candidate
402880	15	3	3	0	0	0	9	9	70.0	70.0	16	16	nu-candidate	nu-candidate
402902	5	0		0	0	0							no-beam-flash	no-beam-flash
402968	6	1	1	0	0	0							nu-candidate	nu-candidate
403518	9	0		0	0	0							no-beam-flash	no-beam-flash
403716	4	0		0	0	0							no-beam-flash	no-beam-flash
403958	6	0		0	0	0							cosmic-tagged	cosmic-tagged
404244	9	0		0	0	0	12	12	130.4	130.4	15	15	nu-candidate	nu-candidate
404464	12	0		0	0	0							no-bundle	no-bundle
404684	4	0		0	0	0	9	9	77.9	77.9	0	0	nu-candidate	nu-candidate
404772	2	0		0	0	0							no-beam-flash	no-beam-flash
404816	3	0		0	0	0							cosmic-tagged	cosmic-tagged
404860	4	0		0	0	0							cosmic-tagged	cosmic-tagged
405190	8	0		0	0	0							nu-candidate	nu-candidate
405212	14	0		0	0	0							no-beam-flash	no-beam-flash
405234	4	1	1	0	0	0	16	16	34.6	34.6	6	6	nu-candidate	nu-candidate
405432	12	0		0	0	0	15	15	93.6	93.6	6	6	nu-candidate	nu-candidate
405454	6	0		0	0	0	7	7	1.6	1.6	2	2	nu-candidate	nu-candidate
405586	2	0		0	0	0							no-beam-flash	no-beam-flash
405674	5	0		0	0	0	11	11	173.2	173.2	1	1	nu-candidate	nu-candidate
405740	5	1	1	0	0	0	14	14	23.0	23.0	4	4	nu-candidate	nu-candidate
405938	6	1	1	0	0	0							cosmic-tagged	cosmic-tagged
406444	5	0		0	0	0	9	9	1.9	1.9	0	0	nu-candidate	nu-candidate
406642	9	0		0	0	0	4	4	1.6	1.6	0	0	nu-candidate	nu-candidate
406752	3	0		0	0	0							cosmic-tagged	cosmic-tagged
406796	8	1	1	0	0	0	11	11	92.3	92.3	11	11	nu-candidate	nu-candidate
407148	5	1	1	0	0	0	15	15	178.3	178.3	4	4	nu-candidate	nu-candidate
407170	6	2	2	0	0	0	9	9	1.6	1.6	0	0	cosmic-tagged	cosmic-tagged
407258	6	0		0	0	0							no-bundle	no-bundle
407280	3	0		0	0	0	16	16	352.5	352.5	1	1	nu-candidate	nu-candidate
407918	10	2	2	0	0	0	11	11	90.4	90.4	5	5	nu-candidate	nu-candidate
408028	9	1	1	0	0	0							cosmic-tagged	cosmic-tagged
408094	5	2	2	0	0	0	15	15	1.4	1.4	0	0	cosmic-tagged	cosmic-tagged
408534	8	3	3	0	0	0	9	9	136.3	136.3	3	3	nu-candidate	nu-candidate
408556	1	0		0	0	0							no-beam-flash	no-beam-flash
408776	8	1	1	0	0	0							cosmic-tagged	cosmic-tagged
409084	4	0		0	0	0							cosmic-tagged	cosmic-tagged
409282	5	0		0	0	0	4	4	0.8	0.8	0	0	cosmic-tagged	cosmic-tagged
409458	6	1	1	0	0	0							cosmic-tagged	cosmic-tagged
409480	9	0		0	0	0							no-beam-flash	no-beam-flash
409546	15	6	6	0	0	0	9	9	20.2	20.2	7	7	nu-candidate	nu-candidate
409590	11	0		0	0	0							no-beam-flash	no-beam-flash
409634	6	1	1	0	0	0	21	21	43.8	43.8	7	7	nu-candidate	nu-candidate
409920	5	0		0	0	0	7	7	8.8	8.8	10	10	nu-candidate	nu-candidate
409942	7	3	3	0	0	0	17	17	47.0	47.0	7	7	nu-candidate	nu-candidate
409964	7	2	2	0	0	0	14	14	194.8	194.8	12	12	nu-candidate	nu-candidate
410008	15	1	1	0	0	0	20	20	40.1	40.1	12	12	nu-candidate	nu-candidate
410426	5	1	1	0	0	0							cosmic-tagged	cosmic-tagged
410558	4	1	1	0	0	0							cosmic-tagged	cosmic-tagged
411152	3	0		0	0	0							nu-candidate	nu-candidate
411262	5	0		0	0	0							no-beam-flash	no-beam-flash
411306	8	1	1	0	0	0							cosmic-tagged	cosmic-tagged
411460	6	0		0	0	0	6	6	15.6	15.6	6	6	nu-candidate	nu-candidate
411790	6	1	1	0	0	0							cosmic-tagged	cosmic-tagged
411834	6	0		0	0	0							no-beam-flash	no-beam-flash
412208	2	0		0	0	0	7	7	81.9	81.9	4	4	nu-candidate	nu-candidate
412626	4	0		0	0	0							no-beam-flash	no-beam-flash
412692	10	6	6	0	0	0	13	13	124.2	124.2	9	9	nu-candidate	nu-candidate
412846	13	4	4	0	0	0							cosmic-tagged	cosmic-tagged
486049	9	3	3	0	0	0							cosmic-tagged	cosmic-tagged
486093	2	0		0	0	0							cosmic-tagged	cosmic-tagged
486225	9	0		0	0	0							no-bundle	no-bundle
486247	14	3	3	0	0	0	7	7	50.2	50.2	5	5	nu-candidate	nu-candidate
486511	6	0		0	0	0							no-beam-flash	no-beam-flash
486577	8	0		0	0	0							no-bundle	no-bundle
486621	2	1	1	0	0	0							cosmic-tagged	cosmic-tagged
486687	13	1	1	0	0	0	20	20	274.5	274.5	27	27	nu-candidate	nu-candidate
486753	9	2	2	0	0	0							cosmic-tagged	cosmic-tagged
486907	9	3	3	0	0	0							cosmic-tagged	cosmic-tagged
487237	9	1	1	0	0	0							cosmic-tagged	cosmic-tagged
487259	4	0		0	0	0							no-beam-flash	no-beam-flash
487303	12	0		0	0	0	7	7	126.0	126.0	4	4	nu-candidate	nu-candidate
487545	6	0		0	0	0							cosmic-tagged	cosmic-tagged
487633	4	0		0	0	0							cosmic-tagged	cosmic-tagged
487853	5	2	2	0	0	0	13	13	36.8	36.8	9	9	nu-candidate	nu-candidate
488139	9	0		0	0	0	14	14	139.8	139.8	1	1	nu-candidate	nu-candidate
488689	4	0		0	0	0							no-beam-flash	no-beam-flash
488755	7	2	2	0	0	0	9	9	41.0	41.0	6	6	nu-candidate	nu-candidate
488799	9	3	3	0	0	0							cosmic-tagged	cosmic-tagged
488953	10	0		0	0	0							no-bundle	no-bundle
489327	8	1	1	1	0	1	19	19	395.2	395.2	15	14	nu-candidate	nu-candidate
489459	7	0		0	0	0							nu-candidate	nu-candidate
489503	5	1	1	0	0	0	18	18	132.2	132.2	14	14	nu-candidate	nu-candidate
489679	8	1	1	0	0	0							nu-candidate	nu-candidate
489789	2	0		0	0	0							no-beam-flash	no-beam-flash
489811	5	0		0	0	0							cosmic-tagged	cosmic-tagged
490339	6	0		0	0	0							no-beam-flash	no-beam-flash
490361	9	2	2	0	0	0	20	20	49.3	49.3	12	12	nu-candidate	nu-candidate
490559	7	0		0	0	0							no-beam-flash	no-beam-flash
490581	6	0		0	0	0	6	6	220.0	220.0	0	0	nu-candidate	nu-candidate
490779	13	5	5	0	0	0	15	15	5.7	5.7	9	9	nu-candidate	nu-candidate
490889	4	0		0	0	0							cosmic-tagged	cosmic-tagged
490977	6	1	1	0	0	0	17	17	75.9	75.9	5	5	nu-candidate	nu-candidate
491021	6	0		0	0	0							cosmic-tagged	cosmic-tagged
491197	7	0		0	0	0							cosmic-tagged	cosmic-tagged
491241	7	0		0	0	0							no-beam-flash	no-beam-flash
491285	6	2	2	0	0	0							cosmic-tagged	cosmic-tagged
491417	10	0		0	0	0							cosmic-tagged	cosmic-tagged
491483	3	1	1	0	0	0	13	13	61.9	61.9	2	2	nu-candidate	nu-candidate
491857	9	0		0	0	0							cosmic-tagged	cosmic-tagged
492649	10	2	2	0	0	0	20	20	78.9	78.9	25	25	nu-candidate	nu-candidate
492803	7	1	1	0	0	0	16	16	234.4	234.4	4	4	nu-candidate	nu-candidate
492891	7	0		0	0	0							cosmic-tagged	cosmic-tagged
492913	6	1	1	0	0	0	15	15	49.8	49.8	1	1	nu-candidate	nu-candidate
493199	8	3	3	0	0	0							cosmic-tagged	cosmic-tagged
493243	5	0		0	0	0	13	13	181.5	181.5	7	7	nu-candidate	nu-candidate
493397	5	0		0	0	0							no-bundle	no-bundle
493419	4	1	1	0	0	0							cosmic-tagged	cosmic-tagged
493485	6	1	1	0	0	0							cosmic-tagged	cosmic-tagged
