evt	sample	src	carried	target	d_target	adm5	adm10	veto	reject_pick	M1	M2	M3	live_base	live_topo3	live_dlonly	live_trad	hit_M3
18625	ncpi0	human	0	11003	2.35	1	1	0	11003	11003	11003	11003	11003	11003	11003	11003	1
30504	nuecc48	human	1	11001	0.00	0	0	0	11011	55053	11011	11011	11011	11011	55053	11011	0
46363	nuecc48	human	1	19001	0.00	1	1	0	19019	19019	19024	19024	19024	19024	19019	19019	0
47058	mcp2k	ai-scanner	1	11002	0.00	1	1	0	11002	11002	11002	11002	11002	11002	11002	11002	1
47916	mcp2k	ai-scanner	1	11002	0.00	1	1	0	11002	11002	11002	11002	11002	11002	11002	11002	1
49742	mcp2k	human	1	16000	0.00	1	1	0	16000	20003	16000	16000	16000	16000	20003	16000	1
49951	mcp1k	human	1	16002	0.00	1	1	0	16002	16002	16002	16002	16002	16002	16002	16002	1
51051	mcp1k	human	1	19002	0.65	0	0	0	19002	89007	19002	19002	19002	19002	89007	19002	1
51219	mcp2k	ai-scanner	1	12005	0.98	1	1	0	12002	12005	12005	12005	12005	12005	12005	12002	1
51890	mcp2k	ai-scanner	1	15003	0.62	1	1	0	15003	15003	15003	15003	15003	15003	15003	15003	1
52605	mcp2k	human	1	11001	0.00	1	1	0	51019	52023	51019	51019	51019	51019	52023	51019	0
52657	mcp1k	human	1	23001	0.00	1	1	0	23001	23001	23001	23001	23001	23001	23001	23001	1
53130	mcp2k	ai-scanner	1	8002	0.57	1	1	0	8002	8002	8002	8002	8002	8002	8002	8002	1
53427	mcp1k	human	1	14002	0.09	1	1	0	14002	14002	14002	14002	14002	14002	14002	14002	1
53881	mcp2k	human	1	12002	0.00	1	1	0	12002	12002	12002	12002	12002	12002	12002	12002	1
54351	mcp1k	human	1	17006	0.73	1	1	0	17006	17006	17006	17006	17006	17006	17006	17006	1
54629	mcp2k	human	0	15002	0.27	0	0	0	15001	53012	15001	15001	15001	15001	53012	15001	0
55542	mcp2k	ai-scanner	1	5004	0.12	1	1	0	5004	5004	5004	5004	5004	5004	5004	5004	1
55627	mcp1k	human	1	22002	0.44	1	1	0	22002	22002	22002	22002	22002	22002	22002	22002	1
56243	mcp1k	human	1	9002	0.28	1	1	0	9002	9002	9002	9002	9002	9002	9002	9002	1
56763	mcp2k	human	1	10001	0.00	0	1	0	25012	26014	25012	25012	25012	25012	26014	25012	0
56982	ncpi0	human	1	22001	0.04	0	0	0	22029	22006	22006	22006	22006	22006	22006	22029	0
57280	mcp2k	human	1	21001	0.20	0	0	0	21002	53009	21002	21002	21002	21002	21002	21002	0
57485	mcp1k	human	1	16006	0.18	1	1	0	16006	16006	16006	16006	16006	16006	16006	16006	1
57742	mcp2k	ai-scanner	1	10001	0.97	1	1	0	10001	10001	10001	10001	10001	10001	10001	10001	1
57883	mcp1k	human	0	16003	1.04	1	1	0	16004	16003	16003	16003	16003	16003	16003	16004	1
58345	mcp1k	human	1	7000	0.00	1	1	0	7002	22006	7002	7002	7002	7002	22006	7002	0
58717	mcp1k	human	0	21002	1.52	1	1	0	21002	21002	21002	21000	21000	21002	21002	21002	0
58919	mcp2k	ai-scanner	1	5002	0.23	0	0	0	5002	30014	5002	5002	5002	5002	30014	5002	1
59085	mcp1k	human	1	3001	0.00	0	0	0	84010	3003	84010	84010	84010	84010	3003	84010	0
59247	mcp1k	human	0	15002	4.12	1	1	0	15003	15002	15002	15002	15002	15002	15002	15003	1
59371	mcp1k	human	1	8002	0.17	1	1	0	8002	8002	8002	8002	8002	8002	8002	8002	1
59899	mcp1k	human	1	5003	0.00	1	1	1	5004	5004	5004	5004	5004	5004	5004	5004	0
60669	mcp1k	human	1	17001	0.23	1	1	0	17001	17001	17001	17001	17001	17001	17001	17001	1
61417	mcp1k	human	1	9002	0.29	1	1	0	9002	9002	9002	9002	9002	9002	9002	9002	1
61681	mcp1k	human	0	2002	1.62	1	1	0	2002	2002	2002	2002	2002	2002	2002	2002	1
62281	mcp1k	human	1	19002	0.56	1	1	0	19002	61007	19002	19002	19002	19002	61007	19002	1
62613	mcp1k	human	1	17001	0.00	1	1	0	17001	45009	17001	17001	17001	17001	45009	17001	1
63359	mcp1k	human	1	3001	0.00	0	0	0	3001	33005	3001	3001	3001	3001	33005	3001	1
63559	mcp1k	human	1	11001	0.94	0	0	0	11001	37025	11001	11001	11001	11001	37025	11001	1
64409	mcp1k	human	1	8001	0.22	1	1	0	8001	8001	8001	8001	8001	8001	8001	8001	1
