kind	event	id	cluster	pdg	score	dirsign	length_cm	energy_mev	gap_displayed_cm	gap_main_cluster_cm	conn4_producers
B_cross	100135	22011	22	11	-1.000	0	0.4	1.2	-1.00	276.12	-
B_cross	463565	116107	116	11	-1.000	0	0.4	0.3	-1.00	168.46	-
B_cross	47696	38004	38	2212	-1.000	0	0.4	3.0	-1.00	80.73	-
B_cross	281781	20009	20	11	-1.000	0	0.4	0.3	-1.00	203.73	-
B_cross	350354	96081	96	11	-1.000	0	0.4	2.2	-1.00	267.66	-
B_cross	313781	19006	19	11	-1.000	0	0.4	3.6	-1.00	120.17	-
B_cross	486687	33010	33	11	-1.000	0	0.4	2.8	-1.00	307.72	-
B_cross	275011	15010	15	11	-1.000	0	0.4	0.9	-1.00	463.19	-
B_cross	99782	25009	25	11	-1.000	0	0.4	1.0	-1.00	377.09	-
B_cross	392901	128035	128	11	-1.000	0	0.4	1.4	-1.00	250.92	-
B_cross	76346	51053	51	11	-1.000	0	0.4	1.3	-1.00	232.64	pr124_pass4_prune2
B_cross	283713	44018	44	11	-1.000	0	0.4	1.2	-1.00	56.30	-
B_cross	285567	122097	122	11	-1.000	0	0.4	2.0	-1.00	229.70	-
B_cross	259542	23022	23	11	-1.000	0	0.4	0.8	-1.00	134.78	-
B_cross	105946	58058	58	11	-1.000	0	0.4	1.4	-1.00	105.34	pr123_pass4_prune
B_cross	321367	9006	9	11	-1.000	0	0.4	2.0	-1.00	412.28	-
B_cross	408304	31017	31	11	-1.000	0	0.4	3.4	-1.00	81.57	-
B_cross	52672	16019	16	11	-1.000	0	0.4	1.6	-1.00	181.47	-
B_cross	105946	23005	23	11	-1.000	0	0.4	0.4	-1.00	306.59	pr123_pass4_prune
B_cross	54453	72065	72	11	-1.000	0	0.3	0.3	-1.00	175.25	-
B_cross	394167	19020	19	11	-1.000	0	0.3	0.2	-1.00	175.03	-
B_cross	173093	19018	19	11	-1.000	0	0.3	0.8	-1.00	295.14	-
B_cross	65053	25002	25	11	-1.000	0	0.3	2.7	-1.00	79.14	-
B_cross	174752	49011	49	11	-1.000	0	0.3	0.3	-1.00	486.34	-
B_cross	167612	78029	78	11	-1.000	0	0.3	1.2	-1.00	110.39	-
B_cross	408304	20014	20	11	-1.000	0	0.3	1.3	-1.00	328.46	-
B_cross	167612	25004	25	11	-1.000	0	0.3	2.9	-1.00	82.00	-
B_cross	342199	24033	24	11	-1.000	0	0.3	0.6	-1.00	194.61	-
B_cross	394167	17018	17	11	-1.000	0	0.3	0.4	-1.00	480.89	-
B_cross	395870	23003	23	11	-1.000	0	0.3	0.2	-1.00	341.51	-
B_cross	30504	22022	22	11	-1.000	0	0.3	1.6	-1.00	218.63	-
B_cross	284200	12016	12	11	-1.000	0	0.3	2.0	-1.00	507.35	-
B_cross	94392	46031	46	11	-1.000	0	0.3	0.9	-1.00	206.74	-
B_cross	268784	19050	19	11	-1.000	0	0.3	2.3	-1.00	358.04	-
B_cross	499423	22007	22	11	-1.000	0	0.3	0.5	-1.00	387.54	-
B_cross	64409	12037	12	11	-1.000	0	0.3	1.8	-1.00	184.88	-
B_cross	56982	30047	30	11	-1.000	0	0.3	2.0	-1.00	544.98	pr123_pass4_prune
B_cross	314838	16020	16	11	-1.000	0	0.3	1.1	-1.00	102.22	pr123_pass4_prune
B_cross	71642	83099	83	13	-1.000	0	0.3	1.4	-1.00	76.74	pr123_pass4_prune
B_cross	347824	32015	32	11	-1.000	0	0.3	2.1	-1.00	237.83	-
B_cross	396222	15100	15	11	-1.000	0	0.3	0.3	-1.00	169.38	pr123_pass4_prune,pr124_pass4_prune2
B_cross	76346	38028	38	2212	-1.000	0	0.3	2.7	-1.00	76.51	pr124_pass4_prune2
B_cross	54453	34035	34	11	-1.000	0	0.3	2.0	-1.00	232.86	-
B_cross	285443	19003	19	11	-1.000	0	0.3	1.6	-1.00	330.08	-
B_cross	114446	32001	32	11	-1.000	0	0.3	0.2	-1.00	296.04	-
B_cross	287007	18004	18	11	-1.000	0	0.3	0.6	-1.00	518.89	-
B_cross	292027	37015	37	2212	-1.000	0	0.3	2.6	-1.00	54.40	-
B_cross	105946	60060	60	11	-1.000	0	0.3	1.0	-1.00	304.04	pr123_pass4_prune
B_cross	287007	19005	19	11	-1.000	0	0.3	2.7	-1.00	184.35	-
B_cross	410008	89017	89	11	-1.000	0	0.3	1.4	-1.00	171.99	-
B_cross	105946	22004	22	11	-1.000	0	0.3	0.6	-1.00	426.84	pr123_pass4_prune
B_cross	54453	33034	33	11	-1.000	0	0.3	1.3	-1.00	208.92	-
B_cross	394167	16017	16	11	-1.000	0	0.3	0.1	-1.00	311.95	-
B_cross	292005	24008	24	11	-1.000	0	0.3	3.1	-1.00	100.58	-
B_cross	170761	39042	39	11	-1.000	0	0.3	1.9	-1.00	83.72	-
B_cross	56972	22015	22	11	-1.000	0	0.3	2.3	-1.00	242.09	-
B_cross	486247	17005	17	11	-1.000	0	0.3	0.5	-1.00	197.64	-
B_cross	463565	54046	54	11	-1.000	0	0.3	2.3	-1.00	130.49	-
B_cross	412242	62052	62	11	-1.000	0	0.3	0.5	-1.00	271.30	-
B_cross	433451	63137	63	2212	-1.000	0	0.3	3.8	-1.00	79.31	-
B_cross	409140	47014	47	11	-1.000	0	0.3	1.3	-1.00	122.27	-
B_cross	321367	13015	13	11	-1.000	0	0.3	0.1	-1.00	356.38	-
B_cross	99782	24008	24	11	-1.000	0	0.3	1.0	-1.00	409.48	-
B_cross	283515	52018	52	11	-1.000	0	0.3	3.8	-1.00	81.84	-
B_cross	397630	20012	20	11	-1.000	0	0.3	1.2	-1.00	327.27	-
B_cross	318703	19034	19	11	-1.000	0	0.3	2.0	-1.00	347.47	-
B_cross	99838	20011	20	11	-1.000	0	0.3	1.2	-1.00	194.93	-
B_cross	286681	34018	34	11	-1.000	0	0.3	1.2	-1.00	83.24	-
B_cross	289508	23018	23	11	-1.000	0	0.3	0.5	-1.00	292.36	-
B_cross	486907	78021	78	13	-1.000	0	0.3	1.7	-1.00	101.52	pr124_pass4_prune2
B_cross	96383	19011	19	11	-1.000	0	0.3	0.8	-1.00	350.58	-
B_cross	396222	135336	135	13	-1.000	0	0.3	1.4	-1.00	61.38	pr123_pass4_prune,pr124_pass4_prune2
B_cross	54341	102044	102	11	-1.000	0	0.3	0.6	-1.00	391.47	-
B_cross	394167	47042	47	11	-1.000	0	0.3	0.3	-1.00	178.79	-
B_cross	172266	23011	23	11	-1.000	0	0.3	2.5	-1.00	364.20	-
B_cross	69232	29013	29	11	-1.000	0	0.3	2.1	-1.00	160.66	-
B_cross	283713	71055	71	11	-1.000	0	0.3	0.9	-1.00	181.26	-
B_cross	410008	83011	83	11	-1.000	0	0.3	1.8	-1.00	155.47	-
B_cross	165157	49022	49	13	-1.000	0	0.3	1.3	-1.00	102.07	pr123_pass4_prune
B_cross	170098	20005	20	11	-1.000	0	0.3	0.5	-1.00	289.61	-
B_cross	395870	56021	56	11	-1.000	0	0.3	1.3	-1.00	50.10	-
B_cross	171729	14010	14	11	-1.000	0	0.3	1.6	-1.00	308.54	-
B_cross	278794	13003	13	11	-1.000	0	0.3	1.5	-1.00	255.85	-
B_cross	103798	24003	24	11	-1.000	0	0.3	0.2	-1.00	295.83	-
B_cross	395597	29010	29	11	-1.000	0	0.3	0.6	-1.00	78.28	-
B_cross	175896	67042	67	11	-1.000	0	0.3	0.3	-1.00	300.23	-
B_cross	54095	21075	21	11	-1.000	0	0.3	1.2	-1.00	260.92	pr123_pass4_prune
B_cross	172266	22010	22	11	-1.000	0	0.3	1.4	-1.00	180.98	-
B_cross	172266	50024	50	11	-1.000	0	0.3	1.1	-1.00	179.14	-
B_cross	285443	21005	21	11	-1.000	0	0.3	0.3	-1.00	141.80	-
B_cross	410008	90018	90	11	-1.000	0	0.3	1.7	-1.00	143.77	-
B_cross	277298	24015	24	11	-1.000	0	0.3	1.1	-1.00	244.94	-
B_cross	395870	57022	57	11	-1.000	0	0.3	0.2	-1.00	73.04	-
B_cross	64409	62092	62	11	-1.000	0	0.3	0.6	-1.00	145.03	-
B_cross	122660	63107	63	11	-1.000	0	0.3	0.3	-1.00	300.70	-
B_cross	52693	45009	45	11	-1.000	0	0.3	1.0	-1.00	48.87	-
B_cross	54341	32011	32	11	-1.000	0	0.3	0.3	-1.00	407.55	-
B_cross	167612	59023	59	11	-1.000	0	0.3	0.8	-1.00	279.65	-
B_cross	42280	16070	16	11	-1.000	0	0.3	0.7	-1.00	154.25	-
B_cross	281325	12006	12	11	-1.000	0	0.3	1.7	-1.00	152.50	pr123_pass4_prune
B_cross	348691	14016	14	11	-1.000	0	0.3	1.9	-1.00	368.31	-
B_cross	408678	63034	63	2212	-1.000	0	0.3	2.7	-1.00	412.06	-
B_cross	54453	32033	32	11	-1.000	0	0.3	1.2	-1.00	200.93	-
B_cross	475096	28028	28	11	-1.000	0	0.3	2.6	-1.00	488.86	-
B_cross	98844	15024	15	11	-1.000	0	0.3	1.7	-1.00	280.20	-
B_cross	174771	95079	95	11	-1.000	0	0.3	1.1	-1.00	188.56	-
B_cross	437699	17033	17	11	-1.000	0	0.3	1.5	-1.00	178.92	pr123_pass4_prune
B_cross	174637	14048	14	11	-1.000	0	0.3	1.4	-1.00	271.34	pr123_pass4_prune
B_cross	142421	63039	63	11	-1.000	0	0.3	2.3	-1.00	80.29	-
B_cross	171572	73012	73	11	-1.000	0	0.3	1.1	-1.00	149.41	-
B_cross	321367	10007	10	11	-1.000	0	0.3	1.1	-1.00	318.56	-
B_cross	348691	44041	44	11	-1.000	0	0.3	0.2	-1.00	44.75	-
B_cross	165157	17011	17	11	-1.000	0	0.3	1.0	-1.00	283.16	pr123_pass4_prune
B_cross	98844	13022	13	11	-1.000	0	0.3	1.2	-1.00	299.40	-
B_cross	54341	31010	31	11	-1.000	0	0.3	0.2	-1.00	341.53	-
B_cross	176533	19042	19	11	-1.000	0	0.3	0.2	-1.00	322.29	-
B_cross	283515	25016	25	11	-1.000	0	0.3	1.0	-1.00	379.34	-
B_cross	174771	24031	24	11	-1.000	0	0.3	2.1	-1.00	172.71	-
B_cross	506114	27049	27	11	-1.000	0	0.3	0.6	-1.00	267.60	-
B_cross	54453	73066	73	11	-1.000	0	0.3	0.9	-1.00	163.41	-
B_cross	74326	47040	47	11	-1.000	0	0.3	0.7	-1.00	62.40	pr123_pass4_prune
B_cross	52044	25013	25	11	-1.000	0	0.3	0.9	-1.00	322.58	-
B_cross	84229	17062	17	11	-1.000	0	0.3	1.1	-1.00	462.08	-
B_cross	281325	13007	13	11	-1.000	0	0.3	0.8	-1.00	294.24	pr123_pass4_prune
B_cross	54341	103045	103	11	-1.000	0	0.3	0.4	-1.00	398.38	-
B_cross	314838	115096	115	2212	-1.000	0	0.3	1.5	-1.00	101.33	pr123_pass4_prune
B_cross	292005	45016	45	11	-1.000	0	0.3	0.9	-1.00	79.88	-
B_cross	348471	19007	19	11	-1.000	0	0.3	2.4	-1.00	340.28	pr123_pass4_prune
B_cross	179611	74017	74	11	-1.000	0	0.3	1.2	-1.00	121.22	-
B_cross	283713	24014	24	11	-1.000	0	0.3	0.2	-1.00	237.80	-
B_cross	196649	17079	17	11	-1.000	0	0.3	0.1	-1.00	163.02	-
B_cross	277298	23014	23	11	-1.000	0	0.3	0.4	-1.00	287.11	-
B_cross	174771	21020	21	11	-1.000	0	0.3	0.5	-1.00	349.53	-
B_cross	394167	18019	18	11	-1.000	0	0.3	1.2	-1.00	320.37	-
B_cross	98844	17026	17	11	-1.000	0	0.3	0.3	-1.00	308.33	-
B_cross	463565	25034	25	11	-1.000	0	0.3	1.7	-1.00	139.67	-
B_cross	167612	64028	64	11	-1.000	0	0.3	1.2	-1.00	269.40	-
B_cross	179611	16003	16	11	-1.000	0	0.3	1.6	-1.00	103.85	-
B_cross	447477	18021	18	11	-1.000	0	0.3	0.3	-1.00	335.22	-
B_cross	395870	45010	45	11	-1.000	0	0.3	0.5	-1.00	62.85	-
B_cross	176533	15038	15	11	-1.000	0	0.3	1.0	-1.00	420.79	-
B_cross	173819	23030	23	11	-1.000	0	0.3	0.1	-1.00	250.25	-
B_cross	396222	36112	36	13	-1.000	0	0.3	0.8	-1.00	44.22	pr123_pass4_prune,pr124_pass4_prune2
B_cross	54341	33012	33	11	-1.000	0	0.3	1.1	-1.00	407.74	-
B_cross	64409	14041	14	2212	-1.000	0	0.3	1.3	-1.00	147.04	-
B_cross	521075	28025	28	11	-1.000	0	0.3	0.9	-1.00	408.80	-
B_cross	167612	60024	60	11	-1.000	0	0.3	1.9	-1.00	289.60	-
B_cross	406125	17012	17	11	-1.000	0	0.2	1.1	-1.00	236.38	-
B_cross	46363	25093	25	11	-1.000	0	0.2	0.3	-1.00	404.44	-
B_cross	318703	66066	66	11	-1.000	0	0.2	1.4	-1.00	327.39	-
B_cross	71642	16015	16	11	-1.000	0	0.2	1.6	-1.00	138.46	pr123_pass4_prune
B_cross	318703	65065	65	11	-1.000	0	0.2	1.9	-1.00	93.27	-
B_cross	165157	12001	12	11	-1.000	0	0.2	0.7	-1.00	136.56	pr123_pass4_prune
B_cross	499577	19032	19	11	-1.000	0	0.2	0.2	-1.00	241.23	-
B_cross	408304	54032	54	11	-1.000	0	0.2	0.4	-1.00	154.03	-
B_cross	64591	85053	85	11	-1.000	0	0.2	0.3	-1.00	252.37	-
B_cross	407918	18011	18	11	-1.000	0	0.2	0.9	-1.00	268.48	-
B_cross	169626	23035	23	11	-1.000	0	0.2	2.0	-1.00	248.19	-
B_cross	282979	57047	57	11	-1.000	0	0.2	2.1	-1.00	181.16	pr123_pass4_prune
B_cross	284200	34041	34	11	-1.000	0	0.2	0.7	-1.00	516.83	-
B_cross	282271	71058	71	11	-1.000	0	0.2	0.4	-1.00	84.62	-
B_cross	175896	25005	25	11	-1.000	0	0.2	0.3	-1.00	210.80	-
B_cross	487853	18003	18	11	-1.000	0	0.2	0.6	-1.00	192.37	-
B_cross	386948	23017	23	11	-1.000	0	0.2	0.5	-1.00	404.69	-
B_cross	174637	13047	13	11	-1.000	0	0.2	1.8	-1.00	192.82	pr123_pass4_prune
B_cross	285443	17001	17	11	-1.000	0	0.2	2.8	-1.00	103.52	-
B_cross	57709	19006	19	11	-1.000	0	0.2	1.2	-1.00	120.21	pr123_pass4_prune
B_cross	437699	103068	103	11	-1.000	0	0.2	1.2	-1.00	186.95	pr123_pass4_prune
B_cross	321767	43014	43	11	-1.000	0	0.2	2.1	-1.00	73.26	-
B_cross	142421	66042	66	11	-1.000	0	0.2	2.2	-1.00	82.29	-
B_cross	176533	17040	17	11	-1.000	0	0.2	1.3	-1.00	297.45	-
B_cross	283515	78057	78	11	-1.000	0	0.2	1.0	-1.00	165.37	-
B_cross	18625	38011	38	2212	-1.000	0	0.2	20.7	-1.00	78.98	-
B_cross	350354	22020	22	11	-1.000	0	0.2	1.9	-1.00	200.90	-
B_cross	396816	61034	61	11	-1.000	0	0.2	0.8	-1.00	328.39	-
B_cross	469665	19006	19	11	-1.000	0	0.2	0.8	-1.00	279.13	-
B_cross	289246	22022	22	11	-1.000	0	0.2	1.9	-1.00	329.95	-
B_cross	410008	87015	87	2212	-1.000	0	0.2	0.8	-1.00	199.09	-
B_cross	169626	24036	24	2212	-1.000	0	0.2	1.1	-1.00	415.69	-
B_cross	499423	23008	23	11	-1.000	0	0.2	1.0	-1.00	349.93	-
B_cross	122660	16025	16	11	-1.000	0	0.2	1.2	-1.00	312.95	-
B_cross	56972	47020	47	11	-1.000	0	0.2	1.6	-1.00	272.49	-
B_cross	282271	20009	20	2212	-1.000	0	0.2	1.3	-1.00	154.92	-
B_cross	98844	74067	74	11	-1.000	0	0.2	0.8	-1.00	310.20	-
B_cross	475778	28001	28	11	-1.000	0	0.2	1.1	-1.00	81.26	-
B_cross	58755	65008	65	11	-1.000	0	0.2	1.2	-1.00	255.58	-
B_cross	318703	23038	23	11	-1.000	0	0.2	1.6	-1.00	328.51	-
B_cross	396323	20016	20	11	-1.000	0	0.2	1.3	-1.00	219.88	-
B_cross	172266	51025	51	11	-1.000	0	0.2	0.9	-1.00	166.76	-
B_cross	170761	17030	17	2212	-1.000	0	0.2	1.0	-1.00	268.20	-
B_cross	54453	48041	48	11	-1.000	0	0.2	0.9	-1.00	72.54	-
B_cross	175896	26006	26	11	-1.000	0	0.2	0.9	-1.00	308.89	-
B_cross	58755	66009	66	2212	-1.000	0	0.2	0.9	-1.00	340.85	-
B_cross	281485	92114	92	11	-1.000	0	0.2	4.3	-1.00	168.69	-
B_cross	180801	21016	21	11	-1.000	0	0.2	2.4	-1.00	256.20	pr124_pass4_prune2
B_cross	64591	25004	25	2212	-1.000	0	0.2	1.4	-1.00	245.98	-
B_cross	408304	19013	19	11	-1.000	0	0.2	1.4	-1.00	109.12	-
B_cross	403023	21004	21	11	-1.000	0	0.2	1.2	-1.00	115.12	-
B_cross	172266	53027	53	11	-1.000	0	0.2	1.1	-1.00	411.26	-
B_cross	64409	10035	10	11	-1.000	0	0.1	0.3	-1.00	201.71	-
B_cross	58006	16012	16	2212	-1.000	0	0.1	1.9	-1.00	203.98	pr124_pass4_prune2
B_cross	165157	14003	14	11	-1.000	0	0.1	2.0	-1.00	193.12	pr123_pass4_prune
B_cross	167612	62026	62	11	-1.000	0	0.1	0.2	-1.00	251.66	-
B_cross	173819	22029	22	11	-1.000	0	0.1	0.7	-1.00	446.06	-
B_cross	287007	41013	41	2212	-1.000	0	0.1	0.9	-1.00	195.27	-
B_cross	196649	16078	16	11	-1.000	0	0.1	1.2	-1.00	253.63	-
B_cross	58006	14010	14	11	-1.000	0	0.1	1.1	-1.00	313.38	pr124_pass4_prune2
B_cross	400474	21039	21	11	-1.000	0	0.1	1.7	-1.00	261.47	-
B_cross	400504	12002	12	2212	-1.000	0	0.1	0.8	-1.00	342.14	-
B_cross	55740	70036	70	11	-1.000	0	0.1	1.3	-1.00	189.58	pr123_pass4_prune
B_cross	318769	70042	70	11	-1.000	0	0.1	1.4	-1.00	155.94	pr123_pass4_prune
B_cross	219295	21072	21	11	-1.000	0	0.1	1.6	-1.00	166.26	-
B_cross	318703	21036	21	11	-1.000	0	0.1	1.7	-1.00	271.50	-
B_cross	410008	91019	91	11	-1.000	0	0.1	1.7	-1.00	173.99	-
B_cross	170761	14027	14	11	-1.000	0	0.1	1.4	-1.00	273.82	-
B_cross	72786	19031	19	11	-1.000	0	0.1	1.5	-1.00	217.89	-
B_cross	64591	84052	84	11	-1.000	0	0.1	0.5	-1.00	270.34	-
B_cross	58006	59037	59	11	-1.000	0	0.1	1.4	-1.00	191.90	pr124_pass4_prune2
B_cross	47696	37003	37	11	-1.000	0	0.1	0.2	-1.00	205.78	-
B_cross	287007	20006	20	11	-1.000	0	0.1	0.8	-1.00	216.02	-
B_cross	285443	22006	22	11	-1.000	0	0.0	0.4	-1.00	189.27	-
B_cross	398191	65008	65	11	-1.000	0	0.0	0.7	-1.00	80.54	-
B_cross	390634	23024	23	11	-1.000	0	0.0	1.4	-1.00	80.93	-
B_cross	47696	35001	35	11	-1.000	0	0.0	0.3	-1.00	187.92	-
B_cross	285567	15047	15	211	-1.000	0	0.0	0.2	-1.00	329.40	-
B_cross	51546	23001	23	211	-1.000	0	0.0	0.0	-1.00	398.79	-
B_main	105074	23005	23	13	-1.000	0	82.9	215.1	-1.00	0.00	pr74_conn3_unreachable
B_main	105074	23004	23	13	-1.000	0	58.2	162.0	-1.00	0.00	pr74_conn3_unreachable
B_main	179048	17003	17	11	-1.000	0	9.9	34.2	-1.00	0.00	pr123_pass4_prune
C	284200	31043	31	4	100.000	0	5.4	0.0	2.03	0.00	-
