kind	event	id	cluster	pdg	score	dirsign	length_cm	energy_mev	gap_displayed_cm	gap_main_cluster_cm	conn4_producers
B_cross	350186	119042	119	11	-1.000	0	9.3	36.5	-1.00	80.68	pr124_pass4_prune2
B_cross	58006	41026	41	11	-1.000	0	8.7	35.6	-1.00	77.44	pr124_pass4_prune2
B_cross	396222	90166	90	13	-1.000	0	8.4	26.3	-1.00	14.78	pr123_pass4_prune,pr124_pass4_prune2
B_cross	318769	113062	113	11	-1.000	0	5.9	43.9	-1.00	3.57	pr123_pass4_prune
B_cross	54095	68104	68	11	-1.000	0	5.5	21.3	-1.00	32.79	pr123_pass4_prune
B_cross	506114	25047	25	2212	-1.000	0	4.7	75.3	-1.00	240.05	-
B_cross	105946	21003	21	2212	-1.000	0	4.7	74.5	-1.00	83.77	pr123_pass4_prune
B_cross	395870	55020	55	11	-1.000	0	4.6	0.5	-1.00	37.31	-
B_cross	54453	37038	37	2212	-1.000	0	4.5	72.7	-1.00	219.15	-
B_cross	55740	23020	23	2212	-1.000	0	4.4	72.0	-1.00	159.01	pr123_pass4_prune
B_cross	410008	92020	92	2212	-1.000	0	4.2	70.6	-1.00	183.80	-
B_cross	415278	96152	96	11	-1.000	0	4.2	16.6	-1.00	89.54	pr123_pass4_prune,pr124_pass4_prune2
B_cross	54332	93055	93	2212	-1.000	0	3.9	45.4	-1.00	49.32	pr123_pass4_prune
B_cross	269774	37049	37	13	-1.000	0	3.8	8.4	-1.00	146.51	pr123_pass4_prune
B_cross	410008	97022	97	11	-1.000	0	3.6	10.1	-1.00	150.45	-
B_cross	348471	31011	31	13	-1.000	0	3.4	9.7	-1.00	116.71	pr123_pass4_prune
B_cross	172266	20008	20	11	-1.000	0	3.3	0.2	-1.00	304.35	-
B_cross	170761	31034	31	11	-1.000	0	3.2	1.7	-1.00	75.98	-
B_cross	282979	19009	19	2212	-1.000	0	3.1	73.7	-1.00	154.70	pr123_pass4_prune
