setname	sample	event	labelsrc	origin	theta_deg	e1_prod	e2_prod	m_prod	R_prod	A_prod	mark_in1	mark_out1	mark_in2	mark_out2	d1_arm	d2_arm	m_marks	R_marks	in_window	in_window_marks	has_marks	accepted
141	mcp1k	280972	overlay	numucc_em	17.141	471.7	239.4	100.2	0.785	0.945	0	0	0	0	0.0	0.0	100.2	0.785	1	1	0	1
141	mcp1k	283713	base	numucc_em	90.565	152.5	25.2	88.2	0.936	0.698	0	0	0	0	0.0	0.0	88.2	0.936	0	0	0	0
141	mcp1k	285443	base	numucc_em	104.434	262.5	34.5	150.5	1.739	0.641	0	0	0	0	0.0	0.0	150.5	1.739	1	1	0	1
141	mcp1k	286655	overlay	nuecc	67.783	219.4	187.3	226.1	1.68	0.997	0	0	0	0	0.0	0.0	226.1	1.68	0	0	0	0
141	mcp1k	292027	base	numucc_em	72.838	253.8	60.9	147.7	1.384	0.79	0	0	0	0	0.0	0.0	147.7	1.384	1	1	0	1
141	mcp2k	292524	base	numucc_em	61.313	284.0	50.3	121.8	1.263	0.715	0	0	0	0	0.0	0.0	121.8	1.263	1	1	0	1
141	mcp1k	348691	overlay	numucc_em	100.761	301.6	107.1	276.9	2.332	0.879	0	0	0	0	0.0	0.0	276.9	2.332	0	0	0	0
141	mcp2k	392901	overlay	other_em	55.964	182.9	98.7	126.1	0.979	0.954	0	0	0	0	0.0	0.0	126.1	0.979	1	1	0	1
141	mcp2k	397630	overlay	numucc_em	27.702	119.7	106.0	54.0	0.4	0.998	0	0	0	0	0.0	0.0	54.0	0.4	0	0	0	0
141	mcp1k	399118	base	numucc_em	113.043	133.5	52.2	139.3	1.148	0.899	0	0	0	0	0.0	0.0	139.3	1.148	1	1	0	1
141	mcp1k	400504	base	numucc_em	91.415	142.8	62.9	135.7	1.091	0.922	0	0	0	3.8	0.0	-3.5	131.9	1.072	1	1	1	1
141	mcp2k	403023	base	numucc_em	90.292	121.8	93.0	150.9	1.128	0.991	0	0	0	0	0.0	0.0	150.9	1.128	1	1	0	1
141	mcp1k	486907	overlay	other_em	37.597	425.8	144.1	159.6	1.36	0.869	0	0	0	0	0.0	0.0	159.6	1.36	1	1	0	0
141	mcp1k	489327	base	numucc_em	77.136	337.0	43.1	150.3	1.756	0.634	0	125.1	0	0	-116.3	0.0	121.6	1.218	1	1	1	1
141	mcp2k	499577	base	numucc_em	133.298	97.5	38.0	111.7	0.921	0.898	0	0	0	0	0.0	0.0	111.7	0.921	1	1	0	1
