sample	run	subrun	evt	event_label	has_main	main_cluster	n_seg	n_shower	n_em_shower	em_max	em_sum	em_tier	has_mu	has_mu_any	mu_len	has_e	n_prim	pio_flag	pio_mass	n_pio_showers	has_pio_pair	lead_pio	has_e_nonpio	pio_e1	pio_e2	pio_angle	Enu	nue_score	numu_score	pio_2_score	cosmic_flag	match_isFC	is_nuecc_reco	is_ncpi0_reco	is_numucc_em
nuecc48	18255	1	10550	nu-candidate	1	7	55	15	14	773.76	909.67	200	0	0	0.0	1	2	1	45.3	0	0	0	1	773.76	26.35	13.64	908.24	4.3009	-0.969	0.2312	1	1	1	0	0
nuecc48	18259	1	111412	nu-candidate	1	18	41	18	18	518.44	623.31	200	0	1	2.38	1	6	1	89.06	0	0	0	1	4.54	518.44	118.02	1019.37	0.0374	0.0716	-0.1536	1	1	1	0	0
nuecc48	18259	1	116962	cosmic-tagged	1	21	37	12	12	237.64	773.01	200	0	0	0.0	1	3	1	325.58	0	0	0	1	116.72	237.64	144.5	773.01	-4.3009	1.4688	-0.2111	1	1	1	0	0
nuecc48	18255	1	122660	nu-candidate	1	9	71	25	24	883.42	1098.08	200	0	1	9.99	1	3	1	39.02	0	0	0	1	8.35	883.42	22.24	1334.35	2.3394	-0.0636	0.4252	1	1	1	0	0
nuecc48	18259	1	131357	nu-candidate	1	12	39	4	4	646.41	650.42	200	0	0	0.0	1	2	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	812.48	4.3009	-0.1216	0.3296	1	1	1	0	0
nuecc48	18264	1	137238	nu-candidate	1	143	32	9	9	370.5	545.42	200	0	1	25.4	1	2	1	3.21	0	0	0	1	1.29	370.5	9.3	739.18	-3.4145	1.1365	0.2143	1	1	1	0	0
nuecc48	18255	1	138009	nu-candidate	1	12	56	9	7	1173.1	1184.44	200	0	0	0.0	1	3	1	11.72	0	0	0	1	0.1	1173.1	53.34	1437.1	4.3009	-0.4483	0.3573	1	1	1	0	0
nuecc48	18255	1	163543	nu-candidate	1	14	65	14	11	193.32	559.09	100	0	0	0.0	1	5	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	1270.01	1.4022	0.3325	-0.0448	1	1	1	0	0
nuecc48	18255	1	168596	nu-candidate	1	14	78	14	13	1389.92	2034.15	200	0	1	16.31	1	3	1	79.76	0	0	0	1	31.48	1389.92	16.28	2402.21	4.3009	-1.3801	0.2825	1	0	1	0	0
nuecc48	18253	1	172230	nu-candidate	1	5	69	8	8	1470.22	1495.32	200	0	0	0.0	1	2	1	56.72	0	0	0	1	1470.22	6.09	36.82	1623.73	4.3009	-0.0845	0.2158	1	1	1	0	0
nuecc48	18255	1	174637	nu-candidate	1	9	52	10	9	785.33	836.35	200	0	1	25.8	1	2	1	20.16	0	0	0	1	7.34	29.91	85.73	1025.99	4.3009	0.621	0.2966	1	1	1	0	0
nuecc48	18255	1	196649	nu-candidate	1	11	58	6	5	1607.88	1612.81	200	0	0	0.0	1	1	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	1614.19	4.2424	-1.1169	0.2261	1	1	1	0	0
nuecc48	18409	1	214469	nu-candidate	1	16	78	12	9	1797.06	1852.84	200	0	0	0.0	1	2	1	131.01	0	0	0	1	1797.06	15.11	42.81	2382.96	4.3009	-0.2734	0.2	1	1	1	0	0
nuecc48	18255	1	219295	nu-candidate	1	15	62	10	9	1391.62	1432.83	200	1	1	87.83	1	2	1	26.86	0	0	0	1	9.09	21.09	151.84	1766.74	4.3009	-0.2806	0.4249	1	1	0	0	1
nuecc48	18255	1	234638	nu-candidate	1	10	82	28	27	1001.29	1082.84	200	1	1	34.36	1	2	1	13.28	0	0	0	1	1001.29	4.69	15.89	1418.29	4.3009	0.0072	0.1452	1	1	0	0	1
nuecc48	18255	1	235435	nu-candidate	1	2	19	8	7	133.35	203.42	100	1	1	32.07	0	1	1	50.1	0	0	0	0	42.08	50.55	62.63	427.54	-15.0	-0.2102	0.2	1	0	0	0	1
nuecc48	18255	1	239794	nu-candidate	1	2	99	7	6	2690.57	2705.29	200	0	0	0.0	1	2	1	53.49	0	0	0	1	2690.57	1.48	47.85	2920.27	4.3009	-0.7624	0.2311	1	1	1	0	0
nuecc48	18255	1	246579	nu-candidate	1	19	83	16	15	1655.81	1702.29	200	0	0	0.0	1	2	1	47.13	0	0	0	1	1655.81	7.12	29.29	1829.31	4.3009	-2.3805	0.2031	1	1	1	0	0
nuecc48	18306	1	256587	nu-candidate	1	11	151	39	37	3591.61	3702.83	200	0	0	0.0	1	2	1	83.16	0	0	0	1	17.74	3591.61	16.47	3947.86	4.3009	-2.2989	0.2	1	1	1	0	0
nuecc48	18279	1	267597	nu-candidate	1	5	86	23	20	1312.54	1355.35	200	0	0	0.0	1	2	1	23.44	0	0	0	1	8.62	1312.54	5.99	1860.77	4.3009	-1.0563	0.2827	1	1	1	0	0
nuecc48	18255	1	268067	nu-candidate	1	15	39	6	6	723.12	744.89	200	0	1	4.97	1	6	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	1599.02	4.3009	0.4201	0.2466	1	1	1	0	0
nuecc48	18255	1	268784	nu-candidate	1	13	71	15	15	1050.34	1317.05	200	0	0	0.0	1	3	1	360.17	0	0	0	1	1050.34	95.21	75.78	1798.52	4.3009	-0.5969	0.2	1	0	1	0	0
nuecc48	18255	1	269774	nu-candidate	1	87	134	16	15	1148.33	2383.2	200	0	0	0.0	1	2	1	1444.04	2	1	0	1	1148.33	916.11	87.96	2489.36	4.3009	-1.0213	0.2387	1	1	0	1	0
nuecc48	18255	1	271851	nu-candidate	1	23	68	9	8	1256.14	1274.3	200	0	0	0.0	1	1	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	1536.88	4.3009	-0.2696	0.1998	1	1	1	0	0
nuecc48	18342	1	30504	nu-candidate	1	11	49	20	18	659.68	1134.51	200	0	1	6.98	1	6	1	174.32	0	0	0	1	12.1	659.68	156.99	1251.13	-1.3879	-0.9889	0.2	1	1	1	0	0
nuecc48	18269	1	342199	nu-candidate	1	20	60	13	13	745.13	954.6	200	0	0	0.0	1	2	1	315.33	0	0	0	1	745.13	74.7	83.48	1221.13	4.3009	-1.1345	-0.0722	1	1	1	0	0
nuecc48	18255	1	350186	nu-candidate	1	6	33	8	8	673.75	705.17	200	0	0	0.0	1	1	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	705.17	4.3009	-1.0745	-0.0585	1	1	1	0	0
nuecc48	18255	1	360535	nu-candidate	1	7	63	3	3	1933.29	1944.84	200	0	0	0.0	1	2	1	29.18	0	0	0	1	1933.29	6.62	13.4	2226.91	4.3009	-0.7519	0.2242	1	0	1	0	0
nuecc48	18255	1	388	nu-candidate	1	23	92	12	9	1964.05	2003.32	200	0	0	0.0	1	3	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	2772.83	4.3009	-1.7465	0.2125	1	0	1	0	0
nuecc48	18304	1	38856	nu-candidate	1	12	48	6	6	370.7	761.2	200	0	1	4.8	1	7	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	1280.4	-0.3668	0.5969	-0.0273	1	1	1	0	0
nuecc48	18255	1	389538	nu-candidate	1	11	52	23	20	235.0	412.41	200	1	1	163.95	0	3	1	65.42	0	0	0	0	938.2	18.68	28.61	985.69	-15.0	4.301	0.2	1	0	0	0	1
nuecc48	18355	1	400474	nu-candidate	1	18	78	26	23	1240.76	1409.07	200	1	1	30.23	1	3	1	121.95	0	0	0	1	45.79	1240.76	41.21	1799.08	4.1591	-0.0685	0.2	1	1	0	0	1
nuecc48	18259	1	42280	nu-candidate	1	8	77	12	9	1832.68	1868.33	200	0	0	0.0	1	2	1	63.15	0	0	0	1	1832.68	11.79	25.39	1974.3	4.3009	-2.2404	0.2375	1	1	1	0	0
nuecc48	18255	1	422851	nu-candidate	1	1	75	16	14	1174.21	1196.25	200	0	0	0.0	1	2	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	1347.83	4.3009	-0.1883	0.0683	1	1	1	0	0
nuecc48	18255	1	423981	nu-candidate	1	12	51	19	17	358.41	898.13	200	0	0	0.0	1	5	1	16.09	0	0	0	1	2.09	358.41	34.89	2132.62	3.4018	0.0133	0.2129	1	1	1	0	0
nuecc48	18255	1	433451	nu-candidate	1	4	136	35	31	2092.44	2155.89	200	0	0	0.0	1	4	1	16.14	0	0	0	1	2092.44	2.85	18.75	2766.1	4.3009	-1.9286	0.1459	1	1	1	0	0
nuecc48	18255	1	437699	nu-candidate	1	11	64	16	16	1303.92	1424.27	200	0	0	0.0	1	2	1	7.07	0	0	0	1	1303.92	4.8	4.93	1490.76	4.3009	-1.0178	0.3473	1	1	1	0	0
nuecc48	18253	1	444187	nu-candidate	1	19	11	5	4	373.96	688.82	200	0	0	0.0	1	4	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	1287.83	4.3009	1.5661	0.1385	1	1	1	0	0
nuecc48	18255	1	447477	nu-candidate	1	11	53	14	12	869.01	895.28	200	0	0	0.0	1	3	1	2.29	0	0	0	1	869.01	10.45	10.26	1182.97	4.3009	0.2585	0.2042	1	1	1	0	0
nuecc48	18255	1	46363	nu-candidate	1	19	80	22	21	1810.58	1876.15	200	0	0	0.0	1	1	1	107.31	0	0	0	1	1810.58	11.43	4.25	1855.3	4.3009	-0.7315	0.2	1	1	1	0	0
nuecc48	18255	1	469665	nu-candidate	1	15	41	13	13	578.05	764.63	200	0	1	1.52	1	2	1	88.87	0	0	0	1	578.05	74.32	18.91	876.34	1.2255	-1.5344	0.4417	1	1	1	0	0
nuecc48	18255	1	489330	nu-candidate	1	4	59	5	5	1440.01	1458.96	200	0	0	0.0	1	2	1	29.02	0	0	0	1	1440.01	4.07	19.76	2253.51	4.3009	-1.7712	0.31	1	1	1	0	0
nuecc48	18259	1	52672	nu-candidate	1	82	70	23	20	786.71	885.62	200	0	0	0.0	1	1	1	224.81	0	0	0	1	786.71	92.54	49.24	927.59	-4.3009	-0.5091	0.4103	1	1	1	0	0
nuecc48	18259	1	54095	nu-candidate	1	17	94	22	19	2607.83	2693.75	200	0	0	0.0	1	2	1	199.95	0	0	0	1	50.07	2607.83	17.43	2988.9	4.3009	0.0149	0.201	1	0	1	0	0
nuecc48	18255	1	69314	nu-candidate	1	3	50	24	24	68.92	120.02	50	1	1	153.85	0	5	1	9.08	0	0	0	0	68.92	1.0	57.43	1498.75	-15.0	3.9602	0.2	1	1	0	0	0
nuecc48	18259	1	74544	nu-candidate	1	12	53	5	5	2063.29	2068.98	200	0	0	0.0	1	2	1	72.37	0	0	0	1	0.74	2063.29	141.67	2197.55	4.3009	-0.2084	0.2865	1	0	1	0	0
nuecc48	18313	1	81597	nu-candidate	1	19	61	6	5	1416.1	1430.3	200	0	0	0.0	1	2	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	1578.23	4.3009	-0.742	0.2073	1	0	1	0	0
nuecc48	18255	1	90055	nu-candidate	1	11	96	32	27	2080.85	2216.27	200	0	0	0.0	1	3	1	16.81	0	0	0	1	2080.85	49.98	13.62	2664.61	4.3009	-1.1416	0.2101	1	1	1	0	0
ncpi0	18259	1	105946	nu-candidate	1	14	52	28	23	494.1	726.63	200	0	0	0.0	0	1	1	105.82	0	0	0	0	97.71	494.1	27.87	1029.08	-15.0	-0.1315	0.2	1	1	0	0	0
ncpi0	18255	1	114446	nu-candidate	1	21	7	6	6	5.59	14.42	0	0	0	0.0	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	126.37	-15.0	-2.7398	0.2	1	1	0	0	0
ncpi0	18255	1	142421	nu-candidate	1	7	72	22	19	706.45	1325.47	200	1	1	146.38	0	3	1	41.8	0	0	0	0	9.42	566.37	33.25	2768.23	-15.0	3.6016	0.2	1	0	0	0	1
ncpi0	18255	1	180801	nu-candidate	1	15	46	30	27	297.12	849.01	200	0	0	0.0	1	4	1	102.55	2	1	1	1	172.35	297.12	25.77	1324.06	-3.2105	1.3565	0.2	1	1	0	1	0
ncpi0	18259	1	18625	nu-candidate	1	11	41	9	6	703.39	715.29	200	1	1	97.0	0	2	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	1478.16	-15.0	2.4095	0.2	1	1	0	0	1
ncpi0	18345	1	21073	nu-candidate	1	11	69	14	13	680.2	1015.55	200	0	0	0.0	1	1	1	207.25	2	1	0	0	680.2	104.75	45.69	1018.97	-15.0	0.9324	0.2	1	1	0	1	0
ncpi0	18345	1	259542	nu-candidate	1	128	80	39	30	978.17	1459.38	200	0	1	9.35	1	2	1	164.87	0	0	0	1	978.17	104.44	29.89	1807.53	-15.0	0.0245	0.2	1	1	1	0	0
ncpi0	18261	1	285567	nu-candidate	1	8	52	34	27	86.61	171.33	50	1	1	69.94	0	5	1	19.12	0	0	0	0	5.25	86.61	53.24	1935.15	-15.0	0.9874	0.2	1	0	0	0	0
ncpi0	18255	1	314838	nu-candidate	1	18	47	11	9	691.69	852.86	200	0	0	0.0	0	1	1	145.64	0	0	0	0	147.91	691.69	26.32	1142.17	-15.0	-0.314	0.2	1	1	0	0	0
