run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	57280	-2.6763363	-2.482226			226.42877	212.81511	0.0	1.811192143167648
18255	1	58919					730.38873	527.66516		
18255	1	69232	1.5835184	1.515667			1137.856	1036.326		
18255	1	69314			0.6416987	0.3063533				
18255	1	72759	0.4791182	0.3365322			605.6671	473.01605		
18255	1	75954	-0.8425525	-0.566879						
18255	1	93696	2.4800153	2.3764603			727.4827	718.1462		
18255	1	94092	1.8764627	1.7804601			816.558	805.0386		
18255	1	94224	-0.6556812	-0.14329337	-4.300936	-2.670128				
18255	1	98844					1009.535	1193.5276		
18255	1	275011	-0.38054568	-0.62451804			360.83298	302.78503		
18255	1	280159	1.6242775	1.1448221			1628.1171	1506.9059		
18255	1	284206	-0.112861484	-0.27058625			1267.3408	698.5425		
18255	1	289508	1.6115841	2.1042788	-15.0	-4.300936	1083.5961	827.4305		
18255	1	291072	0.12984206	-0.06913034			1067.3585	832.79346		
18255	1	316987	3.5763476	2.7032354			1064.4783	1020.5177		
18255	1	319871	2.7092535	2.6133273			680.4727	538.55176		
18255	1	348594	1.2709846	1.1525308			672.1471	682.41833		
18255	1	350354	0.74472475	0.6771928						
18255	1	354248	3.0191226	2.363641			1016.0524	899.54236	0.0	1.0982015379815273
18255	1	392901	2.6995416	3.6117022						
18255	1	393089	0.7616397	0.83861303						
18255	1	393538					1096.5404	1086.6562		
18255	1	394605					753.7103	733.9584		
18255	1	396222	0.6935717	-0.86521614			4117.106	5639.2046		
18255	1	415278	-0.96333045	-0.46555465						
18255	1	474678	-0.16999607	-0.27821803			356.9832	334.42746		
18255	1	478880	3.1120803	2.9047656						
18255	1	497311	-0.07224551	0.9162417			2003.4183	2031.1118		
18259	1	47212			2.7121887	2.827221	1418.7654	1408.7806		
18259	1	99782	2.6739855	3.112328			823.59906	803.96735		
18259	1	100222			0.7237105	0.9386188				
18259	1	159569	0.020480067	0.18459062			1696.7451	593.2042		
18259	1	164475	3.7677677	3.2061853			1075.5726	1128.5238		
18259	1	171572	-0.18864916	-0.26489925			899.29614	774.3157		
18259	1	171729					340.0071	325.57388		
18259	1	175952	3.8276992	3.4891517			1993.1018	1548.0917		
18259	1	179897	1.509697	1.418823			911.3864	882.5233		
18259	1	179912	0.2332968	2.382035			518.3217	447.34067		
18259	1	237292	1.4964921	1.4285604						
18259	1	241626	1.6703417	1.4012738					0.0	1.7856067014502417
