evt	call	j	k	nedge	Lmin	Lmax	Tmax	npmin	angle	gw	wdeadX	dis	dens	dvtx	verdict	conf	rule
59929	0	0	1	1	1.26	137.24	0.56	24	2.7	1	0	1.43	156	137.5	good	high	R3 W-plane gap (robust plane sees a hole)
60017	0	0	1	3	15.93	29.77	0.62	130	0.8	1	1	1.21	267	0.9	good	high	R3 W-plane gap (robust plane sees a hole)
60669	0	0	1	1	3.54	18.26	2.07	46	40.7	1	4	0.68	447	2.0	good	high	R3 W-plane gap (robust plane sees a hole)
60669	0	0	2	1	18.26	69.48	2.07	270	75.6	1	0	1.88	450	1.9	good	high	R3 W-plane gap (robust plane sees a hole)
60669	0	1	2	1	3.54	69.48	0.90	46	65.3	1	4	0.69	443	2.0	good	high	R3 W-plane gap (robust plane sees a hole)
61071	0	0	1	1	1.04	1.29	0.45	11	82.9	0	0	0.69	23	50.8	good	low	R4 residual, committed good
61351	0	0	1	2	73.62	278.41	1.90	652	4.5	0	6	1.80	236	72.2	bad	high	R2 long-track break, no W gap
61417	0	0	1	1	1.32	149.87	5.12	12	87.8	1	0	1.55	372	8.7	good	high	R3 W-plane gap (robust plane sees a hole)
61579	0	1	2	2	17.70	24.35	0.71	179	16.3	0	0	1.67	306	0.6	bad	high	R2 long-track break, no W gap
61579	1	1	2	1	1.28	6.85	0.79	12	10.2	1	0	3.32	417	39.1	good	high	R3 W-plane gap (robust plane sees a hole)
61579	1	2	3	1	6.85	14.15	2.07	97	35.8	1	0	3.36	555	41.6	good	high	R3 W-plane gap (robust plane sees a hole)
61579	1	3	4	1	6.59	14.15	2.07	59	22.8	1	0	0.69	495	52.9	good	high	R3 W-plane gap (robust plane sees a hole)
61843	1	0	1	1	0.68	1.03	0.31	9	22.1	0	0	1.83	19	401.5	good	low	R4 residual, committed good
61843	2	0	1	1	0.93	2.40	0.43	6	83.6	0	0	0.76	30	74.9	good	low	R4 residual, committed good
63537	0	0	1	1	0.63	0.63	0.19	3	0.0	0	0	2.62	9	25.0	good	low	R4 residual, committed good
63551	0	0	1	1	37.61	62.38	3.01	620	5.3	0	6	1.20	1017	9.1	bad	high	R2 long-track break, no W gap
63559	0	0	1	1	1.31	157.06	0.76	11	64.0	1	0	1.65	126	41.9	good	high	R3 W-plane gap (robust plane sees a hole)
63603	0	1	2	1	0.63	57.00	6.37	3	26.7	0	0	2.59	402	7.7	good	low	R4 residual, committed good
63603	0	1	3	1	0.63	33.86	0.42	3	17.9	0	0	1.35	408	9.9	good	low	R4 residual, committed good
64409	0	1	2	1	1.39	1.43	0.47	11	82.0	0	0	1.08	582	53.9	good	low	R4 residual, committed good
64409	0	1	3	1	0.35	1.39	0.47	2	78.6	0	0	1.86	673	53.3	good	low	R4 residual, committed good
64409	0	2	3	1	0.35	1.43	0.39	2	68.6	0	0	2.36	640	53.5	good	low	R4 residual, committed good
64591	0	1	2	1	2.90	184.54	1.69	24	23.7	0	0	1.14	295	177.6	good	low	R4 residual, committed good
64591	0	4	5	1	1.34	17.31	2.14	16	34.4	1	0	1.24	745	202.9	good	high	R3 W-plane gap (robust plane sees a hole)
64591	0	4	6	1	14.65	17.31	2.14	348	22.1	1	0	1.55	816	199.0	good	high	R3 W-plane gap (robust plane sees a hole)
64959	0	0	1	1	7.12	79.17	0.59	68	1.7	0	0	1.10	184	29.8	bad	high	R2 long-track break, no W gap
64959	1	0	1	1	6.57	19.30	1.97	79	21.9	1	0	0.75	420	19.1	good	high	R3 W-plane gap (robust plane sees a hole)
65053	0	0	1	1	8.43	113.70	1.62	176	56.8	1	0	3.95	280	7.1	good	high	R3 W-plane gap (robust plane sees a hole)
65053	0	1	3	1	2.08	113.70	1.09	3	29.2	0	0	3.92	261	25.0	good	low	R4 residual, committed good
65289	0	0	2	1	0.63	93.66	9.86	4	88.0	1	0	1.63	1142	22.6	good	high	R3 W-plane gap (robust plane sees a hole)
66118	0	0	1	1	0.63	81.96	1.69	6	57.9	0	0	1.40	165	70.1	good	low	R4 residual, committed good
66272	0	0	1	1	9.31	14.44	0.73	83	35.7	0	0	0.85	243	1.8	bad	high	R2 long-track break, no W gap
67394	0	1	2	1	0.63	43.28	5.16	12	65.5	1	0	1.60	447	18.5	good	high	R3 W-plane gap (robust plane sees a hole)
72586	0	0	1	1	87.07	215.72	1.34	1327	9.5	0	6	1.05	363	215.2	bad	high	R2 long-track break, no W gap
73004	0	1	2	1	2.66	82.38	2.18	21	17.2	0	0	1.75	674	11.1	good	low	R4 residual, committed good
166738	0	0	1	1	3.26	23.57	1.44	32	41.8	0	0	1.15	394	27.6	good	low	R4 residual, committed good
166738	3	0	1	1	0.97	1.41	0.32	13	18.5	1	0	1.20	26	28.1	good	high	R3 W-plane gap (robust plane sees a hole)
167112	0	0	1	1	5.69	47.58	2.87	57	25.6	0	6	2.27	226	45.2	bad	low	R2d dead-W band, induction-only gap
