bucket	bucket_pi0	e1_hand	e1_now	e1_reco	e2_hand	e2_now	e2_reco	event	g1_matched	g1_shower	g2_matched	g2_shower	label_mass_axis	label_mass_vertex	m_axis_now	m_axis_scanhand	m_axis_scanreco	m_vtx_now	m_vtx_scanhand	m_vtx_scanreco	origin	sample	setname	theta_axis	theta_vertex	vertex_how
1 under-clustered	3 pi0, vertex usable	756.1829868020344	680.2019868020344	680.2019868020344	104.74523736203732	104.74523736203732	104.74523736203732	21073	60081	60081	63100	63100	201.83219224627797	218.5235697237694	191.42380052997888	201.83219224627797	191.42380052997888	207.25441148089783	218.5235697237694	207.25441148089783	ncpi0	ncpi0	98	42.02539920692488	45.68866411276755	main_vertex
2 over-clustered	3 pi0, vertex usable	221.87663874376508	221.87663874376508	221.87663874376508	65.08557691544152	65.08557691544152	65.08557691544152	47212	109100	109100	70038	70038	131.4102586155196	132.75811026491846	131.4102586155196	131.4102586155196	131.4102586155196	132.75811026491846	132.75811026491846	132.75811026491846	ncpi0	mcp2k	98	66.2907893835199	67.06000664529512	manual
2 over-clustered	4 pi0, vertex not usable	182.47963998274528	139.574019144523	182.47963998274528	64.98761138185174	64.98761138185174	64.98761138185174	54332	122091	122091	27025	27025	147.0509219562497	111.93802654558117	128.6064754545434	147.0509219562497	147.0509219562497	97.89775454551294	111.93802654558117	111.93802654558117	ncpi0	mcp2k	98	84.93521910381945	61.855272027496085	manual
1 under-clustered	4 pi0, vertex not usable	298.0613777958991	298.0613777958991	298.0613777958991	50.73698264335545	50.73698264335545	50.73698264335545	64591	83044	83044	78025	78025	173.98104698528056	149.5837856118518	173.98104698528056	173.98104698528056	173.98104698528056	149.5837856118518	149.5837856118518	149.5837856118518	ncpi0	mcp1k	98	90.04534112160701	74.91750182833542	manual
scanned, no clustering correction	3 pi0, vertex usable	120.67209102006233	118.05685639951861	120.67209102006233	65.83699551840684	65.83699551840684	65.83699551840684	71372	94132	94132	97140	97140	140.04418054760515	139.23263424509608	138.51833252195505	140.04418054760515	140.04418054760515	137.71562840280959	139.23263424509608	139.23263424509608	ncpi0	ncpi0	98	103.5507937269045	102.71157590776677	main_vertex
1+2 both	4 pi0, vertex not usable	246.68474490080212	167.89877983526472	246.68474490080212	5.0279759283026335	5.0279759283026335	5.0279759283026335	76346	14059	14059	40030	40030	40.76047560570244	40.77003833325798	33.62728976353063	40.76047560570244	40.76047560570244	33.63517898969056	40.77003833325798	40.77003833325798	ncpi0	mcp2k	98	70.71607646943221	70.73515349944488	backproject
scanned, no clustering correction	3 pi0, vertex usable	118.34892915199543	118.34892915199543	118.34892915199543	108.77714624544122	108.77714624544122	108.77714624544122	99838	48024	48024	58038	58038	111.9880365050334	125.75048735293461	111.9880365050334	111.9880365050334	111.9880365050334	125.75048735293461	125.75048735293461	125.75048735293461	ncpi0	mcp2k	98	59.142295498443566	67.30461423353086	main_vertex
1 under-clustered	3 pi0, vertex usable	604.2653459885644	494.09734598856437	494.09734598856437	60.317807266969794	47.12980726696979	47.12980726696979	105946	55063	55063	56056	56056	226.3411786014171	133.8210096912716	180.91769607543472	226.3411786014171	180.91769607543472	106.96502028235749	133.8210096912716	106.96502028235749	ncpi0	ncpi0	98	72.70973304476489	41.03280568373009	main_vertex
1 under-clustered	3 pi0, vertex usable	173.78146127271324	173.78146127271324	173.78146127271324	38.59043627073054	38.59043627073054	38.59043627073054	166870	87058	87058	85045	85045	116.12680535768705	116.29154311507344	116.12680535768705	116.12680535768705	116.12680535768705	116.29154311507344	116.29154311507344	116.29154311507344	ncpi0	mcp1k	98	90.31111618438763	90.4746785648293	main_vertex
scanned, no clustering correction	3 pi0, vertex usable	100.23417927633484	100.23417927633484	100.23417927633484	84.87703760672385	84.87703760672385	84.87703760672385	169356	68034	68034	67030	67030	155.91090960725785	138.08985754498488	155.91090960725785	155.91090960725785	155.91090960725785	138.08985754498488	138.08985754498488	138.08985754498488	ncpi0	mcp1k	98	115.38006318037867	96.93222677672962	main_vertex
