event	node	owner	positive	fired	vgap_cm	b_cm	miss_deg
100222	75062	KEEP	0	0	142.79	130.06	49.48
105946	55063	KEEP	0	0	8.07	1.54	3.20
116962	21070	TRIM	0	0	0.00	0.95	4.09
122660	9110	KEEP	0	0	0.00	10.53	12.63
122660	9111	SPLIT2	1	1	0.00	9.03	23.81
122660	53070	KEEP	0	0	85.28	87.05	84.02
131357	12014	KEEP	0	0	0.00	3.76	5.89
138009	12088	KEEP	0	0	0.00	0.45	0.54
142421	108104	SPLIT2	1	0	7.20	2.77	2.88
165157	9000	KEEP	0	1	13.38	13.05	19.61
166870	85045	KEEP	0	0	10.89	1.80	4.06
167612	100074	KEEP	0	0	195.56	193.87	79.08
167612	101086	KEEP	0	0	190.78	185.86	71.65
168432	22006	KEEP	0	0	25.10	5.15	8.15
169356	67030	SPLIT2	1	1	33.68	6.48	8.79
170098	78064	KEEP	0	0	18.13	4.75	5.02
170761	8026	SPLIT2	1	1	0.00	11.34	20.92
171729	9005	KEEP	0	0	0.00	1.60	10.93
172230	5027	KEEP	0	0	0.00	1.92	1.67
172942	4002	TRIM	0	0	0.00	4.23	8.10
173093	12007	KEEP	0	0	38.54	6.59	6.84
173495	26021	KEEP	0	0	270.22	133.56	28.62
174771	15018	KEEP	0	0	2.45	5.40	29.43
174771	87065	KEEP	0	1	95.82	102.10	58.72
174771	91075	SPLIT3	1	1	24.19	10.39	19.38
176502	20005	KEEP	0	0	192.99	126.49	39.79
176502	23030	SPLIT3	1	0	15.03	6.28	6.23
176502	109119	SPLIT3	1	1	0.00	8.56	9.17
176502	109299	KEEP	0	0	0.00	2.82	9.07
176533	11035	KEEP	0	0	0.00	7.67	47.73
176986	67048	KEEP	0	0	7.22	8.10	52.72
179048	17012	KEEP	0	0	0.00	0.50	1.37
179611	10001	TRIM	0	0	0.00	2.03	1.64
180801	15082	KEEP	0	0	0.00	7.32	18.12
180801	112061	KEEP	0	0	40.29	44.03	87.88
181050	15005	SPLIT2	1	0	29.97	37.10	73.71
196649	11113	KEEP	0	0	0.00	2.22	2.24
256587	11301	KEEP	0	0	0.00	0.87	0.73
259542	88060	KEEP	0	0	71.07	61.33	44.25
268784	13027	KEEP	0	0	0.00	0.51	0.71
269774	13237	SPLIT2	1	1	27.39	1.67	1.47
275011	11037	KEEP	0	0	0.00	9.92	41.36
278420	61027	KEEP	0	1	31.62	26.78	21.45
280972	79136	SPLIT2	1	1	18.05	9.03	11.68
281165	16006	KEEP	0	0	0.00	0.69	0.71
281485	87078	SPLIT3	1	0	17.40	15.60	35.19
281485	89095	SPLIT2	1	1	20.03	23.67	67.12
281485	91112	KEEP	0	0	20.72	5.45	11.91
281567	9025	SPLIT2	1	0	8.91	4.81	9.18
281567	99193	KEEP	0	0	10.73	12.80	25.01
281639	23001	KEEP	0	0	7.61	2.77	7.00
281639	91023	KEEP	0	0	6.54	6.67	10.88
281781	89069	SPLIT3	1	1	14.62	29.56	35.93
282271	6063	KEEP	0	0	0.00	4.25	19.84
282909	4084	KEEP	0	0	0.00	5.29	13.36
282909	75060	KEEP	0	0	21.84	5.60	7.43
283515	24014	KEEP	0	0	44.34	37.04	39.39
284200	6013	SPLIT2	1	1	19.50	30.32	61.51
285443	49035	KEEP	0	0	12.98	1.96	3.45
285567	8107	KEEP	0	0	0.00	0.54	3.39
286655	19006	KEEP	0	0	27.88	14.83	16.69
286681	3012	KEEP	0	0	46.88	56.18	77.43
287654	12003	KEEP	0	0	52.27	51.90	67.36
287830	21042	SPLIT2	1	1	74.84	79.96	88.01
292005	46017	KEEP	0	0	24.10	47.94	82.13
292643	25015	SPLIT2	1	1	46.84	30.35	22.03
293149	4001	SPLIT2	1	0	0.00	2.67	4.04
293536	15027	TRIM	0	0	0.00	3.53	34.78
294174	16004	SPLIT2	1	1	231.66	209.39	58.80
294174	71067	SPLIT2	1	1	108.08	75.20	35.95
314838	110088	SPLIT2	1	1	12.36	8.32	9.22
317939	26001	KEEP	0	0	0.00	1.52	7.28
317939	30022	KEEP	0	0	12.04	2.66	3.75
318769	31026	KEEP	0	1	38.18	39.65	67.22
318769	143101	KEEP	0	1	43.43	40.60	36.41
321169	16055	SPLIT3	1	0	0.00	3.59	18.33
321767	45019	KEEP	0	0	19.58	20.08	79.79
342199	25109	KEEP	0	0	81.34	77.12	60.56
342199	74101	KEEP	0	0	57.17	29.58	28.47
348691	49046	KEEP	0	0	7.91	0.43	0.79
350354	18092	SPLIT2	1	1	0.00	3.11	3.81
359980	75089	KEEP	0	0	24.52	5.77	7.28
386948	16002	KEEP	0	0	57.22	47.89	40.69
386948	91060	KEEP	0	0	49.11	38.85	31.20
390182	4008	KEEP	0	0	3.19	5.59	27.83
392901	127030	KEEP	0	0	34.79	6.13	4.61
393212	6009	SPLIT2	1	1	26.08	15.22	18.34
393505	63025	KEEP	0	1	58.33	62.82	70.16
394167	11009	KEEP	0	0	0.00	2.22	3.19
396037	69026	KEEP	0	1	17.69	16.71	45.61
396222	9059	SPLIT4+	1	1	0.00	29.23	30.61
396222	9084	SPLIT3	1	0	18.27	52.06	59.97
396222	97175	KEEP	0	0	42.78	66.18	68.89
399052	64067	KEEP	0	0	39.05	2.69	3.07
406125	8059	KEEP	0	0	0.00	0.63	1.58
406125	38021	SPLIT2	1	1	3.35	26.35	41.02
407918	17010	KEEP	0	0	14.68	13.25	23.18
408304	9039	KEEP	0	0	0.00	3.89	14.94
408678	14003	KEEP	0	0	0.00	13.94	28.67
