evt	sample	src	carried	target	d_target	adm5	adm10	veto	reject_pick	M1	M2	M3	live_base	live_topo3	live_dlonly	live_trad	hit_M3
388	nuecc48	human	1	23009	0.18	1	1	0	23009	23009	23009	23009	23009	23009	23009	23009	1
10550	nuecc48	human	1	49072	0.00	0	1	0	None	7009	7009	7009	7009	7009	7009	None	0
21073	ncpi0	human	1	11001	0.19	1	1	0	11004	11001	11001	11001	11001	11001	11001	11004	1
37112	ncpi0	human	1	84097	2.76	1	1	0	9006	84097	84097	84097	84097	84097	84097	9006	1
38856	nuecc48	human	1	12004	0.00	0	0	0	12009	12009	12009	12009	12009	12009	12009	12009	0
42280	nuecc48	human	1	8001	0.56	1	1	0	8023	8001	8001	8001	8001	8001	8001	8023	1
47278	mcp2k	ai-scanner	1	6004	0.29	1	1	0	6002	6004	6004	6004	6004	6004	6004	6002	1
47784	mcp2k	ai-scanner	1	17003	0.19	1	1	0	17003	17003	17003	17003	17003	17003	17003	17003	1
48367	mcp1k	human	1	19001	0.00	0	0	0	19001	19001	82070	82070	82070	82070	19001	19001	0
48488	mcp2k	ai-scanner	1	21003	0.08	1	1	0	21001	21003	21003	21003	21003	21003	21003	21001	1
48774	mcp2k	ai-scanner	0	7002	0.93	1	1	1	7003	7003	7003	7003	7003	7003	7003	7003	0
48895	mcp1k	human	1	17002	0.00	0	1	0	17002	50015	17002	17002	17002	17002	50015	17002	1
50182	mcp2k	ai-scanner	1	10002	0.18	1	1	0	10002	10002	10002	10002	10002	10002	10002	10002	1
50303	mcp1k	human	0	12004	1.11	0	0	0	12005	66027	12005	12005	12005	12005	66027	12005	0
50831	mcp1k	human	1	14002	0.00	0	0	0	14001	14001	14001	14001	14001	14001	14001	14001	0
51128	mcp2k	human	1	22002	0.76	0	0	0	22002	43016	22002	22002	22002	22002	43016	22002	1
51513	mcp1k	human	1	16002	0.00	1	1	0	16002	16002	16002	16002	16002	16002	16002	16002	1
51546	mcp2k	human	1	16001	0.00	0	0	0	16001	23002	16001	16001	16001	16001	23002	16001	1
51868	mcp2k	human	1	7001	0.00	0	0	0	7000	69014	7000	7000	7000	7000	69014	7000	0
51964	mcp2k	ai-scanner	1	7002	0.33	1	1	0	7002	7002	7002	7002	7002	7002	7002	7002	1
52044	mcp2k	human	1	18002	0.75	1	1	0	18002	18002	18002	18002	18002	18002	18002	18002	1
52085	mcp1k	human	1	6002	0.18	1	1	0	6002	6002	6002	6002	6002	6002	6002	6002	1
52672	nuecc48	human	1	82148	0.00	0	0	0	82149	25047	82149	82149	82149	82149	25047	82149	0
52693	mcp2k	human	1	18004	1.94	0	0	0	18004	52024	18004	18004	18004	18004	52024	18004	1
52723	mcp1k	human	1	7001	0.57	1	1	0	7001	7001	7001	7001	7001	7001	7001	7001	1
52759	mcp2k	ai-scanner	1	16001	0.59	1	1	0	16001	43010	16001	16001	16001	16001	43010	16001	1
53361	mcp1k	human	1	78013	0.00	0	1	0	27001	29005	27001	27001	27001	27001	29005	27001	0
53658	mcp2k	human	1	15002	0.00	0	0	0	15001	15001	15001	15001	15001	15001	15001	15001	0
53793	mcp2k	ai-scanner	1	37016	1.85	1	1	0	12001	37016	37016	37016	37016	37016	37016	12001	1
54095	nuecc48	human	1	17007	0.60	1	1	0	17007	17007	17007	17007	17007	17007	17007	17007	1
54175	mcp1k	human	1	18002	3.52	0	0	0	18002	18002	18002	18002	18002	18002	18002	18002	1
54332	mcp2k	human	0	16004	5.84	0	0	0	16013	97090	16013	16013	16013	16013	97090	16013	0
54341	mcp1k	human	1	18002	0.70	1	1	0	18002	18002	18002	18002	18002	18002	18002	18002	1
54508	mcp2k	ai-scanner	1	10003	0.15	0	1	0	10003	22006	10003	10003	10003	10003	10003	10003	1
55278	mcp2k	ai-scanner	1	21002	0.00	1	1	0	13001	21002	21002	21002	21002	21002	21002	13001	1
55322	mcp2k	ai-scanner	1	18002	0.31	1	1	0	18002	18002	18002	18002	18002	18002	18002	18002	1
55539	mcp1k	human	1	18001	0.00	0	1	0	18001	18003	18001	18001	18001	18001	18003	18001	1
55595	mcp1k	human	0	8008	2.06	0	1	0	8007	8007	8007	8007	8007	8007	8007	8007	0
55715	mcp1k	human	1	15002	0.53	1	1	0	15002	15002	15002	15002	15002	15002	15002	15002	1
55740	mcp2k	human	1	17001	0.70	1	1	0	17001	17001	17001	17001	17001	17001	17001	17001	1
56180	mcp2k	human	0	18003	0.68	1	1	0	18003	18003	18003	18003	18003	18003	18003	18003	1
56211	mcp1k	human	1	11001	0.00	0	1	0	11002	44003	11002	11002	11002	11002	11002	11002	0
56463	mcp1k	human	0	14002	1.00	1	1	0	14002	14002	14002	14002	14002	14002	14002	14002	1
56939	mcp2k	ai-scanner	1	8002	0.00	1	1	0	8002	8002	8002	8002	8002	8002	8002	8002	1
56972	mcp2k	human	1	17001	0.00	0	1	0	None	None	None	None	None	None	None	None	0
57441	mcp1k	human	1	20001	0.00	0	1	0	20001	45006	20001	20001	20001	20001	45006	20001	1
57575	mcp1k	human	1	12001	0.00	1	1	0	12001	12001	12001	12001	12001	12001	12001	12001	1
57577	mcp2k	ai-scanner	1	13002	0.73	1	1	0	13002	13002	13002	13002	13002	13002	13002	13002	1
57661	mcp1k	human	1	18002	0.81	1	1	0	18002	18002	18002	18002	18002	18002	18002	18002	1
57709	mcp2k	human	1	13002	0.00	0	0	0	13002	88022	13002	13002	13002	13002	13002	13002	1
57903	mcp1k	human	1	14003	1.20	1	1	0	14003	67015	14003	14003	14003	14003	14003	14003	1
58072	mcp2k	ai-scanner	1	15003	0.74	1	1	0	15003	15003	15003	15003	15003	15003	15003	15003	1
58321	mcp1k	human	1	19003	0.08	1	1	0	19003	19003	19003	19003	19003	19003	19003	19003	1
58325	mcp2k	ai-scanner	1	13002	1.04	0	0	0	13002	52023	13002	13002	13002	13002	52023	13002	1
58607	mcp1k	human	1	23001	0.08	0	0	0	23003	69020	23003	23003	23003	23003	69020	23003	0
58653	mcp1k	human	1	4001	0.00	1	1	0	4001	25003	4001	4001	4001	4001	25003	4001	1
59003	mcp1k	human	1	19001	0.00	1	1	0	19001	19001	19001	19001	19001	19001	19001	19001	1
59025	mcp1k	human	1	19002	0.51	1	1	0	19002	19002	19002	19002	19002	19002	19002	19002	1
59093	mcp1k	human	1	15004	0.22	0	1	0	15004	49023	15004	15004	15004	15004	49023	15004	1
59179	mcp1k	human	1	15003	0.36	1	1	0	15003	15003	15003	15003	15003	15003	15003	15003	1
59261	mcp1k	human	0	11004	1.46	0	0	0	11001	11000	11000	11000	11000	11000	11000	11001	0
59335	mcp1k	human	1	11003	0.00	1	1	0	11003	11003	11003	11003	11003	11003	11003	11003	1
59553	mcp1k	human	0	10000	0.13	0	0	0	10003	15004	10003	10003	10003	10003	10003	10003	0
59685	mcp1k	human	1	6002	0.83	1	1	0	6002	6002	6002	6002	6002	6002	6002	6002	1
59929	mcp1k	human	1	20001	0.00	0	1	0	20001	50013	20001	20001	20001	20001	50013	20001	1
60017	mcp1k	human	1	7001	0.00	1	1	0	7001	27003	7001	7001	7001	7001	27003	7001	1
60933	mcp1k	human	1	18003	0.19	1	1	0	18003	18003	18003	18003	18003	18003	18003	18003	1
61351	mcp1k	human	1	17001	0.00	1	1	0	17001	51007	17001	17001	17001	17001	51007	17001	1
61461	mcp1k	human	0	10007	1.12	1	1	0	10005	10007	10007	10007	10007	10007	10007	10005	1
61579	mcp1k	human	1	20003	3.91	0	0	0	None	None	None	None	None	None	None	None	0
61843	mcp1k	human	1	17001	0.00	0	0	0	17010	60037	17010	17010	17010	17010	60037	17010	0
62149	mcp1k	human	1	13002	0.76	1	1	0	13002	13002	13002	13002	13002	13002	13002	13002	1
62459	mcp1k	human	1	10008	0.94	1	1	0	None	10008	10008	10008	10008	10008	10008	None	1
62495	mcp1k	human	1	16002	0.53	1	1	0	16002	16002	16002	16002	16002	16002	16002	16002	1
62721	mcp1k	human	1	16000	0.00	0	0	0	16000	60009	16000	16000	16000	16000	60009	16000	1
63163	mcp1k	human	1	6002	0.00	1	1	0	6002	6002	6002	6002	6002	6002	6002	6002	1
63427	mcp1k	human	1	18002	0.67	1	1	0	18002	18002	18002	18002	18002	18002	18002	18002	1
63551	mcp1k	human	1	6001	0.00	0	1	0	6001	13002	6001	6001	6001	6001	13002	6001	1
63603	mcp1k	human	1	13002	0.17	1	1	0	13002	13002	13002	13002	13002	13002	13002	13002	1
63669	mcp1k	human	1	5001	0.00	0	0	0	5001	17014	5001	5001	5001	5001	17014	5001	1
