event	bucket	shower	matched	n_target	n_actual	n_inter	n_miss	n_extra	comp	pur	q_comp	q_pur	q_f1	q_target	q_actual	q_miss	q_extra	drift	miss	extra
21073	1 under-clustered	60081	60081	45	38	38	7	0	0.8444	1.0000	0.8856	1.0000	0.9393	12441016.8068	11017630.2363	1423386.5705	0	0	31023,31024,33026,34027,57049,64108,64109	
47212	2 over-clustered	2103	105072	24	24	24	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	7507818.6517	7507818.6517	0	0	1		
47212	2 over-clustered	70038	70038	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1217628.4290	1217628.4290	0	0	0		
54332	2 over-clustered	16014	16014	13	5	4	9	1	0.3077	0.8000	0.5727	0.4896	0.5279	4842458.8211	5664914.7924	2069023.6073	2891479.5787	0	97060,97062,97063,97064,98066,98067,98068,99069,129113	16014
54332	2 over-clustered	122091	122091	15	7	7	8	0	0.4667	1.0000	0.8025	1.0000	0.8904	3725980.9917	2989964.5733	736016.4184	0	0	76038,77039,78040,79041,80042,81043,92054,121084	
64591	1 under-clustered	83044	83044	18	17	17	1	0	0.9444	1.0000	0.9821	1.0000	0.9910	4362255.9749	4284149.8501	78106.1248	0	0	60008	
76346	1+2 both	14059	14059	15	7	4	11	3	0.2667	0.5714	0.6196	0.6311	0.6253	3630265.0580	3564181.6166	1380963.6050	1314880.1635	0	14058,32022,33023,34024,35025,36026,39029,40030,41031,41032,42033	49044,49048,49051
76346	1+2 both	40030	14059	5	7	3	2	4	0.6000	0.4286	0.8985	0.3689	0.5231	1463341.2251	3564181.6166	148461.0616	2249301.4530	8	37027,38028	14013,14019,14059,48037
84229	2 over-clustered	69134	69134	51	43	43	8	0	0.8431	1.0000	0.7454	1.0000	0.8542	17154348.3388	12787633.8435	4366714.4952	0	7	9034,9037,9039,9040,9048,9050,9058,9061	
105946	1 under-clustered	55063	55063	21	16	16	5	0	0.7619	1.0000	0.8301	1.0000	0.9071	8162144.4533	6775108.9899	1387035.4634	0	0	35009,53029,53030,53031,54032	
105946	1 under-clustered	56056	56056	5	3	3	2	0	0.6000	1.0000	0.8106	1.0000	0.8954	1011390.9283	819784.6960	191606.2323	0	0	39013,50025	
122660	1 under-clustered	9110	9110	47	37	37	10	0	0.7872	1.0000	0.7397	1.0000	0.8504	23378822.7646	17292808.1680	6086014.5967	0	0	30032,36038,39041,47049,47050,53069,53070,54071,55073,60104	
142421	2 over-clustered	7010	108104	34	43	33	1	10	0.9706	0.7674	0.5440	0.7163	0.6184	12971689.9131	9851682.2622	5914487.0032	2794479.3523	44	7010	48024,50026,56032,79055,107100,107101,108104,108105,108106,108107
166870	1 under-clustered	87058	87058	11	10	10	1	0	0.9091	1.0000	0.9854	1.0000	0.9926	3148129.5546	3102152.7387	45976.8159	0	0	54042	
168596	1 under-clustered	14153	14153	61	61	61	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	24949937.2671	24949937.2671	0	0	20		
169626	1 under-clustered	53069	53069	34	30	30	4	0	0.8824	1.0000	0.7981	1.0000	0.8877	10650288.6322	8500522.1853	2149766.4469	0	0	39039,42042,43043,53070	
173093	1 under-clustered	12007	12007	16	13	13	3	0	0.8125	1.0000	0.8188	1.0000	0.9004	4179170.4948	3421908.5580	757261.9368	0	0	53024,58029,61040	
173093	1 under-clustered	18017	18017	6	6	6	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	906198.7955	906198.7955	0	0	0		
269774	1+2 both	13237	13237	43	48	43	0	5	1.0000	0.8958	1.0000	0.9156	0.9559	12457935.4202	13606889.9003	0	1148954.4801	0		67079,68080,96189,96190,100213
269774	1+2 both	97197	97197	16	8	8	8	0	0.5000	1.0000	0.7022	1.0000	0.8251	4700077.9877	3300590.7086	1399487.2790	0	0	19040,67079,68080,96189,96190,100213,108232,109233	
281485	1 under-clustered	88090	88090	7	3	3	4	0	0.4286	1.0000	0.6014	1.0000	0.7511	2007385.7920	1207206.9629	800178.8291	0	1	62041,65044,90104,90105	
284235	1 under-clustered	6004	6004	8	7	7	1	0	0.8750	1.0000	0.9869	1.0000	0.9934	2572504.0730	2538783.5832	33720.4898	0	0	28009	
284235	1 under-clustered	74027	74027	8	6	6	2	0	0.7500	1.0000	0.8635	1.0000	0.9267	1927295.6948	1664195.5196	263100.1751	0	0	32013,38019	
314838	2 over-clustered	110088	110088	30	26	19	11	7	0.6333	0.7308	0.7266	0.7188	0.7227	10949864.2973	11068705.3606	2993468.0648	3112309.1282	2	13010,13011,83027,85029,87031,89033,91035,94038,95039,109070,109071	110083,110084,110085,110088,110089,111091,111092
342199	1 under-clustered	74101	74101	10	3	3	7	0	0.3000	1.0000	0.5037	1.0000	0.6700	2659116.9499	1339490.1639	1319626.7860	0	0	25035,25037,25038,25108,25109,72098,73099	
347129	1 under-clustered	11000	11000	10	1	1	9	0	0.1000	1.0000	0.7974	1.0000	0.8873	1582853.4206	1262240.8327	320612.5879	0	0	36002,37003,38004,39005,40032,40033,41007,42008,43009	
409634	1 under-clustered	69032	27015	12	10	10	2	0	0.8333	1.0000	0.7653	1.0000	0.8670	2748759.7859	2103502.0199	645257.7660	0	12	69032,69033	
415278	1 under-clustered	23012	23012	44	37	37	7	0	0.8409	1.0000	0.9207	1.0000	0.9587	19171855.0306	17651982.3409	1519872.6897	0	0	102168,103169,104175,104176,105181,105182,110187	
415278	1 under-clustered	23037	23037	48	43	43	5	0	0.8958	1.0000	0.9627	1.0000	0.9810	26752941.1112	25755147.1460	997793.9651	0	0	75131,76132,80136,99156,99157	
423981	1 under-clustered	12095	12095	23	23	23	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	10100148.0196	10100148.0196	0	0	5		
444187	1 under-clustered	19079	19079	7	3	3	4	0	0.4286	1.0000	0.6280	1.0000	0.7715	7166954.5141	4500578.1376	2666376.3765	0	0	19039,19067,19082,61074	
463565	1+2 both	13001	13001	41	15	15	26	0	0.3659	1.0000	0.5869	1.0000	0.7397	16384267.3697	9615485.5747	6768781.7949	0	0	48040,49041,50042,51043,59051,72064,73065,75067,109073,109074,110075,111079,112080,113081,114084,114086,115088,115090,115092,115094,115099,115100,115101,115102,115103,115106	
469665	1 under-clustered	15003	15003	30	23	21	9	2	0.7000	0.9130	0.8733	0.9535	0.9116	10146883.1090	9292999.5437	1286002.3975	432118.8322	5	32007,34009,35010,36011,37012,62073,62074,66042,66048	64032,65040
