event	node	verdict	n_own	k_ship	k_rec	n_rec	a_ship	a_rec
21073	60081	SPLIT2	2	1	1	0	0.5593	0.5593
21073	63100	SPLIT2	2	2	2	0	1.0000	1.0000
52605	51023	SPLIT2	2	1	1	0	0.5719	0.5719
58755	30003	SPLIT2	2	2	3	1	1.0000	0.9853
67394	58035	SPLIT2	2	2	2	0	1.0000	1.0000
71372	19049	SPLIT3	3	1	1	0	0.5177	0.5177
71642	41028	SPLIT2	2	2	2	0	1.0000	1.0000
71642	84105	SPLIT2	2	2	2	0	1.0000	1.0000
76350	103093	SPLIT2	2	2	2	0	1.0000	1.0000
84229	69134	SPLIT2	2	2	2	0	1.0000	1.0000
91917	17005	SPLIT2	2	2	2	0	1.0000	1.0000
96383	14005	SPLIT2	2	2	2	0	1.0000	1.0000
98844	6013	SPLIT2	2	2	3	2	0.9322	0.9322
122660	9111	SPLIT2	2	2	3	1	1.0000	0.9705
142421	108104	SPLIT2	2	1	1	0	0.8211	0.8211
169356	67030	SPLIT2	2	2	2	0	1.0000	1.0000
170761	8026	SPLIT2	2	2	3	2	1.0000	0.9860
174771	91075	SPLIT2	2	2	3	1	1.0000	0.9875
176502	23030	SPLIT3	3	1	1	0	0.7295	0.7295
176502	109119	SPLIT3	3	2	2	0	0.8236	0.8236
181050	15005	SPLIT2	2	1	1	0	0.8130	0.8130
269774	13237	SPLIT2	2	2	2	0	1.0000	1.0000
280972	79136	SPLIT2	2	2	2	0	1.0000	1.0000
281485	87078	SPLIT3	3	1	1	0	0.4372	0.4372
281485	89095	SPLIT2	2	2	2	0	1.0000	1.0000
281567	9025	SPLIT2	2	1	1	0	0.6029	0.6029
281781	89069	SPLIT3	3	2	2	0	0.6625	0.6625
284200	6013	SPLIT2	2	2	2	0	1.0000	1.0000
287830	21042	SPLIT2	2	2	2	0	1.0000	1.0000
292643	25015	SPLIT2	2	2	3	1	1.0000	0.8099
293149	4001	SPLIT2	2	1	1	0	0.7079	0.7079
294174	16004	SPLIT2	2	2	2	0	1.0000	1.0000
294174	71067	SPLIT2	2	2	3	1	1.0000	0.9648
314838	110088	SPLIT2	2	2	2	0	1.0000	1.0000
321169	16055	SPLIT3	3	1	1	0	0.5395	0.5395
350354	18092	SPLIT2	2	2	2	0	1.0000	1.0000
393212	6009	SPLIT2	2	2	2	0	1.0000	1.0000
396037	69026	SPLIT2	2	2	2	0	1.0000	1.0000
396222	9059	SPLIT4+	8	2	4	2	0.0795	0.6411
396222	9084	SPLIT3	3	2	1	0	0.3406	0.3406
406125	38021	SPLIT2	2	2	3	1	1.0000	0.9845
415278	23012	SPLIT3	3	2	2	0	0.8905	0.8905
415278	23037	SPLIT4+	5	2	2	0	0.8510	0.8510
415278	83139	SPLIT2	2	2	2	0	1.0000	1.0000
487853	13000	SPLIT2	2	2	2	0	1.0000	1.0000
