event	numu	nue	cosmict	enu	dvtx_cm
259542	-0.834->-0.306	=	=	2152->2132	0.0
285567	1.460->0.845	-3.987->-3.182	=	1513->1823	0.0
399860	0.119->-0.156	=	=	1411->1608	0.0
56982	0.019->0.494	-1.854->-2.093	=	1235->1463	0.0
