arm	evt	A_track_trunk_em	B_long_electron	C_root_gamma_fan	D_pf_absent	detail
work-pr51r7-on19	18625	0	0	0	0	
work-pr51r7-on19	21073	0	0	4	0	
work-pr51r7-on19	37112	0	0	0	0	
work-pr51r7-on19	56982	0	0	0	0	
work-pr51r7-on19	71372	1	1	0	1	92121:mu->gamma:1001MeV 92123:105cm/rt1.17cm 91117:265pts
work-pr51r7-on19	84229	0	0	0	0	
work-pr51r7-on19	105946	0	0	0	0	
work-pr51r7-on19	114446	0	0	0	0	
work-pr51r7-on19	142421	0	1	4	1	111125:76cm/rt2.90cm 7013:2975pts
work-pr51r7-on19	180801	0	0	0	0	
work-pr51r7-on19	259542	0	2	4	0	131134:65cm/rt2.33cm 120070:53cm/rt1.87cm
work-pr51r7-on19	285567	1	0	6	0	8013:mu->e-:408MeV
work-pr51r7-on19	314838	0	1	0	0	13006:95cm/rt2.68cm
work-pr51r7-on19	359980	0	1	3	0	78076:60cm/rt2.80cm
work-pr51r7-on19	399860	0	0	0	0	
work-pr51r7-on19	463565	0	0	5	0	
work-pr51r7-on19	506114	0	0	4	0	
work-pr51r7-on19	506746	0	0	0	0	
work-pr51r7-on19	521075	0	0	0	0	
work-pr51r7-on48	388	0	1	0	0	81127:91cm/rt2.24cm
work-pr51r7-on48	10550	0	1	3	0	43021:60cm/rt2.63cm
work-pr51r7-on48	30504	0	1	3	0	69058:53cm/rt0.73cm
work-pr51r7-on48	38856	0	0	0	0	
work-pr51r7-on48	42280	0	0	0	0	
work-pr51r7-on48	46363	0	0	0	0	
work-pr51r7-on48	52672	0	0	0	0	
work-pr51r7-on48	54095	0	0	0	0	
work-pr51r7-on48	69314	2	0	0	0	3009:mu->e-:80MeV 3027:pi+>e-:96MeV
work-pr51r7-on48	74544	0	0	0	0	
work-pr51r7-on48	81597	0	0	0	0	
work-pr51r7-on48	90055	1	0	0	0	11045:mu->e-:2020MeV
work-pr51r7-on48	111412	0	0	0	0	
work-pr51r7-on48	122660	0	0	3	0	
work-pr51r7-on48	131357	0	0	0	0	
work-pr51r7-on48	137238	0	1	0	0	143058:111cm/rt1.34cm
work-pr51r7-on48	138009	1	0	0	0	12090:mu->e-:1184MeV
work-pr51r7-on48	163543	0	0	3	0	
work-pr51r7-on48	168596	0	0	4	0	
work-pr51r7-on48	172230	0	0	0	0	
work-pr51r7-on48	174637	0	0	0	0	
work-pr51r7-on48	196649	0	0	0	0	
work-pr51r7-on48	214469	0	0	0	0	
work-pr51r7-on48	219295	0	0	0	0	
work-pr51r7-on48	234638	0	0	0	0	
work-pr51r7-on48	235435	0	1	0	0	2041:78cm/rt2.75cm
work-pr51r7-on48	239794	0	0	0	0	
work-pr51r7-on48	246579	0	0	0	0	
work-pr51r7-on48	256587	0	0	0	0	
work-pr51r7-on48	267597	0	0	0	0	
work-pr51r7-on48	268067	1	0	0	0	15076:pi+>e-:761MeV
work-pr51r7-on48	268784	0	0	3	0	
work-pr51r7-on48	269774	0	1	0	0	97179:50cm/rt2.02cm
work-pr51r7-on48	271851	0	0	0	0	
work-pr51r7-on48	342199	1	1	0	0	20110:pi+>gamma:76MeV 69090:61cm/rt1.60cm
work-pr51r7-on48	350186	0	0	0	0	
work-pr51r7-on48	360535	0	0	0	0	
work-pr51r7-on48	389538	1	1	4	0	11004:mu->gamma:997MeV 65075:56cm/rt1.77cm
work-pr51r7-on48	400474	0	0	0	0	
work-pr51r7-on48	422851	0	0	0	0	
work-pr51r7-on48	423981	0	0	0	0	
work-pr51r7-on48	433451	0	0	0	0	
work-pr51r7-on48	437699	0	0	0	0	
work-pr51r7-on48	444187	0	1	0	0	19034:60cm/rt2.45cm
work-pr51r7-on48	447477	0	0	0	0	
work-pr51r7-on48	469665	0	0	3	0	
work-pr51r7-on48	489330	0	0	0	0	
work-pr51r7-on50	48367	0	1	0	0	82053:57cm/rt1.91cm
work-pr51r7-on50	49951	0	0	0	0	
work-pr51r7-on50	50303	0	0	0	0	
work-pr51r7-on50	50743	0	0	0	0	
work-pr51r7-on50	50831	0	0	0	0	
work-pr51r7-on50	51051	0	0	0	0	
work-pr51r7-on50	51513	0	0	0	0	
work-pr51r7-on50	51865	0	0	0	0	
work-pr51r7-on50	52085	1	0	0	0	6002:pi+>gamma:60MeV
work-pr51r7-on50	52657	0	0	0	0	
work-pr51r7-on50	52723	0	0	0	0	
work-pr51r7-on50	53361	0	1	0	0	27001:119cm/rt2.76cm
work-pr51r7-on50	53427	0	0	0	0	
work-pr51r7-on50	53713	0	0	0	0	
work-pr51r7-on50	54175	1	0	0	0	18016:mu->e-:56MeV
work-pr51r7-on50	54341	0	0	0	0	
work-pr51r7-on50	54351	0	0	0	0	
work-pr51r7-on50	55539	0	1	0	0	23005:107cm/rt0.86cm
work-pr51r7-on50	55595	0	0	0	0	
work-pr51r7-on50	55627	0	0	0	0	
work-pr51r7-on50	55715	1	0	0	0	15003:pi+>e-:56MeV
work-pr51r7-on50	55957	0	0	0	0	
work-pr51r7-on50	56211	0	0	0	0	
work-pr51r7-on50	56243	0	1	0	0	71045:76cm/rt2.75cm
work-pr51r7-on50	56463	0	0	0	0	
work-pr51r7-on50	57441	0	0	0	0	
work-pr51r7-on50	57485	0	0	0	0	
work-pr51r7-on50	57575	0	0	0	0	
work-pr51r7-on50	57661	0	0	0	0	
work-pr51r7-on50	57883	0	0	0	0	
work-pr51r7-on50	57903	0	0	0	0	
work-pr51r7-on50	58321	0	0	0	0	
work-pr51r7-on50	58345	0	0	0	0	
work-pr51r7-on50	58607	0	1	0	0	23005:171cm/rt2.87cm
work-pr51r7-on50	58653	0	0	0	0	
work-pr51r7-on50	58717	0	0	0	0	
work-pr51r7-on50	59003	0	0	0	0	
work-pr51r7-on50	59025	0	0	0	0	
work-pr51r7-on50	59085	0	0	0	0	
work-pr51r7-on50	59093	0	0	0	0	
work-pr51r7-on50	59179	0	0	0	0	
work-pr51r7-on50	59247	0	0	0	0	
work-pr51r7-on50	59261	0	0	0	0	
work-pr51r7-on50	59335	0	0	0	0	
work-pr51r7-on50	59371	0	0	0	0	
work-pr51r7-on50	59553	0	0	0	0	
work-pr51r7-on50	59685	0	0	0	0	
