idx	evt	man	class	n_fire	n_fire_touch	d_fire_traj	maxsep	route_lo	route_hi	dvtx	d_old_on	d_new_off	slide	traj_moved_pct	denu	pio_mass_off	pio_mass_on	npart_off	npart_on	nusel_delta	particle_delta
0	163543	nueCC48	A	7	7	0.22	3.295	40.3	78.3	58.21	0.30	0.08	1	3.1	81.7	6.5	299.8	5	5	-	e 1->7
1	52672	nueCC48	A	3	3	0.20	4.530	8.7	50.3	57.83	0.13	0.45	1	0.7	156.7	69.0	32.5	5	5	-	mu 0->1
2	38856	nueCC48	A	2	2	0.14	3.251	51.1	99.3	29.93	0.40	0.75	1	15.1	-99.8	138.6	51.2	5	5	-	mu 0->1, e 3->4
3	30504	nueCC48	A	1	1	0.21	3.095	23.3	23.3	22.39	3.23	0.00	0	7.8	-125.2	305.2	199.2	5	5	-	mu 1->0
4	111412	nueCC48	B	7	7	0.08	4.890	10.2	94.5	5.60	0.90	0.00	1	8.1	-3.0	442.3	279.2	4	4	-	e 3->2
5	469665	nueCC48	B	3	3	0.37	4.157	4.3	27.2	3.11	0.15	0.27	1	0.9	248.4	89.2	42.5	4	5	-	p 1->0, pi+ 0->1, e 4->1
6	423981	nueCC48	B	3	3	0.07	3.315	30.8	36.1	1.23	0.20	0.33	1	8.9	-1133.0	91.7	103.4	5	4	-	p 2->1, pi+ 1->0, mu 4->0
7	234638	nueCC48	B	5	5	0.21	3.464	43.3	159.8	1.16	0.41	0.31	1	4.6	56.9	147.8	30.1	5	5	-	mu 205->110 MeV
8	268784	nueCC48	C	6	6	0.22	3.084	61.6	70.9	0.78	0.78	0.19	1	2.4	-154.7	281.1	315.7	4	5	-	e 6->8
9	74544	nueCC48	C	3	3	0.10	4.810	7.0	42.9	0.39	0.39	0.39	1	6.1	142.2	72.4	72.7	5	5	-	-
10	433451	nueCC48	C	3	3	0.25	4.226	31.1	103.5	0.33	0.33	0.33	1	10.4	-129.3	43.1	38.5	4	5	-	e 50->28 MeV, e 2090->2078 MeV
11	69314	nueCC48	C	6	6	0.29	10.001	31.1	215.1	0.17	0.17	0.17	1	9.5	-184.8	180.8	75.9	5	5	-	p 2->1
12	54095	nueCC48	C	6	6	0.06	3.306	10.3	57.5	0.16	0.16	0.16	1	4.7	-5.3	40.1	52.4	5	4	-	-
13	239794	nueCC48	C	6	6	0.16	3.571	16.1	102.7	0.14	0.14	0.14	1	18.5	23.9	19.3	50.5	5	5	-	e 2652->2675 MeV
14	246579	nueCC48	C	4	4	0.13	3.679	8.4	37.8	0.14	0.14	0.14	1	6.6	0.8	60.6	64.4	4	4	-	e 1688->1698 MeV
15	90055	nueCC48	C	3	3	0.27	4.321	8.1	25.9	0.13	0.13	0.13	1	5.6	-5.8	46.0	44.2	4	4	-	-
16	214469	nueCC48	C	5	5	0.39	3.472	13.5	169.7	0.05	0.05	0.05	1	10.1	6.3	119.0	134.0	5	5	-	e 1806->1812 MeV
17	256587	nueCC48	C	3	3	0.21	3.422	18.9	82.3	0.05	0.05	0.05	1	15.7	2.8	95.8	89.2	5	4	-	-
18	42280	nueCC48	C	7	7	0.00	7.332	18.9	54.7	0.05	0.05	0.05	1	30.9	-7.5	75.8	31.4	4	4	-	e 1->3
19	138009	nueCC48	D	1	1	0.27	3.465	12.7	12.7	0.00	0.00	0.00	1	2.7	0.2	35.2	35.3	4	4	-	-
20	196649	nueCC48	D	1	1	0.38	3.319	15.8	15.8	0.00	0.00	0.00	1	0.4	-0.2	0.0	0.0	4	4	-	-
21	342199	nueCC48	D	2	2	0.00	4.157	16.2	19.0	0.00	0.00	0.00	1	0.0	0.0	335.0	335.0	5	5	-	-
22	360535	nueCC48	D	3	3	0.15	4.179	27.5	36.7	0.00	0.00	0.00	1	4.9	-1.3	38.4	38.0	4	4	-	-
23	388	nueCC48	C	1	1	0.19	4.773	27.0	27.0	0.00	0.00	0.00	1	4.7	112.8	0.0	0.0	4	4	-	mu 0->1, e 4->3
24	400474	nueCC48	D	2	2	0.27	5.713	12.3	13.1	0.00	0.00	0.00	1	1.7	0.0	247.6	247.6	4	4	-	-
25	447477	nueCC48	C	2	2	0.25	4.917	13.1	14.6	0.00	0.00	0.00	1	9.0	59.6	28.8	0.0	4	5	-	e 3->5
26	46363	nueCC48	C	3	3	0.24	3.663	10.6	14.4	0.00	0.00	0.00	1	8.3	-1411.4	235.9	105.1	4	4	-	e 2->3
27	489330	nueCC48	D	4	4	0.10	4.978	12.9	25.2	0.00	0.00	0.00	1	6.2	-1.1	0.0	0.0	5	5	-	-
28	81597	nueCC48	D	2	2	0.28	3.756	11.0	18.6	0.00	0.00	0.00	1	4.7	0.5	0.0	0.0	4	4	-	-
29	56982	NCpi0-19	A	1	1	0.64	3.600	13.4	13.4	23.68	1.17	0.31	1	0.2	-367.1	168.2	41.6	5	5	-	p 1->2, mu 1->0, e 3->5
