evt	same	rc_on	rc_off	highest_y	flag_on	flag_off	ncmp	ncmpg
10550	SAME	0	0	98.2	false	false	20	0
111412	SAME	0	0	177.9	false	true	16	0
116962	SAME	0	0	na	na	na	0	0
122660	SAME	0	0	-32.6	false	false	16	0
131357	SAME	0	0	181.8	false	false	10	0
137238	SAME	0	0	46.2	false	false	8	0
138009	SAME	0	0	185.1	false	false	20	0
163543	SAME	134	137	na	na	na	23	0
168596	SAME	0	0	66.1	[16:26:04.245] T [clus.NeutrinoPattern] cosmic_tagger: part D num_cosmic=2 highest_y=66.1 cm acc_cosmic=8.2 acc_small=2.1 acc_total=130.7 cm ouping [0x555557648350]: nclusters=119>, 50140 points and 0 clusters with no points ../clus/src/MultiAlgBlobClustering.cxx:2292	[16:26:04.228] T [clus.NeutrinoPattern] cosmic_tagger: part D num_cosmic=2 highest_y=66.1 cm acc_cosmic=8.2 acc_small=36.1 acc_total=130.7 cm flping [0x555557647da0]: nclusters=119>, 50140 points and 0 clusters with no points ../clus/src/MultiAlgBlobClustering.cxx:2292	25	0
172230	SAME	0	0	-84.2	false	false	23	0
174637	SAME	0	0	-54.4	false	false	15	0
196649	SAME	0	0	-9.0	false	false	13	0
214469	SAME	0	0	196.7	false	false	21	0
219295	SAME	0	0	68.9	false	false	26	0
234638	SAME	0	0	87.5	false	false	27	0
235435	SAME	0	0	199.9	false	false	5	0
239794	SAME	0	0	-11.9	false	false	25	0
246579	SAME	0	0	172.8	false	false	25	0
256587	SAME	0	0	136.4	false	false	46	0
267597	SAME	0	0	-84.6	false	false	35	0
268067	SAME	0	0	-43.2	false	false	11	0
268784	SAME	0	0	28.0	false	false	26	0
269774	DIFF	0	0	49.9	false	false	38	0
271851	SAME	1	1	na	na	na	16	0
30504	SAME	0	0	18.2	false	false	16	0
342199	SAME	0	0	29.0	false	false	14	0
350186	SAME	0	0	97.8	false	false	18	0
360535	SAME	0	0	-84.8	false	false	28	0
388	SAME	0	0	82.3	false	false	25	0
38856	SAME	0	0	45.7	false	false	9	0
389538	SAME	0	0	168.1	false	false	8	0
400474	SAME	0	0	-41.0	false	false	24	0
42280	SAME	0	0	23.3	false	false	20	0
422851	SAME	0	0	-56.0	false	false	29	0
423981	SAME	0	0	179.4	false	false	25	0
433451	SAME	0	0	59.2	false	false	56	0
437699	SAME	0	0	199.5	false	false	16	0
444187	SAME	0	0	-12.1	false	false	4	0
447477	SAME	0	0	86.9	false	false	22	0
46363	SAME	0	0	39.0	false	false	31	0
469665	SAME	0	0	192.3	false	false	10	0
489330	SAME	0	0	-100.0	false	false	12	0
52672	SAME	0	0	199.9	false	false	27	0
54095	SAME	0	0	55.3	false	false	27	0
69314	SAME	0	0	13.1	false	false	22	0
74544	SAME	0	0	154.3	false	false	12	0
81597	SAME	0	0	42.3	false	false	12	0
90055	SAME	0	0	73.2	false	false	35	0
