run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18253	1	172230					1623.7341	1611.4135		
18253	1	444187	1.5660865	0.9610578			1287.8346	1075.7072		
18255	1	388	-1.7465272	-1.4344124			2772.8293	2914.2097		
18255	1	10550	-0.96898586	-0.44988033			908.2354	915.94635		
18255	1	46363	-1.0364143	-1.7624332	4.300936	1.8186885	1963.8833	469.86237	0.0	45.056718316411526
18255	1	69314	3.9602425	1.8456885	-15.0	0.13310665	1498.7476	1696.295		
18255	1	90055	-1.1415854	-0.8303866			2664.614	2514.9465		
18255	1	122660	-0.38601148	0.0065136603	4.300936	-15.0	1453.9089	1423.4534	0.0	5.941265847090168
18255	1	138009	-0.44828352	-0.23228176			1437.0983	1432.0869		
18255	1	163543	-0.64185226	0.6155447	-1.3859074	3.1803052			0.0	5.715896145035868
18255	1	168596	-1.3801125	-1.2023933			2402.206	2142.815	0.0	1.3226154776426868
18255	1	174637	0.62104213	0.9658298						
18255	1	196649	-1.1169435	-1.4127825	4.242424	4.300936				
18255	1	219295	-0.28063866	0.061834715			1766.7351	1814.6694		
18255	1	234638					1418.2938	1430.6227	0.0	1.2336762501079641
18255	1	235435	0.687911	-0.5507335	-15.0	4.300936	878.0584	852.2892	0.0	30.921837921716445
18255	1	239794	-0.76241416	-0.94581443						
18255	1	246579	-2.3804524	-2.0999935			1829.3135	1853.2983		
18255	1	268067	0.42014572	0.0770905	4.300936	1.4173093	1599.021	1479.9695	0.0	2.661663950393634
18255	1	268784	-0.59687036	0.374364						
18255	1	269774	-1.0213035	-0.7284492			2489.3613	2415.9		
18255	1	271851	-0.26961628	0.8852886	4.300936	-1.1696572	1536.8811	1583.7109	0.0	34.476610595748184
18255	1	350186	-1.0745177	-0.6601595						
18255	1	360535					2226.9146	2202.0872	0.0	1.1317863951983276
18255	1	389538	0.7780297	4.301008	4.300936	-15.0	939.31775	986.27344	0.0	213.46329076381681
18255	1	422851	-0.18830499	-0.3759637						
18255	1	423981	0.013294962	-0.5022657	3.4017913	4.300936	2132.617	2033.1375		
18255	1	433451	-1.9285995	-0.8264398			2766.097	2709.1638		
18255	1	437699	-1.0177827	-0.27706587			1490.7605	1507.4895	0.0	1.4937394959044892
18255	1	447477	0.25853688	0.68730646			1182.9696	1127.6858		
18255	1	469665	-1.5343628	-0.098740034	1.2254568	4.300936	876.33636	977.42975	0.0	1.5484325756173531
18255	1	489330	-1.7711712	-0.8780207			2253.512	2100.3787		
18259	1	42280	-2.2403855	-0.82884973						
18259	1	52672			-4.300936	-15.0	937.625	877.85596	0.0	30.972201618531578
18259	1	54095	0.014922174	-1.2162468						
18259	1	74544	-0.20840366	-1.7736677						
18259	1	111412	0.071648054	-1.389499	0.037387524	4.300936			0.0	41.32240868538977
18259	1	131357	-0.1216458	-0.5674816						
18264	1	137238	1.1364765	0.70486325	-3.414522	-15.0	739.1822	989.1476		
18279	1	267597	-1.0562809	-1.570827						
18304	1	38856	0.5968881	0.20377868	-0.3668464	2.3066597	1280.3975	1521.6421	0.0	9.228097264512543
18306	1	256587	-2.2989028	-1.3879548			3947.8596	3929.1912		
18313	1	81597					1578.2323	1583.7511		
18342	1	30504	-0.9888835	0.08968353	-1.3878838	-15.0	1251.1335	1653.5293	0.0	1.0324734185304694
18355	1	400474	-0.06853404	0.2830394	4.15911	4.300936	1799.0825	1792.9147		
18409	1	214469	-0.27337402	-0.47633427			2382.9573	2388.346		
