set	sample	event	shower	conn	kine_best	kine_charge	E	nearest_edge	d_MeV	d_frac	tier	tier_prev_fudge	flip_crossed
98	nuecc48	388	23032	1	1836.14	1836.14	1836.14	800.0	1036.14	1.2952	5	5	0
98	nuecc48	388	81098	3	12.25	12.25	12.25	100.0	87.75	0.8775	0	0	0
98	nuecc48	388	27066	4	4.45	4.45	4.45	100.0	95.55	0.9555	0	0	0
98	nuecc48	388	58073	3	1.15	1.15	1.15	100.0	98.85	0.9885	0	0	0
98	nuecc48	388	69085	3	1.03	1.03	1.03	100.0	98.97	0.9897	0	0	0
98	nuecc48	388	97179	4	4.02	4.02	4.02	100.0	95.98	0.9598	0	0	0
98	nuecc48	388	94112	3	7.88	7.88	7.88	100.0	92.12	0.9212	0	0	0
98	nuecc48	10550	7016	1	48.4	35.55	48.4	100.0	51.6	0.516	0	0	0
98	nuecc48	10550	7036	1	741.83	741.83	741.83	800.0	58.17	0.0727	4	4	0
98	nuecc48	10550	44058	2	12.97	12.97	12.97	100.0	87.03	0.8703	0	0	0
98	nuecc48	10550	50075	2	24.1	24.1	24.1	100.0	75.9	0.759	0	0	0
98	nuecc48	10550	52077	2	17.89	17.89	17.89	100.0	82.11	0.8211	0	0	0
98	nuecc48	10550	16037	4	1.53	1.53	1.53	100.0	98.47	0.9847	0	0	0
98	nuecc48	10550	17038	4	2.46	2.46	2.46	100.0	97.54	0.9754	0	0	0
98	nuecc48	10550	40054	3	2.14	2.14	2.14	100.0	97.86	0.9786	0	0	0
98	ncpi0	18625	126059	2	655.88	655.88	655.88	800.0	144.12	0.1801	4	4	0
98	ncpi0	18625	37010	4	1.82	1.82	1.82	100.0	98.18	0.9818	0	0	0
98	ncpi0	18625	46019	3	0.94	0.94	0.94	100.0	99.06	0.9906	0	0	0
98	ncpi0	18625	49022	3	3.08	3.08	3.08	100.0	96.92	0.9692	0	0	0
98	ncpi0	18625	51024	4	3.67	3.67	3.67	100.0	96.33	0.9633	0	0	0
98	ncpi0	21073	11008	1	69.99	31.7	69.99	100.0	30.01	0.3001	0	0	0
98	ncpi0	21073	60081	2	632.75	632.75	632.75	800.0	167.25	0.2091	4	4	0
98	ncpi0	21073	63100	2	97.44	97.44	97.44	100.0	2.56	0.0256	0	0	0
98	ncpi0	21073	31023	2	76.92	76.92	76.92	100.0	23.08	0.2308	0	0	0
98	ncpi0	21073	16019	2	31.31	31.31	31.31	100.0	68.69	0.6869	0	0	0
98	ncpi0	21073	69118	2	16.96	16.96	16.96	100.0	83.04	0.8304	0	0	0
98	ncpi0	21073	50043	2	7.95	7.95	7.95	100.0	92.05	0.9205	0	0	0
98	ncpi0	21073	51044	3	15.06	15.06	15.06	100.0	84.94	0.8494	0	0	0
98	ncpi0	21073	30022	3	1.94	1.94	1.94	100.0	98.06	0.9806	0	0	0
98	nuecc48	30504	11008	1	46.62	46.62	46.62	100.0	53.38	0.5338	0	0	0
98	nuecc48	30504	11065	1	334.34	334.34	334.34	360.0	25.66	0.0713	3	3	0
98	nuecc48	30504	11066	1	4.6	3.32	4.6	100.0	95.4	0.954	0	0	0
98	nuecc48	30504	11068	1	613.66	613.66	613.66	800.0	186.34	0.2329	4	4	0
98	nuecc48	30504	11069	1	19.24	19.24	19.24	100.0	80.76	0.8076	0	0	0
98	nuecc48	30504	63045	2	11.25	11.25	11.25	100.0	88.75	0.8875	0	0	0
98	nuecc48	30504	65047	2	6.78	6.78	6.78	100.0	93.22	0.9322	0	0	0
98	nuecc48	30504	69060	3	6.6	6.6	6.6	100.0	93.4	0.934	0	0	0
98	nuecc48	30504	22022	4	1.51	1.51	1.51	100.0	98.49	0.9849	0	0	0
98	nuecc48	30504	58040	3	11.32	11.32	11.32	100.0	88.68	0.8868	0	0	0
