evt	dclickA	dclickB	dmainA	dmainB	cdegA	cdegB	ctrkA	ctrkB	scA	scB	classes
10550	0.00	0.00	47.37	47.37	1	1	1	1	0	0	
111412	0.00	0.00	40.53	40.53	3	3	3	3	0	0	
131357	0.00	0.00	0.00	0.00	2	2	1	1	0	0	
137238	0.00	0.00	0.00	0.00	2	2	1	1	0	0	
163543	0.00	0.00	33.35	33.35	1	1	0	0	0	0	
172230	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
174637	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
196649	0.00	0.00	0.00	0.00	1	1	1	1	0	0	
214469	0.00	0.00	0.00	0.00	2	2	1	1	0	0	
219295	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
235435	0.00	0.00	30.82	30.82	1	1	1	1	0	0	
239794	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
246579	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
256587	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
267597	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
268784	0.00	0.00	0.00	0.00	3	3	2	2	0	0	
269774	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
30504	0.00	0.00	74.75	74.75	1	1	0	0	0	0	
342199	0.00	0.00	0.00	0.00	2	2	1	1	0	0	
350186	0.00	0.00	0.00	0.00	1	1	0	0	0	0	
388	0.00	0.00	0.00	0.00	3	3	1	1	0	0	
38856	0.00	0.00	24.48	24.48	2	2	2	2	0	0	
389538	0.00	0.00	213.47	213.47	3	3	3	3	0	0	
42280	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
422851	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
433451	0.00	0.00	0.00	0.00	4	4	4	4	0	0	
444187	0.00	0.00	0.00	0.00	4	4	1	1	0	0	
447477	0.00	0.00	0.00	0.00	3	3	3	3	0	0	
46363	0.00	0.00	45.06	45.06	1	1	0	0	0	0	
469665	0.00	0.00	1.41	1.41	1	1	0	0	1	1	
489330	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
52672	0.00	0.00	30.60	30.60	3	3	0	0	0	0	
54095	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
69314	0.00	0.00	0.00	0.00	5	5	5	5	0	0	
74544	0.00	0.00	0.00	0.00	2	2	2	2	0	0	
81597	0.00	0.00	0.00	0.00	2	2	1	1	0	0	
90055	0.00	0.00	0.00	0.00	3	3	2	2	0	0	
122660	0.00	0.00	5.68	5.68	2	2	2	2	0	0	
400474	0.00	0.00	0.00	0.00	3	3	3	3	0	0	
