event	numu	nue	cosmict	enu	dvtx_cm
10550	-1.325->-1.663	=	=	939->835	0.0
138009	0.356->0.085	=	=	1549->1440	0.4
168596	-0.317->-0.028	=	=	1790->1614	0.0
172230	-0.320->-0.085	=	=	1751->1618	0.0
196649	-1.139->-1.140	=	=	=	0.0
219295	-1.398->-0.195	=	=	1966->1824	0.0
234638	-0.507->-0.412	=	=	1580->1433	0.0
268067	0.326->-1.382	-15.000->1.276	1.0->0.0	1067->1712	0.0
271851	-0.354->-0.512	3.903->1.319	=	1570->1565	0.9
30504	-0.273->-0.100	-4.301->-15.000	=	1327->1459	0.0
342199	-1.110->-1.140	=	=	1377->1236	0.0
38856	-0.366->-0.695	-2.815->4.301	=	1398->1505	0.0
389538	2.625->3.155	=	=	2583->2504	0.0
422851	-0.497->-0.245	=	=	1368->1357	0.0
423981	1.678->2.012	=	=	1048->1051	0.0
437699	-0.674->-0.277	=	=	1664->1524	0.0
447477	-0.183->0.146	=	=	1236->1225	0.0
469665	-0.064->-0.099	=	=	1125->994	0.0
69314	1.735->1.696	1.714->0.642	=	1737->1726	0.0
74544	-0.034->-1.769	=	=	2340->2198	0.0
81597	-1.908->-1.000	=	=	1599->1577	0.0
