evt	sample	route	d_final	acc_wrong	margin	n_rows	n_usable	n_trad_scored	t_vid	t_clus	t_d	t_rank	t_dl	t_snap	t_total	t_trad_scored	t_trad_score	t_trad_winner	f_vid	f_clus	f_in_rows	f_trad_scored	f_trad_score	f_dl_snapped	f_total	cluster_swap	truth_unscored	truth_scored_lost	far_miss
268067	nuecc	dl-rerank-accept	2.27	1	-922.584	33	5	28	15004	15	0.1	0	0.928	0.77	932.584	0	0.0	0	15079		0						1	0	0
284145	numu	dl-rerank-accept	4.67	1	-994.355	29	3	27	11005	11	0.31	0	1.0	0.72	1004.355	0	0.0	0	11033		0						1	0	0
287517	numu	dl-rerank-accept	1.05	1	-540.12	11	4	10	13002	13	0.34	0	0.546	0.22	550.12	1	1.5	1	13015		0						0	0	0
394642	numu	dl-rerank-accept	1.49	1	-0.664	6	5	4	13003	13	0.34	0	0.006	0.31	10.664	0	0.0	0	13003	13	1	0	0.0	1	10.664	0	1	0	0
423981	nuecc	dl-rerank-accept	1.48	1	-994.379	54	2	53	12003	12	0.36	0	1.0	0.6	1004.379	1	1.574	1	12099		0						0	0	0
62281	mcp1k	dl-rerank-accept	28.21	0	-8.478	9	7	8	19002	19	0.0	6	0.005	0.95	8.938	1	0.998	1	19004	19	1	1	0.429	1	18.478	0	0	0	1
175808	mcp1k	dl-rerank-accept	9.39	0	-0.073	18	11	14	18002	18	0.0	4	0.005	3.61	8.446	1	1.375	1	18003	18	1	0	0.0	1	10.073	0	0	0	0
271851	nuecc	dl-rerank-accept	31.85	0	-7.675	63	19	52	23001	23	0.02	9	0.005	0.14	9.233	0	0.0	0	23139		0						1	0	1
276836	mcp1k	dl-rerank-accept	225.33	0	-0.112	23	10	23	11002	11	0.0	4	0.005	0.87	9.751	1	0.875	0	11001	11	1	1	0.468	1	10.112	0	0	1	1
277298	mcp1k	dl-rerank-accept	6.36	0	-456.598	15	2	14	17004	17	0.0	8	0.241	2.98	245.084	0	0.0	0	17027		0						1	0	0
283040	mcp1k	dl-rerank-accept	2.11	0	-50.524	39	11	37	2000	2	0.14	1	0.052	0.12	56.293	1	0.56	0	2004	2	1	1	0.425	1	60.524	0	0	1	0
