population	arm	tag	evt	call	j	k	nedge	nlab	verdict	flip	pair	Lmin	Lmax	Tmax	npmin	angle	gw	wdeadX	dis	dens	dvtx	blks	killed	gaps	excuses
nueCC48	work-pr57r4-scan48	root	42280	0	26	29	1	1	OK	0	via2	2.62	3.55	0.61	16	20.8	0	0	3.67	4965	47.0	closest	1	100	01
nueCC48	work-pr57r4-scan48	root	42280	0	36	37	1	1	OK	0	SEP	1.41	4.36	1.04	14	87.9	1	0	0.79	224	82.2	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	42280	0	40	41	1	1	OK	0	SEP	3.92	4.15	0.53	7	10.0	1	0	1.04	501	58.8	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	46363	0	1	7	1	1	OK	0	via2	5.87	108.73	3.79	39	39.0	0	0	4.27	3164	10.1	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	46363	0	1	14	1	1	OK	0	via2	5.87	12.51	0.95	39	16.9	0	0	2.27	3007	10.7	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	46363	0	2	3	1	1	OK	0	via3	2.42	7.96	1.03	4	1.6	0	0	1.54	2291	28.1	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	46363	0	3	7	1	1	OK	0	via2	2.42	108.73	3.79	4	32.2	0	0	3.07	2347	26.9	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	46363	0	4	7	1	1	OK	0	via2	4.31	108.73	3.79	69	29.1	0	0	1.70	967	42.0	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	46363	0	4	16	1	1	OK	0	via3	4.31	6.56	1.14	69	71.4	0	0	3.87	1383	38.1	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	46363	0	4	17	1	1	OK	0	via3	2.30	4.31	0.83	13	87.8	0	0	1.52	1323	38.4	closest	1	100	01
nueCC48	work-pr57r4-scan48	root	46363	0	7	10	1	1	OK	0	via2	2.83	108.73	3.79	53	64.2	0	1	1.80	2548	23.2	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	46363	0	7	15	1	1	OK	0	dir	9.79	108.73	3.79	158	21.4	0	1	0.69	2778	23.6	closest	0	100	01
nueCC48	work-pr57r4-scan48	root	46363	0	7	17	1	1	OK	0	dir	2.30	108.73	3.79	13	72.7	0	0	1.00	1539	37.0	closest	0	100	01
nueCC48	work-pr57r4-scan48	root	46363	0	15	19	1	1	OK	0	via2	9.18	9.79	1.53	94	5.3	0	0	3.04	2413	19.4	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	46363	0	16	17	1	1	OK	0	via2	2.30	6.56	1.14	13	71.0	0	0	1.25	1569	36.6	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	52672	0	2	4	1	1	OK	0	SEP	11.64	52.57	3.62	82	42.9	0	0	1.36	1673	50.8	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	52672	0	6	7	1	1	OK	0	dir	3.70	6.12	1.01	29	9.3	0	0	0.98	229	78.6	closest	0	100	00
