arm	event	cluster	class	n_dup_pairs	n_segs	sum_len_cm	max_len_cm	member_seg_ids
work-vfnuecc48-cbr3on	138009	12	A	12	6	203.9	43.1	12088,12091,12092,12093,12094,12095
work-vfnuecc48-cbr3on	168596	14	A	1	2	70.9	39.8	14171,14172
work-vfnuecc48-cbr3on	246579	19	B	1	2	36.9	24.1	19055,19104
work-vfnuecc48-cbr3on	268784	13	A	1	2	49.3	30.5	13150,13152
work-vfnuecc48-cbr3on	269774	13	B	1	2	30.4	16.3	13014,13016
work-vfnuecc48-cbr3on	46363	19	B	1	2	32.3	16.5	19108,19109
work-vfnuecc48-cbr3on	74544	12	A	1	2	65.6	37.6	12105,12106
work-vfmcp1k-cbr3on	174224	20	A	1	2	184.6	167.9	20028,20029
work-vfmcp1k-cbr3on	281837	63	A	1	2	38.4	27.8	63053,63054
work-vfmcp1k-cbr3on	349945	18	A	2	4	57.8	17.7	18055,18056,18062,18063
work-vfmcp1k-cbr3on	350935	11	B	1	2	264.7	251.4	11001,11004
work-vfmcp1k-cbr3on	404684	9	B	1	2	77.3	61.5	9004,9005
work-vfmcp1k-cbr3on	64409	8	A	2	4	68.1	24.8	8038,8043,8112,8113
work-vfncpi0-cbr3on	359980	75	B	1	2	41.0	24.6	75096,75097
work-vfncpi0-cbr3on	506114	19	B	1	2	23.8	11.9	19025,19034
work-vfncpi0-cbr3on	506746	13	B	1	2	27.4	15.9	13014,13018
work-vfncpi0-cbr3on	521075	18	B	1	2	27.5	14.6	18025,18027
