metric	on	coown	delta
q_miss_pct	11.17	11.17	0
q_extra_pct	9.39	9.39	0
med_part_f1	0.8682	0.8682	0
n_nomatch	7	7	0
n_notmade	0	0	0
n_sibling	7	7	0
n_parts	23	23	0
