event	arm	stem_len_cm	g_cm	K_deg	k_tan_deg	tier_ok	prod6_18	gap9	gap10	gap12	mid9_15	mid10_15	taper
388	work-pr125r1-flipK598-nuecc48	23.0	5.48	75.1	71.5	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	3.9	2.56	126.4	120.7	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	3.9	4.58	145.9	145.9	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	2.1	5.27	168.8	89.0	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	7.0	5.36	78.3	75.3	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	7.0	5.85	69.5	69.5	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	2.1	5.86	83.6	83.6	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	8.7	7.14	153.8	153.8	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	8.7	7.35	135.0	134.4	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	7.0	7.51	157.4	107.8	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	7.0	8.46	81.4	81.4	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	2.1	8.55	161.1	118.4	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	2.1	8.64	97.4	97.4	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	2.1	9.14	89.1	89.1	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	8.7	9.98	78.7	78.7	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	3.9	10.45	142.5	73.7	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	7.0	11.26	166.9	137.4	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	7.0	11.40	82.1	50.8	0	0	0	0	0	0	0	0
30504	work-pr125r1-flipK598-nuecc48	7.0	11.40	74.2	74.2	0	0	0	0	0	0	0	0
