param	value	hit	n	nuecc48	ncpi0	mcp1k	mcp2k
w_snap	0	508	673	23	9	198	278
w_snap	0.5	510	673	23	9	200	278
w_snap	1	510	673	23	9	200	278
w_snap	1.5	510	673	23	9	200	278
w_snap	2	509	673	23	9	199	278
w_snap	3	509	673	23	9	199	278
w_fwd_z	0	510	673	23	9	200	278
w_fwd_z	0.5	510	673	23	9	200	278
w_fwd_z	1	510	673	23	9	200	278
w_fwd_z	1.5	510	673	23	9	200	278
w_fwd_z	2	510	673	23	9	200	278
w_fwd_z	3	510	673	23	9	200	278
w_clen	0	512	673	23	9	200	280
w_clen	0.5	512	673	23	9	200	280
w_clen	1	510	673	23	9	200	278
w_clen	1.5	497	673	23	9	191	274
w_clen	2	481	673	23	9	181	268
w_clen	3	458	673	23	9	173	253
w_isol	0	509	673	23	9	200	277
w_isol	0.5	510	673	23	9	200	278
w_isol	1	510	673	23	9	200	278
w_isol	1.5	510	673	23	9	200	278
w_isol	2	510	673	23	9	200	278
w_isol	3	510	673	23	9	200	278
w_main	0	512	673	23	9	200	280
w_main	0.5	512	673	23	9	200	280
w_main	1	510	673	23	9	200	278
w_main	1.5	496	673	23	9	192	272
w_main	2	479	673	23	9	181	266
w_main	3	452	673	23	9	167	253
w_fv	0	511	673	23	9	200	279
w_fv	0.5	511	673	23	9	201	278
w_fv	1	510	673	23	9	200	278
w_fv	1.5	506	673	23	9	198	276
w_fv	2	505	673	23	9	198	275
w_fv	3	496	673	23	9	192	272
w_topo	0	510	673	23	9	200	278
w_topo	1	509	673	23	9	200	277
w_topo	2	509	673	23	9	199	278
w_topo	3	504	673	23	9	196	276
w_topo	5	504	673	23	9	198	274
center	0	504	673	23	9	196	276
center	0.25	508	673	23	9	197	279
center	0.5	510	673	23	9	198	280
min_accept	0	389	673	23	8	135	223
min_accept	4	440	673	23	9	162	246
min_accept	6	453	673	23	9	170	251
min_accept	8	480	673	23	9	183	265
min_accept	10	510	673	23	9	200	278
min_accept	12	511	673	23	9	199	280
min_accept	15	513	673	24	9	200	280
min_accept	20	514	673	24	10	198	282
scale	500	514	673	24	9	200	281
scale	750	511	673	23	9	199	280
scale	1000	510	673	23	9	200	278
scale	1500	477	673	23	9	183	262
scale	2000	448	673	23	9	167	249
