metric	base	onk3	delta
q_miss_pct	11.21	11.08	-0.1247
q_extra_pct	8.625	7.645	-0.9806
med_part_f1	0.92	0.9502	0.0302
n_nomatch	6	5	-1
n_notmade	0	0	0
n_sibling	6	5	-1
n_parts	23	23	0
