cell	n	n_in	peak	peak_lo	peak_hi	median	median_in	implied_fudge	implied_lo	implied_hi	sanity	note
A all matched hand pairs	56	40	134.6597419199905	130.4834968589652	138.15764548786007	135.50642659172888	139.97421331032592	0.8579798754392741	0.8313710748714599	0.8802666467093578	peak<median	fixed pairing, hand angle, PRODUCTION energies -- the scale estimator
B ledger-clean gammas only	49	35	135.01061449880052	131.00303243205258	138.65959700398292	135.71195171054626	139.31667036513372	0.8602154479063695	0.8346812777571051	0.8834648133858952	peak<median	both gammas 0.80<=E_prod/E_lab<=1.25 -- scale without the clustering deficit
C production-accepted subset	29	28	133.6056490526623	130.14475621032759	136.64962199483838	135.71195171054626	136.74569565040196	0.8512637592926309	0.8292128005767044	0.8706583273241106	peak<median	NOT a scale estimator: the (100,160) acceptance window truncates it
D ncpi0 origin only	25	20	133.16028164768545	124.30321954731322	138.7736407330903	142.2837655848909	141.4577609202045	0.8484261163178375	0.7919936523216536	0.8841914390506936	peak<median	the pr/126 PRIMARY gate, like-for-like with its 139.8 MeV at fudge 0.80
