sample	run	subrun	event	cls	main_cid	n_fit	n_seg	sel_len_cm	n_assoc	fit_absx	n_near_neg	n_near_pos	gap3d_cm	dyz_cm	x_neg	x_pos	seg_neg	seg_pos	shower_neg	shower_pos	pid_neg	pid_pos	qgap3d_cm	q_n6_neg	q_n6_pos	q_farside_n	q_extrap_dperp	q_extrap_n	ql_joined	ql_cid_near	ql_cid_far	vtx_absx	vtx_y	vtx_z	vtx_is_main	vtx_nseg	vtx_seg_sides	nu_x	nu_y	nu_z	nu_sentinel	nu_absx	dqdx_in3	dqdx_3to15	dqdx_ratio
mcp1k	18255	1	493419	tiny	25	8	4	0.7	4																													101.08	-83.74	32.8	0	101.08			
nuecc48	18255	1	388	no-contact	23	768	71	96.3	41	99.34	0	0																										-162.53	32.0	426.17	0	162.53			
nuecc48	18255	1	10550	eroded	17	147	29	18.5	28	0.6	3	2	11.94	5.47	-6.14	4.46	18003	37015	0	0	11	2212	11.55	0	10	0						0.6	75.1	209.7	0	1	-	-14.83	59.14	147.1	0	14.83			
nuecc48	18342	1	30504	no-contact	11	534	44	114.0	26	7.04	0	0																										24.39	-46.98	122.0	0	24.39			
nuecc48	18304	1	38856	no-contact	12	662	46	106.5	15	39.71	0	0																										-58.87	-66.48	424.7	0	58.87			
nuecc48	18259	1	42280	no-contact	8	790	72	135.0	33	6.39	0	0																										14.39	-11.12	89.37	0	14.39			
nuecc48	18255	1	46363	no-contact	19	678	63	121.8	40	10.24	0	0																										-78.86	16.91	298.43	0	78.86			
nuecc48	18259	1	52672	eroded	9	501	66	80.6	45	2.03	0	2	54.14	6.65	-51.7	2.03	14053	16055	0	0	11	11	53.57	0	8	8	53.71	0				2.03	136.0	406.3	0	1	+	-132.56	67.42	304.31	0	132.56			
nuecc48	18259	1	54095	eroded	17	1013	85	127.5	40	2.61	2	0	219.65	127.3	-2.61	176.39	21089	47097	0	0	11	11										2.61	199.7	339.3	0	1	-	173.35	26.48	189.35	0	173.35			
nuecc48	18255	1	69314	no-contact	3	693	41	189.5	22	42.98	0	0																										-110.47	-18.23	166.92	0	110.47			
nuecc48	18259	1	74544	no-contact	12	681	53	102.7	19	8.05	0	0																										136.09	-170.1	406.26	0	136.09			
nuecc48	18313	1	81597	no-contact	19	584	53	99.4	28	147.6	0	0																										-180.19	39.68	358.44	0	180.19			
