evt	arm	nJ	dM	dJ	sM	sJ	degJ	tier	snap	path	rms	verdict
286241	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	3.019007471949343	None	-
286268	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
286353	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	2.619650962486641	None	-
286400	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
286527	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	3.573304374113975	None	-
286655	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
286681	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
286818	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
286906	work-pr104-bare-mcp1k	1	nan	nan	0	1	2	None	0	3.1090546099178553	None	-
287007	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
287211	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
287249	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	4.552811373863542	None	-
287517	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	2.862001898982891	None	-
287555	work-pr104-bare-mcp1k	1	nan	nan	3	0	1	None	0	1.8321485191835285	None	-
287599	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
287621	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
287654	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	2.492233370763106	None	-
287825	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
287830	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
288067	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
288287	work-pr104-bare-mcp1k	1	nan	nan	4	0	1	None	0	4.9730184993790605	None	-
288327	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
288358	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
288639	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
288745	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
288859	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
288947	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
289251	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
289559	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
289832	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
290052	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
290294	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	3.864447597895899	None	-
290729	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
291037	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
291064	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
291262	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	2.8596594335131735	None	-
291372	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
291499	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
291548	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
291570	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
291961	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
292005	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	2.7948163034805162	None	-
292027	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
292384	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
292406	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
292533	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
292577	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
292643	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
292687	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
293149	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	4.298753096736735	None	-
313781	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	4.143745551312598	None	-
313847	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
