event	moved_cm	dA_cm	dB_cm	verdict	b1_cm	nue	numu	cosmict
163543	5.114	33.35	37.41	ADVERSE	33.35	-0.31->-1.39	-0.49->-0.64	=
38856	1.700	24.48	22.84	toward	24.48	-15.00->-0.37	1.24->0.60	=
