event	moved_cm	dclick_a	dclick_b	verdict	b1	nue	numu	cosmict
314838	0.46	0.15	0.60	on	0.00	=	-0.35->-0.20	=
180801	0.39	76.48	76.80	away	94.82	=	0.29->0.36	=
