# doc pr/138 B1 -- C++ probe vs offline kernel, per scanned object
event	node	dv_cm	cxx_nseg	off_nseg	cxx_npts	off_npts	cxx_n_seed	cxx_valley	cxx_nacc	cxx_nparts	cxx_fired	off_n_seed	off_valley	off_nacc	offv_n_seed	offv_valley	offv_nacc	vgap_cm	owner
176502	109141	0.0041	6	6	311	311	2	1.0000	0	1	0	2	1.0000	0	2	1.0000	0	11.15	KEEP
176502	109299	0.0041	3	3	85	85	1	1.0000	0	1	0	1	1.0000	0	1	1.0000	0	0.00	KEEP
176533	11035	0.0029	4	4	38	38	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	0.00	KEEP
176986	67048	0.0058	11	11	67	67	2	1.0000	0	1	0	2	1.0000	0	2	1.0000	0	7.22	KEEP
179048	17012	0.0050	4	4	72	72	1	1.0000	0	1	0	1	1.0000	0	2	1.0000	0	0.00	KEEP
179611	10001	0.0044	9	9	177	177	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	0.00	TRIM
180801	15082	0.0040	6	6	88	88	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	0.00	KEEP
180801	112061	0.0040	3	3	24	24	2	1.0000	0	1	0	2	1.0000	0	2	1.0000	0	40.29	KEEP
181050	15005	0.0049	11	11	95	95	3	1.0000	0	1	0	3	1.0000	0	3	1.0000	0	29.97	SPLIT2
196649	11113	0.0046	55	55	705	705	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	0.00	KEEP
256587	11301	0.0055	128	128	1414	1414	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	0.00	KEEP
259542	88060	0.0052	13	13	114	114	2	0.9787	0	1	0	2	0.9787	0	2	0.9787	0	71.07	KEEP
268784	13027	0.0047	48	48	389	389	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	0.00	KEEP
269774	13237	0.0016	59	59	492	492	4	0.8566	2	2	1	4	0.8566	2	4	0.8566	2	27.39	SPLIT2
275011	11037	0.0058	9	9	79	79	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	0.00	KEEP
278420	18002	0.0045	5	5	83	83	1	1.0000	0	1	0	1	1.0000	0	1	1.0000	0	0.00	SPLIT2
278420	61027	0.0045	23	23	108	108	4	0.2067	2	2	1	4	0.2067	4	4	0.2067	4	31.62	KEEP
280972	79136	0.0054	35	35	325	325	4	0.7958	2	2	1	4	0.7958	3	4	0.7958	3	18.05	SPLIT2
281165	16006	0.0050	4	4	217	217	1	1.0000	0	1	0	1	1.0000	0	2	1.0000	0	0.00	KEEP
281485	87078	0.0056	12	12	101	101	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	17.40	SPLIT3
281485	89095	0.0056	8	8	49	49	2	0.9403	2	2	1	2	0.9403	2	2	0.9403	2	20.03	SPLIT2
281485	91112	0.0056	5	5	38	38	1	1.0000	0	1	0	1	1.0000	0	1	1.0000	0	20.72	KEEP
281567	9025	0.0035	34	34	284	284	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	8.91	SPLIT2
281567	99193	0.0035	27	27	212	212	4	0.8029	0	1	0	4	0.8029	0	4	0.8032	0	10.73	KEEP
281639	23001	0.0043	4	4	72	72	2	1.0000	0	1	0	2	1.0000	0	2	1.0000	0	7.61	KEEP
281639	91023	0.0043	12	12	86	86	2	1.0000	0	1	0	2	1.0000	0	2	1.0000	0	6.54	KEEP
281781	89069	0.0060	19	19	186	186	4	0.3293	2	2	1	4	0.3293	3	4	0.3291	3	14.62	SPLIT3
282271	6063	0.0060	25	25	103	103	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	0.00	KEEP
282909	4084	0.0055	13	13	120	120	3	1.0000	0	1	0	3	1.0000	0	4	1.0000	0	0.00	KEEP
282909	75060	0.0055	27	27	217	217	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	21.84	KEEP
283515	24014	0.0037	13	13	137	137	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	44.34	KEEP
284200	6013	0.0042	15	15	116	116	4	0.4839	2	2	1	4	0.4839	3	4	0.4839	3	19.50	SPLIT2
285443	49035	0.0030	18	18	110	110	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	12.98	KEEP
285567	8107	0.0050	4	4	37	37	1	1.0000	0	1	0	1	1.0000	0	1	1.0000	0	0.00	KEEP
286655	19006	0.0056	11	11	145	145	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	27.88	KEEP
286681	3012	0.0041	5	5	51	51	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	46.88	KEEP
286681	72040	0.0041	11	11	192	192	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	15.59	KEEP
287654	12003	0.0054	7	7	53	53	3	1.0000	0	1	0	3	1.0000	0	3	1.0000	0	52.27	KEEP
287830	21042	0.0050	7	7	69	69	4	0.0016	2	2	1	4	0.0016	2	4	0.0016	2	74.84	SPLIT2
292005	46017	0.0057	5	5	34	34	3	1.0000	0	1	0	3	1.0000	0	3	1.0000	0	24.10	KEEP
292524	9018	0.0067	14	14	352	352	3	1.0000	0	1	0	3	1.0000	0	3	1.0000	0	0.00	TRIM
292643	25015	0.0011	10	10	89	89	4	0.2979	2	2	1	4	0.2979	3	4	0.2979	3	46.84	SPLIT2
293149	4001	0.0047	9	9	142	142	3	1.0000	0	1	0	3	1.0000	0	4	1.0000	0	0.00	SPLIT2
293536	15027	0.0036	4	4	32	32	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	0.00	TRIM
294174	16004	0.0031	5	5	29	29	2	0.0000	2	2	1	2	0.0000	2	2	0.0000	2	231.66	SPLIT2
294174	71067	0.0031	14	14	74	74	4	0.6987	2	2	1	4	0.6987	2	4	0.6987	2	108.08	SPLIT2
314838	110088	0.0054	37	37	454	454	4	0.7818	2	2	1	4	0.7818	2	4	0.7817	2	12.36	SPLIT2
317939	26001	0.0030	4	4	43	43	1	1.0000	0	1	0	1	1.0000	0	1	1.0000	0	0.00	KEEP
317939	30022	0.0030	28	28	197	197	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	12.04	KEEP
318769	31026	0.0065	12	12	100	100	4	0.3008	2	2	1	4	0.3008	4	4	0.3008	4	38.18	KEEP
318769	143101	0.0065	12	12	53	53	4	0.2979	2	2	1	4	0.2979	4	4	0.2979	4	43.43	KEEP
321169	16055	0.0042	7	7	59	59	3	1.0000	0	1	0	3	1.0000	0	3	1.0000	0	0.00	SPLIT3
321767	45019	0.0018	5	5	105	105	4	0.8038	2	1	0	4	0.8038	2	4	0.8039	2	19.58	KEEP
342199	25109	0.0062	8	8	55	55	3	1.0000	0	1	0	3	1.0000	0	3	1.0000	0	81.34	KEEP
342199	74101	0.0062	3	3	24	24	1	1.0000	0	1	0	1	1.0000	0	1	1.0000	0	57.17	KEEP
348691	49046	0.0056	10	10	154	154	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	7.91	KEEP
350354	18092	0.0077	51	51	350	350	4	0.0840	2	2	1	4	0.0840	2	4	0.0839	2	0.00	SPLIT2
359980	75089	0.0054	10	10	78	78	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	24.52	KEEP
386948	16002	0.0048	11	11	174	174	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	57.22	KEEP
386948	91060	0.0048	14	14	160	160	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	49.11	KEEP
389538	19021	0.0042	11	11	315	315	4	0.0915	2	1	0	4	0.0915	4	4	0.0915	4	169.49	KEEP
390182	4008	0.0051	3	3	50	50	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	3.19	KEEP
392901	127030	0.0036	6	6	144	144	2	1.0000	0	1	0	2	1.0000	0	2	1.0000	0	34.79	KEEP
393212	6009	0.0059	25	25	134	134	4	0.1609	2	2	1	4	0.1609	2	4	0.1610	2	26.08	SPLIT2
393505	63025	0.0032	9	9	45	45	4	0.0071	2	2	1	4	0.0071	4	4	0.0071	4	58.33	KEEP
394167	11009	0.0035	24	24	234	234	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	0.00	KEEP
396037	69026	0.0032	10	10	48	48	4	0.7458	2	2	1	4	0.7458	2	4	0.7457	2	17.69	KEEP
396222	9059	14.4981	123	123	1331	1331	4	0.2447	2	2	1	4	0.3126	4	4	0.2455	4	0.00	SPLIT4+
396222	9084	14.4981	25	25	556	556	4	0.2510	2	1	0	4	0.3517	3	4	0.2511	4	18.27	SPLIT3
396222	97175	14.4981	8	8	40	40	3	1.0000	0	1	0	3	1.0000	0	3	1.0000	0	42.78	KEEP
399052	64067	0.0080	3	3	54	54	1	1.0000	0	1	0	1	1.0000	0	1	1.0000	0	39.05	KEEP
406125	8059	0.0038	12	12	69	69	3	1.0000	0	1	0	3	1.0000	0	3	1.0000	0	0.00	KEEP
406125	38021	0.0038	14	14	79	79	4	0.3914	2	2	1	4	0.3914	3	4	0.3913	3	3.35	SPLIT2
407918	17010	0.0049	10	10	74	74	4	0.9807	0	1	0	4	0.9807	0	4	0.9807	0	14.68	KEEP
408304	9039	0.0046	15	15	94	94	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	0.00	KEEP
408678	14003	0.0068	12	12	156	156	4	1.0000	0	1	0	4	1.0000	0	4	1.0000	0	0.00	KEEP
410008	20001	0.0045	3	3	48	48	2	1.0000	0	1	0	2	1.0000	0	2	1.0000	0	172.47	KEEP
410008	98035	0.0045	6	6	71	71	1	1.0000	0	1	0	1	1.0000	0	1	1.0000	0	168.24	KEEP
412242	14007	0.0073	7	7	184	184	2	1.0000	0	1	0	2	1.0000	0	2	1.0000	0	3.69	KEEP
412242	60050	0.0073	9	9	40	40	4	0.9692	0	1	0	4	0.9692	0	4	0.9694	0	28.84	KEEP
412242	64054	0.0073	13	13	66	66	3	1.0000	0	1	0	3	1.0000	0	3	1.0000	0	52.61	KEEP
415278	23012	0.0064	39	39	490	490	4	0.5190	2	2	1	4	0.5190	2	4	0.5184	2	0.00	SPLIT3
415278	23037	0.0064	42	42	564	564	4	0.6592	2	2	1	4	0.6592	3	4	0.6588	3	0.00	SPLIT4+
415278	23047	0.0064	4	4	166	166	1	1.0000	0	1	0	1	1.0000	0	1	1.0000	0	34.93	KEEP
415278	83139	0.0064	12	12	66	66	4	0.3254	2	2	1	4	0.3254	2	4	0.3253	2	96.41	SPLIT2
444187	19082	0.0028	4	4	66	66	2	1.0000	0	1	0	2	1.0000	0	3	1.0000	0	0.00	KEEP
