setname	sample	run	subrun	event	origin	n_em	e_max	e_2nd	dump
98	mcp2k	18255	1	415278	ncpi0	9	1380.3	1144.4	work-pr124r1-onA98-mcp2k/pr_evt415278/calib-pr-evt415278.json
98	mcp2k	18259	1	176502	ncpi0	6	3450.0	714.8	work-pr124r1-onA98-mcp2k/pr_evt176502/calib-pr-evt176502.json
141	mcp1k	18255	1	280972	numucc_em	4	949.6	625.6	work-pr124r1-onA141v2-mcp1k/pr_evt280972/calib-pr-evt280972.json
98	ncpi0	18255	1	142421	ncpi0	2	706.5	566.4	work-pr124r1-onA98-ncpi0/pr_evt142421/calib-pr-evt142421.json
141	mcp1k	18255	1	386948	nuecc	4	544.9	433.0	work-pr124r1-onA141v2-mcp1k/pr_evt386948/calib-pr-evt386948.json
98	mcp2k	18255	1	281567	ncpi0	7	652.5	414.5	work-pr124r1-onA98-mcp2k/pr_evt281567/calib-pr-evt281567.json
141	mcp2k	18255	1	98844	numucc_em	7	349.8	347.9	work-pr124r1-onA141v2-mcp2k/pr_evt98844/calib-pr-evt98844.json
98	nuecc48	18342	1	30504	nuecc	4	659.7	321.2	work-pr124r1-onA98-nuecc48/pr_evt30504/calib-pr-evt30504.json
98	nuecc48	18304	1	38856	nuecc	4	365.1	272.0	work-pr124r1-onA98-nuecc48/pr_evt38856/calib-pr-evt38856.json
141	mcp1k	18255	1	349549	numucc_em	2	436.7	224.9	work-pr124r1-onA141v2-mcp1k/pr_evt349549/calib-pr-evt349549.json
98	ncpi0	18255	1	463565	ncpi0	4	658.8	215.7	work-pr124r1-onA98-ncpi0/pr_evt463565/calib-pr-evt463565.json
141	mcp1k	18255	1	401450	nuecc	4	1155.6	206.7	work-pr124r1-onA141v2-mcp1k/pr_evt401450/calib-pr-evt401450.json
141	mcp1k	18255	1	286655	nuecc	2	232.4	198.9	work-pr124r1-onA141v2-mcp1k/pr_evt286655/calib-pr-evt286655.json
98	nuecc48	18255	1	163543	nuecc	3	193.3	192.7	work-pr124r1-onA98-nuecc48/pr_evt163543/calib-pr-evt163543.json
98	nuecc48	18253	1	444187	nuecc	3	374.0	185.2	work-pr124r1-onA98-nuecc48/pr_evt444187/calib-pr-evt444187.json
98	ncpi0	18259	1	37112	ncpi0	4	549.3	183.9	work-pr124r1-onA98-ncpi0/pr_evt37112/calib-pr-evt37112.json
98	ncpi0	18255	1	180801	ncpi0	6	297.1	172.4	work-pr124r1-onA98-ncpi0/pr_evt180801/calib-pr-evt180801.json
141	mcp2k	18255	1	75954	nuecc	3	521.9	171.8	work-pr124r1-onA141v2-mcp2k/pr_evt75954/calib-pr-evt75954.json
98	mcp2k	18255	1	396222	ncpi0	10	2913.7	162.7	work-pr124r1-onA98-mcp2k/pr_evt396222/calib-pr-evt396222.json
141	mcp1k	18259	1	175896	nuecc	3	253.9	157.7	work-pr124r1-onA141v2-mcp1k/pr_evt175896/calib-pr-evt175896.json
141	mcp1k	18255	1	348691	numucc_em	4	319.7	157.7	work-pr124r1-onA141v2-mcp1k/pr_evt348691/calib-pr-evt348691.json
141	mcp2k	18255	1	71642	numucc_em	8	205.2	155.5	work-pr124r1-onA141v2-mcp2k/pr_evt71642/calib-pr-evt71642.json
98	nuecc48	18255	1	423981	nuecc	2	664.6	152.1	work-pr124r1-onA98-nuecc48/pr_evt423981/calib-pr-evt423981.json
141	mcp1k	18255	1	486907	other_em	2	454.3	152.0	work-pr124r1-onA141v2-mcp1k/pr_evt486907/calib-pr-evt486907.json
98	ncpi0	18255	1	56982	ncpi0	5	520.8	147.2	work-pr124r1-onA98-ncpi0/pr_evt56982/calib-pr-evt56982.json
98	ncpi0	18345	1	259542	ncpi0	7	978.2	138.7	work-pr124r1-onA98-ncpi0/pr_evt259542/calib-pr-evt259542.json
141	mcp1k	18255	1	287830	numucc_em	3	164.0	128.6	work-pr124r1-onA141v2-mcp1k/pr_evt287830/calib-pr-evt287830.json
98	mcp2k	18259	1	165157	ncpi0	4	157.1	127.4	work-pr124r1-onA98-mcp2k/pr_evt165157/calib-pr-evt165157.json
98	ncpi0	18255	1	314838	ncpi0	2	691.9	117.3	work-pr124r1-onA98-ncpi0/pr_evt314838/calib-pr-evt314838.json
98	nuecc48	18259	1	116962	nuecc	8	237.6	116.7	work-pr124r1-onA98-nuecc48/pr_evt116962/calib-pr-evt116962.json
98	mcp2k	18259	1	176986	ncpi0	3	173.8	116.3	work-pr124r1-onA98-mcp2k/pr_evt176986/calib-pr-evt176986.json
141	mcp1k	18255	1	410008	numucc_em	2	143.2	113.8	work-pr124r1-onA141v2-mcp1k/pr_evt410008/calib-pr-evt410008.json
141	mcp2k	18255	1	397630	numucc_em	2	128.7	111.8	work-pr124r1-onA141v2-mcp2k/pr_evt397630/calib-pr-evt397630.json
141	mcp2k	18259	1	100222	numucc_em	6	2498.2	109.5	work-pr124r1-onA141v2-mcp2k/pr_evt100222/calib-pr-evt100222.json
141	mcp2k	18255	1	54453	numucc_em	4	198.8	106.6	work-pr124r1-onA141v2-mcp2k/pr_evt54453/calib-pr-evt54453.json
141	mcp2k	18259	1	176533	nuecc	2	562.4	106.3	work-pr124r1-onA141v2-mcp2k/pr_evt176533/calib-pr-evt176533.json
141	mcp2k	18255	1	284206	nuecc	4	120.4	106.3	work-pr124r1-onA141v2-mcp2k/pr_evt284206/calib-pr-evt284206.json
141	mcp2k	18255	1	392901	other_em	2	196.6	106.1	work-pr124r1-onA141v2-mcp2k/pr_evt392901/calib-pr-evt392901.json
141	mcp1k	18255	1	64409	nuecc	3	801.3	103.8	work-pr124r1-onA141v2-mcp1k/pr_evt64409/calib-pr-evt64409.json
141	mcp1k	18255	1	283515	other_em	2	247.0	103.2	work-pr124r1-onA141v2-mcp1k/pr_evt283515/calib-pr-evt283515.json
141	mcp1k	18255	1	277298	nuecc	3	194.6	100.7	work-pr124r1-onA141v2-mcp1k/pr_evt277298/calib-pr-evt277298.json
141	mcp2k	18255	1	318769	numucc_em	3	205.5	99.8	work-pr124r1-onA141v2-mcp2k/pr_evt318769/calib-pr-evt318769.json
141	mcp2k	18255	1	282271	nuecc	2	115.1	99.6	work-pr124r1-onA141v2-mcp2k/pr_evt282271/calib-pr-evt282271.json
141	mcp2k	18259	1	174771	other_em	5	101.7	97.7	work-pr124r1-onA141v2-mcp2k/pr_evt174771/calib-pr-evt174771.json
98	nuecc48	18255	1	268784	nuecc	5	1050.3	97.4	work-pr124r1-onA98-nuecc48/pr_evt268784/calib-pr-evt268784.json
98	mcp1k	18259	1	172942	ncpi0	2	368.8	96.9	work-pr124r1-onA98-mcp1k/pr_evt172942/calib-pr-evt172942.json
98	nuecc48	18259	1	52672	nuecc	2	786.7	92.5	work-pr124r1-onA98-nuecc48/pr_evt52672/calib-pr-evt52672.json
141	mcp2k	18259	1	167612	other_em	5	200.4	91.8	work-pr124r1-onA141v2-mcp2k/pr_evt167612/calib-pr-evt167612.json
141	mcp2k	18255	1	72786	numucc_em	2	116.3	90.7	work-pr124r1-onA141v2-mcp2k/pr_evt72786/calib-pr-evt72786.json
141	mcp2k	18259	1	171143	numucc_em	2	262.1	90.6	work-pr124r1-onA141v2-mcp2k/pr_evt171143/calib-pr-evt171143.json
98	nuecc48	18264	1	137238	nuecc	4	370.5	89.4	work-pr124r1-onA98-nuecc48/pr_evt137238/calib-pr-evt137238.json
98	mcp2k	18255	1	475096	ncpi0	3	142.6	81.7	work-pr124r1-onA98-mcp2k/pr_evt475096/calib-pr-evt475096.json
98	mcp2k	18255	1	281781	ncpi0	4	437.5	80.1	work-pr124r1-onA98-mcp2k/pr_evt281781/calib-pr-evt281781.json
98	nuecc48	18255	1	122660	nuecc	3	883.4	78.0	work-pr124r1-onA98-nuecc48/pr_evt122660/calib-pr-evt122660.json
141	mcp2k	18255	1	412242	numucc_em	4	616.1	75.7	work-pr124r1-onA141v2-mcp2k/pr_evt412242/calib-pr-evt412242.json
141	mcp2k	18259	1	181050	nuecc	4	204.9	75.4	work-pr124r1-onA141v2-mcp2k/pr_evt181050/calib-pr-evt181050.json
98	nuecc48	18255	1	437699	nuecc	2	1303.9	73.3	work-pr124r1-onA98-nuecc48/pr_evt437699/calib-pr-evt437699.json
141	mcp2k	18255	1	294174	numucc_em	3	123.1	73.0	work-pr124r1-onA141v2-mcp2k/pr_evt294174/calib-pr-evt294174.json
98	mcp2k	18255	1	76350	ncpi0	6	905.2	67.4	work-pr124r1-onA98-mcp2k/pr_evt76350/calib-pr-evt76350.json
141	mcp2k	18255	1	293536	nuecc	2	152.8	66.5	work-pr124r1-onA141v2-mcp2k/pr_evt293536/calib-pr-evt293536.json
