arm	event	label_tag	len_cm	long_muon	med_dqdx_mip	pdg	pdg11	seed_node_labeled	seg	seg_mark	site	straight	topo	traj	verdict
work-pr121r1-dbgA-nuecc48	111412	emscan-0827	6.67	0	1.008	11	1		18012		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	111412	emscan-0827	5.0	0	0.99	11	1		18013		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	111412	emscan-0827	13.9	0	0.711	11	1		18060		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	111412	emscan-0827	19.18	0	1.81	11	1		18061		in_main_cluster	0	1	0	None
work-pr121r1-dbgA-nuecc48	116962	emscan-0827	31.93	0	1.232	11	1		21070		in_main_cluster	0	1	0	None
work-pr121r1-dbgA-nuecc48	116962	emscan-0827	39.13	0	0.89	11	1		21072		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	116962	emscan-0827	38.93	0	1.09	11	1		21073		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	122660	emscan-0827	35.39	0	2.168	11	1	9110	9110	TARGET	in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	122660	emscan-0827	14.64	0	0.921	11	1		9111		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	122660	emscan-0827	4.94	0	1.1	11	1		9018		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	131357	emscan-0827	15.34	0	1.123	11	1		12014		in_main_cluster	1	0	1	None
work-pr121r1-dbgA-nuecc48	137238	emscan-0827	14.35	0	1.013	11	1		143057		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	137238	emscan-0827	4.61	0	0.699	11	1		143055		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	137238	emscan-0827	6.83	0	3.382	11	1		143056		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	138009	emscan-0827	3.16	0	2.891	11	1		12010		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	138009	emscan-0827	20.94	0	0.754	11	1		12016		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	163543	emscan-0827	21.46	0	1.672	11	1		14123		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	163543	emscan-0827	27.36	0	1.066	11	1		14126		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	163543	emscan-0827	18.66	0	1.161	11	1		14127		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	163543	emscan-0827	31.25	0	0.962	11	1		14129		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	163543	emscan-0827	33.16	0	0.884	11	1		14131		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-mcp2k	165157	emscan-0827	15.27	0	0.931	11	1		62049		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-mcp1k	166870	emscan-0827	20.18	0	1.914	2212	0		10074		in_main_cluster	1	0	1	None
work-pr121r1-dbgA-mcp1k	166870	emscan-0827	8.29	0	0.605	11	1		10013		in_main_cluster	0	0	0	None
work-pr121r1-dbg141-mcp1k	168432	emscan-0828-agent5	12.75	0	1.116	11	1	19032	19032	TARGET	in_main_cluster	0	0	1	correct
work-pr121r1-dbgA-nuecc48	168596	emscan-0827	28.5	0	3.2	11	1	14153	14153	TARGET	in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	168596	emscan-0827	19.71	0	1.12	11	1	14153	14058	TARGET	in_main_cluster	0	1	0	None
work-pr121r1-dbgA-mcp1k	169356	emscan-0827	3.49	0	0.857	11	1		16009		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-mcp1k	169626	emscan-0827	28.75	0	1.194	11	1		22034		in_main_cluster	0	0	1	None
work-pr121r1-dbg141-mcp2k	170761	emscan-0828-agent5	7.96	0	2.669	11	1		8023		in_main_cluster	0	0	0	over-clustered
work-pr121r1-dbg141-mcp2k	170761	emscan-0828-agent5	37.4	0	1.106	11	1		8026		in_main_cluster	1	0	0	over-clustered
work-pr121r1-dbg141-mcp2k	170761	emscan-0828-agent5	5.69	0	0.669	11	1		8049		in_main_cluster	0	0	1	over-clustered
work-pr121r1-dbg141-mcp2k	171143	emscan-0828-agent5	56.06	0	1.383	11	1		8032		in_main_cluster	1	1	0	not an EM shower
work-pr121r1-dbg141-mcp2k	171729	emscan-0828-agent5	15.41	0	1.116	11	1		9005		in_main_cluster	0	0	1	correct
work-pr121r1-dbgA-nuecc48	172230	emscan-0827	5.83	0	2.904	11	1		5028		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	172230	emscan-0827	2.29	0	1.033	11	1		5119		in_main_cluster	0	0	0	None
work-pr121r1-dbg141-mcp1k	172266	emscan-0828-agent5	4.07	0	0.828	11	1		16005		in_main_cluster	0	0	0	not an EM shower
work-pr121r1-dbgA-mcp1k	172942	emscan-0827	33.49	0	1.808	11	1		4002		in_main_cluster	0	0	0	None
work-pr121r1-dbg141-mcp2k	173495	emscan-0828-agent5	7.08	0	1.09	11	1		22009		in_main_cluster	0	0	1	under-clustered
work-pr121r1-dbg141-mcp2k	173819	emscan-0828-agent5	4.36	0	2.021	11	1		14028		in_main_cluster	0	0	1	not an EM shower
work-pr121r1-dbgA-nuecc48	174637	emscan-0827	8.94	0	2.349	11	1		9018		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	174637	emscan-0827	3.07	0	0.683	11	1		9020		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	174637	emscan-0827	2.72	0	1.034	11	1		9043		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-mcp1k	174752	emscan-0827	3.77	0	0.864	11	1		48010		in_main_cluster	0	0	1	None
work-pr121r1-dbg141-mcp2k	174771	emscan-0828-agent5	9.34	0	1.052	11	1		15011		in_main_cluster	0	0	1	under-clustered
work-pr121r1-dbg141-mcp1k	175896	emscan-0828-agent5	11.54	0	1.554	11	1	17044	17044	TARGET	in_main_cluster	0	1	0	vertex-bad (undecidable)
work-pr121r1-dbg141-mcp1k	175896	emscan-0828-agent5	2.29	0	1.025	11	1		17001		in_main_cluster	0	0	1	vertex-bad (undecidable)
work-pr121r1-dbg141-mcp1k	175896	emscan-0828-agent5	2.09	0	1.052	11	1		17003		in_main_cluster	0	0	0	vertex-bad (undecidable)
work-pr121r1-dbgA-mcp2k	176502	emscan-0827	19.91	0	1.472	11	1		109119		in_main_cluster	0	1	0	None
