arm	event	label_tag	len_cm	long_muon	med_dqdx_mip	pdg	pdg11	seed_node_labeled	seg	seg_mark	site	straight	topo	traj	verdict
work-pr121r1-dbg141-mcp1k	321767	emscan-0828-agent5	36.07	1	1.099	13	0		15006		in_main_cluster	1	0	0	over-clustered
work-pr121r1-dbgA-nuecc48	342199	emscan-0827	16.29	0	1.486	11	1		20032		in_main_cluster	1	1	0	None
work-pr121r1-dbgA-mcp1k	347129	emscan-0827	10.36	0	0.53	11	1		53021		in_main_cluster	0	0	1	None
work-pr121r1-dbg141-mcp2k	347824	emscan-0828-agent5	23.22	0	2.883	11	1		24113		in_main_cluster	0	0	0	over-clustered
work-pr121r1-dbg141-mcp2k	347824	emscan-0828-agent5	19.65	0	0.763	11	1		24114		in_main_cluster	0	1	0	over-clustered
work-pr121r1-dbg141-mcp2k	347824	emscan-0828-agent5	9.31	0	0.524	11	1		24115		in_main_cluster	0	0	1	over-clustered
work-pr121r1-dbg141-mcp1k	348691	emscan-0828-agent5	1.61	0	0.728	11	1		9014		in_main_cluster	0	0	0	correct
work-pr121r1-dbg141-mcp1k	348691	emscan-0828-agent5	2.73	0	0.338	11	1		9100		in_main_cluster	0	0	0	correct
work-pr121r1-dbg141-mcp1k	348691	emscan-0828-agent5	13.56	0	0.423	11	1		9011		in_main_cluster	1	0	1	correct
work-pr121r1-dbgA-nuecc48	350186	emscan-0827	41.91	0	2.276	11	1		6044		in_main_cluster	1	0	1	None
work-pr121r1-dbg141-mcp2k	350354	emscan-0828-agent5	23.31	0	0.662	11	1	18092	18092	TARGET	in_main_cluster	0	0	0	over-clustered
work-pr121r1-dbg141-mcp2k	350354	emscan-0828-agent5	6.7	0	0.734	11	1		18093		in_main_cluster	0	0	1	over-clustered
work-pr121r1-dbgA-nuecc48	360535	emscan-0827	34.19	0	2.52	11	1		7060		in_main_cluster	1	0	0	None
work-pr121r1-dbg141-mcp1k	386442	emscan-0828-agent5	21.95	0	1.257	11	1	16008	16008	TARGET	in_main_cluster	0	1	0	correct
work-pr121r1-dbg141-mcp1k	386948	emscan-0828-agent5	6.19	0	0.936	11	1		92079		in_main_cluster	0	0	0	correct
work-pr121r1-dbgA-nuecc48	389538	emscan-0827	6.14	0	1.07	11	1		11007		in_main_cluster	0	0	1	None
work-pr121r1-dbg141-mcp1k	390182	emscan-0828-agent5	17.44	0	2.731	2212	0		4033		in_main_cluster	1	0	1	correct
work-pr121r1-dbg141-mcp1k	390182	emscan-0828-agent5	27.27	0	1.746	11	1		4008		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp2k	390634	emscan-0828-agent5	2.58	0	0.296	11	1		1011		in_main_cluster	0	0	1	not an EM shower
work-pr121r1-dbg141-mcp2k	392901	emscan-0828-agent5	20.18	1	0.972	13	0		15011		in_main_cluster	0	0	0	not an EM shower
work-pr121r1-dbg141-mcp2k	394167	emscan-0828-agent5	20.84	0	1.035	11	1		11009		in_main_cluster	1	0	0	correct
work-pr121r1-dbgA-mcp1k	394532	emscan-0827	0.34	0	1.511	11	1		39021		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-mcp1k	394532	emscan-0827	8.15	0	0.909	11	1		39034		in_main_cluster	0	0	1	None
work-pr121r1-dbg141-mcp2k	395123	emscan-0828-agent5	22.86	0	0.992	11	1		21011		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp2k	395597	emscan-0828-agent5	142.94	1	1.147	13	0		20001		in_main_cluster	1	0	0	both
work-pr121r1-dbg141-mcp2k	395597	emscan-0828-agent5	113.39	1	1.079	13	0		20002		in_main_cluster	1	0	0	both
work-pr121r1-dbg141-mcp2k	395597	emscan-0828-agent5	21.12	0	2.005	11	1	20004	20004	TARGET	in_main_cluster	0	1	0	both
work-pr121r1-dbgA-mcp2k	396222	emscan-0827	33.8	0	1.135	11	1		9059		in_main_cluster	0	0	1	None
work-pr121r1-dbg141-mcp2k	396323	emscan-0828-agent5	47.66	1	0.89	13	0		10009		in_main_cluster	1	0	0	correct
work-pr121r1-dbg141-mcp2k	397401	emscan-0828-agent5	23.78	1	1.006	13	0		16012		in_main_cluster	1	0	0	not an EM shower
work-pr121r1-dbg141-mcp2k	397401	emscan-0828-agent5	35.46	0	1.546	11	1		16014		in_main_cluster	0	1	0	not an EM shower
work-pr121r1-dbg141-mcp2k	397630	emscan-0828-agent5	2.76	0	1.087	11	1		15045		in_main_cluster	0	0	1	under-clustered
work-pr121r1-dbg141-mcp2k	397630	emscan-0828-agent5	2.54	0	0.772	11	1		15006		in_main_cluster	0	0	1	under-clustered
work-pr121r1-dbgA-ncpi0	399860	emscan-0827	24.36	0	2.195	11	1		17062		in_main_cluster	1	0	1	None
work-pr121r1-dbgA-ncpi0	399860	emscan-0827	15.77	0	1.028	13	0		17065		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	400474	emscan-0827	29.13	0	1.545	11	1		18126		in_main_cluster	0	0	0	None
work-pr121r1-dbg141-mcp1k	401450	emscan-0828-agent5	19.91	0	2.332	11	1		23018		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp1k	401450	emscan-0828-agent5	2.96	0	1.007	11	1		23020		in_main_cluster	0	0	0	correct
work-pr121r1-dbg141-mcp2k	403309	emscan-0828-agent5	35.77	0	1.082	11	1		11000		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp2k	406125	emscan-0828-agent5	17.13	0	1.33	11	1		8059		in_main_cluster	0	0	0	over-clustered
work-pr121r1-dbg141-mcp1k	407918	emscan-0828-agent5	3.27	0	0.457	11	1		11009		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp2k	408304	emscan-0828-agent5	5.43	0	2.569	11	1		9033		in_main_cluster	0	0	0	under-clustered
work-pr121r1-dbg141-mcp2k	408304	emscan-0828-agent5	2.6	0	0.826	11	1	9039	9008	TARGET	in_main_cluster	0	0	0	under-clustered
work-pr121r1-dbg141-mcp2k	408678	emscan-0828-agent5	46.01	0	1.073	11	1		14003		in_main_cluster	1	0	0	correct
work-pr121r1-dbg141-mcp2k	409140	emscan-0828-agent5	10.8	0	1.35	11	1	13006	13006	TARGET	in_main_cluster	0	1	0	correct
work-pr121r1-dbgA-mcp2k	409888	emscan-0827	4.91	0	1.003	211	0		13011		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-mcp2k	409888	emscan-0827	0.79	0	0.376	11	1		13008		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-mcp2k	415278	emscan-0827	32.72	0	0.987	11	1	23012	23012	TARGET	in_main_cluster	0	0	1	None
work-pr121r1-dbgA-mcp2k	415278	emscan-0827	5.47	0	1.065	11	1		23014		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-mcp2k	415278	emscan-0827	12.03	0	1.574	11	1	23037	23037	TARGET	in_main_cluster	1	0	0	None
work-pr121r1-dbgA-nuecc48	422851	emscan-0827	17.6	0	1.321	11	1		1023		in_main_cluster	1	0	0	None
work-pr121r1-dbgA-nuecc48	433451	emscan-0827	7.47	0	6.004	11	1		4039		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	433451	emscan-0827	2.98	0	0.873	11	1		4041		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	437699	emscan-0827	11.27	0	1.308	11	1		11023		in_main_cluster	1	0	1	None
work-pr121r1-dbgA-nuecc48	437699	emscan-0827	2.73	0	1.103	11	1		11025		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	444187	emscan-0827	58.6	0	1.204	11	1	19079	19079	TARGET	in_main_cluster	1	1	0	None
work-pr121r1-dbgA-nuecc48	444187	emscan-0827	46.67	0	1.532	11	1		19081		in_main_cluster	1	1	0	None
work-pr121r1-dbgA-nuecc48	444187	emscan-0827	52.45	0	1.091	11	1		19082	TARGET	in_main_cluster	1	1	0	None
work-pr121r1-dbgA-nuecc48	447477	emscan-0827	6.5	0	2.116	11	1		11006		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	447477	emscan-0827	41.03	0	2.506	11	1		11019		in_main_cluster	1	0	0	None
work-pr121r1-dbgA-mcp2k	475096	emscan-0827	16.95	0	1.592	11	1		26025		in_main_cluster	1	0	0	None
work-pr121r1-dbgA-mcp2k	475096	emscan-0827	10.23	0	1.059	11	1		26036		in_main_cluster	0	0	0	None
work-pr121r1-dbg141-mcp2k	475778	emscan-0828-agent5	19.57	0	1.248	11	1		4000		in_main_cluster	1	0	0	correct
work-pr121r1-dbg141-mcp1k	486247	emscan-0828-agent5	2.37	0	0.999	11	1		7001		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp1k	486247	emscan-0828-agent5	3.11	0	1.116	11	1		7003		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp1k	486687	emscan-0828-agent5	2.35	0	1.933	11	1		20068		in_main_cluster	0	0	0	correct
work-pr121r1-dbg141-mcp1k	489327	emscan-0828-agent5	22.55	0	1.292	11	1	19005	19005	OUT	in_main_cluster	0	0	1	over-clustered
work-pr121r1-dbgA-nuecc48	489330	emscan-0827	6.65	0	6.171	11	1		4019		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	489330	emscan-0827	6.85	0	1.045	11	1		4020		in_main_cluster	0	0	1	None
work-pr121r1-dbg141-mcp2k	499423	emscan-0828-agent5	29.54	0	1.094	11	1	11045	11045	TARGET	in_main_cluster	0	0	1	over-clustered
work-pr121r1-dbg141-mcp2k	499577	emscan-0828-agent5	17.53	0	1.236	11	1	13009	13009	TARGET	in_main_cluster	1	0	1	over-clustered
work-pr121r1-dbg141-mcp2k	499577	emscan-0828-agent5	21.8	0	1.062	11	1		13030		in_main_cluster	0	0	1	over-clustered
work-pr121r1-dbg141-mcp2k	499577	emscan-0828-agent5	105.02	1	1.03	13	0		13031		in_main_cluster	1	0	0	over-clustered
work-pr121r1-dbg141-mcp2k	500083	emscan-0828-agent5	13.46	0	1.57	11	1		3002		in_main_cluster	1	1	0	correct
work-pr121r1-dbg141-mcp2k	500083	emscan-0828-agent5	5.58	0	0.698	11	1		3008		in_main_cluster	0	0	0	correct
work-pr121r1-dbgA-ncpi0	506746	emscan-0827	8.81	0	1.154	11	1		21067		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-ncpi0	506746	emscan-0827	8.28	0	0.919	11	1		21149		in_main_cluster	0	0	1	None
