event	sample	labelsrc	theta_deg	e1	e2	depth1_cm	depth2_cm	f1	f2	axis_vs_vtx1_deg	axis_vs_vtx2_deg	geom_suspect	e1_true	e2_true	R_prod	R_leakcorr	m_prod	m_leakcorr	impossible	healed_by_leakage
280972	mcp1k	overlay	17.141	582.0	118.4	110.2	39.9	0.872	0.539	18.2	13.3	0	667.3	219.4	0.773	0.979	78.2	114.0	1	0
283713	mcp1k	base	90.565	152.5	25.2	311.5	262.2	1.0	1.0	13.6	14.2	0	152.5	25.2	0.936	0.936	88.2	88.2	1	0
285443	mcp1k	base	104.434	262.5	34.5	159.1	449.0	0.983	1.0	8.1	6.5	0	266.9	34.5	1.739	1.765	150.5	151.8	0	0
286655	mcp1k	overlay	67.783	220.2	187.3	317.9	279.5	1.0	1.0	68.2	39.9	1	220.2	187.3	1.683	1.684	226.5	226.5	0	0
292027	mcp1k	base	72.838	253.8	60.9	337.7	299.5	1.0	1.0	5.6	25.7	0	253.8	60.9	1.384	1.384	147.7	147.7	0	0
292524	mcp2k	base	61.313	284.0	37.7	110.8	262.3	0.919	1.0	13.8	41.6	1	308.9	37.7	1.215	1.309	105.5	110.0	0	0
348691	mcp1k	overlay	100.761	301.6	107.1	58.3	211.8	0.596	0.999	10.2	4.1	0	506.0	107.2	2.332	3.5	276.9	358.9	0	0
392901	mcp2k	overlay	55.964	182.9	98.7	152.0	285.8	0.985	1.0	77.4	17.0	1	185.8	98.7	0.979	0.989	126.1	127.1	1	0
397630	mcp2k	overlay	27.702	119.7	106.0	42.9	158.7	0.58	0.993	9.0	105.6	1	206.3	106.8	0.4	0.555	54.0	71.1	1	0
399118	mcp1k	base	113.043	133.5	52.2	129.1	273.4	0.975	1.0	5.1	83.6	1	136.9	52.2	1.148	1.169	139.3	141.1	0	0
400504	mcp1k	base	91.415	142.8	62.9	252.8	254.1	1.0	1.0	42.1	6.8	1	142.9	62.9	1.091	1.091	135.7	135.7	0	0
403023	mcp2k	base	90.292	121.8	93.0	188.9	160.5	0.997	0.994	3.3	36.0	1	122.2	93.5	1.128	1.133	150.9	151.6	0	0
486907	mcp1k	overlay	37.597	425.8	144.1	215.6	49.0	0.996	0.622	8.1	42.0	1	427.6	231.7	1.36	1.574	159.6	202.8	0	0
489327	mcp1k	base	77.136	337.0	43.1	203.8	59.7	0.995	0.876	175.1	8.2	1	338.7	49.2	1.756	1.792	150.3	160.9	0	0
499577	mcp2k	base	133.298	97.5	38.0	240.1	103.4	1.0	0.974	10.4	13.7	0	97.6	39.0	0.921	0.929	111.7	113.2	1	0
