event	node	seg	cls	site	how	final_ang	final_dist	dQ
388	23028	23028	HOLD			-1.0	0.0	1318197.6
388	23028	59074	HOLD	pass3_cone	direct	10.81	47.09	28137.5
388	23028	59184	HOLD	pass3_cone	direct	10.24	47.24	45069.8
388	23028	60076	HOLD	pass3_cone	direct	11.73	67.76	53294.9
388	23028	61077	HOLD	pass3_cone	direct	8.44	58.65	245342.8
388	23028	62078	HOLD	pass3_cone	direct	10.22	26.07	50505.1
388	23028	64080	HOLD	pass3_cone	direct	8.08	85.34	45541.5
388	23028	65081	HOLD	pass3_cone	direct	20.69	69.35	78118.1
388	23028	66082	HOLD	pass3_cone	direct	9.84	79.74	132550.5
388	23028	83101	HOLD	pass3_cone	direct	21.45	63.09	363540.9
388	23028	84102	HOLD	pass3_cone	direct	7.46	33.64	56871.3
388	23028	85103	HOLD	pass3_cone	direct	16.19	70.17	90858.4
388	23028	95131	HOLD	pass3_cone	direct	18.65	38.14	2236560.3
388	23028	95132	HOLD	pass3_cone	direct	18.19	47.91	422068.5
388	23028	95135	HOLD	pass3_cone	direct	17.45	51.99	887360.9
388	23028	95139	HOLD	pass3_cone	direct	22.66	46.38	413156.9
388	23028	95140	HOLD	pass3_cone	direct	19.77	63.7	373608.1
388	23028	95141	HOLD	pass3_cone	direct	19.14	72.27	375090.9
388	23028	95143	HOLD	pass3_cone	direct	19.14	72.27	271400.6
388	23028	95144	HOLD	pass3_cone	direct	18.19	47.91	454103.5
388	23028	95160	HOLD	pass3_cluster_map	direct	26.5	61.66	111420.2
388	23028	95161	HOLD	pass3_cone	direct	19.14	72.27	521921.7
388	23028	95162	HOLD	pass3_cone	direct	19.84	56.75	819366.8
388	23028	95175	HOLD	pass3_cone	direct	20.76	56.27	705683.6
388	23028	95176	HOLD	pass3_cone	direct	18.74	63.72	851023.0
388	23028	95177	HOLD	pass3_cone	direct	19.14	72.27	263263.0
388	23028	96178	HOLD	pass3_cone	direct	16.48	75.05	175622.3
388	23028	98180	HOLD	pass3_cone	direct	9.13	38.73	99842.5
388	23028	99181	HOLD	pass3_cone	direct	9.38	45.99	197576.2
388	23032	23020	HOLD	in_main_cluster	walk_add	1.81	57.34	1256097.5
388	23032	23021	HOLD	in_main_cluster	walk_add	2.32	43.48	994727.6
388	23032	23023	HOLD	in_main_cluster	walk_add	1.86	37.28	1355603.1
388	23032	23024	HOLD	in_main_cluster	walk_add	3.14	60.69	1082020.9
388	23032	23026	HOLD	in_main_cluster	walk_add	3.14	60.69	1102301.9
388	23032	23027	HOLD	in_main_cluster	walk_add	2.01	70.21	253563.9
388	23032	23031	HOLD	in_main_cluster	walk_add	1.33	22.04	5212316.0
388	23032	23032	HOLD			-1.0	0.0	1769268.0
388	23032	23033	HOLD	in_main_cluster	walk_add	1.33	22.04	459083.3
388	23032	23034	HOLD	in_main_cluster	walk_add	2.85	56.63	235335.1
388	23032	23035	HOLD	in_main_cluster	walk_add	1.86	37.28	262422.8
388	23032	23036	HOLD	in_main_cluster	walk_add	1.79	43.88	939964.5
388	23032	23037	HOLD	in_main_cluster	walk_add	8.69	42.99	178392.0
388	23032	23038	HOLD	in_main_cluster	walk_add	2.01	70.21	256179.3
388	23032	23039	HOLD	in_main_cluster	walk_add	1.12	73.57	150180.5
