arm	evt	seg	n	chord	path	ratio	iso	fold	rms_dr	rms_iso	max_iso	q0
work-pr51r7-on50	54175	18006	13	6.950	7.198	1.0357	9.03	0.1818	0.1466	0.0884	0.2467	0.0000
work-pr51r7-on50	54175	18016	310	182.251	185.494	1.0178	44.84	0.0519	0.9002	1.4557	4.3383	0.0000
work-pr51r7-on50	54175	18017	18	9.175	10.186	1.1102	37.60	0.1250	0.1696	0.2823	0.4454	0.0000
work-pr51r7-on50	54175	55029	13	6.486	7.337	1.1313	31.24	0.1818	0.3865	0.2173	0.5519	0.0000
work-pr51r7-on50	54341	18001	56	31.696	33.348	1.0521	2.63	0.2407	0.1393	0.4587	1.3928	0.0000
work-pr51r7-on50	54341	18003	38	22.038	22.288	1.0113	50.74	0.0278	0.1650	0.0790	0.1833	0.0000
work-pr51r7-on50	54341	18008	15	8.157	8.667	1.0626	6.93	0.3077	0.1741	0.1623	0.3410	0.1333
work-pr51r7-on50	54341	34017	33	18.030	19.348	1.0731	21.85	0.1613	0.6202	0.1216	0.4887	0.0909
work-pr51r7-on50	54341	34018	15	7.375	8.164	1.1070	2.24	0.2308	0.3802	0.2272	0.7063	0.0000
work-pr51r7-on50	54341	96032	25	13.394	14.624	1.0918	19.94	0.3913	0.2598	0.1628	0.3912	0.0000
work-pr51r7-on50	54341	101042	14	7.419	7.657	1.0320	25.35	0.2500	0.0780	0.0678	0.1537	0.0000
work-pr51r7-on50	54341	101043	35	18.350	20.384	1.1108	50.94	0.1818	0.7228	0.6732	1.9018	0.0000
work-pr51r7-on50	54341	107051	21	11.120	12.308	1.1068	29.72	0.1579	0.2688	0.4003	1.0912	0.0000
work-pr51r7-on50	54351	17005	14	5.210	7.622	1.4630	28.38	0.4167	0.4346	0.6429	1.8164	0.2143
work-pr51r7-on50	54351	17009	82	48.197	48.910	1.0148	51.81	0.0375	0.2495	0.3961	1.0695	0.0000
work-pr51r7-on50	54351	17012	71	39.840	42.225	1.0599	5.61	0.2464	0.7633	0.3238	1.1425	0.0000
work-pr51r7-on50	54351	17013	25	13.693	14.322	1.0460	7.63	0.1739	0.1677	0.2494	0.9505	0.0000
work-pr51r7-on50	54351	59018	17	9.081	9.447	1.0404	0.59	0.2000	0.1545	0.1364	0.4683	0.0000
work-pr51r7-on50	55539	18002	331	191.425	197.741	1.0330	49.03	0.0334	5.6925	1.0119	2.9113	0.0151
work-pr51r7-on50	55539	18003	26	12.298	15.021	1.2215	66.13	0.3333	0.5962	0.8563	2.1463	0.0769
work-pr51r7-on50	55539	23005	182	107.219	108.894	1.0156	35.05	0.0500	0.3676	0.7108	2.6356	0.0000
work-pr51r7-on50	55539	39006	107	62.399	63.555	1.0185	35.85	0.0381	0.3620	0.6203	1.2797	0.0000
work-pr51r7-on50	55595	8010	344	184.321	205.947	1.1173	5.72	0.3509	0.9232	1.5216	3.2061	0.0145
work-pr51r7-on50	55595	8012	24	13.740	14.046	1.0222	20.41	0.0455	0.0807	0.1176	0.3964	0.0000
work-pr51r7-on50	55627	22001	313	183.493	187.020	1.0192	41.24	0.0514	0.4862	0.3486	1.2949	0.0000
work-pr51r7-on50	55627	22002	23	13.457	13.522	1.0048	60.46	0.0000	0.0593	0.0490	0.1156	0.0000
work-pr51r7-on50	55715	15001	29	16.469	17.097	1.0381	14.65	0.2222	0.0645	0.2756	0.7228	0.0000
work-pr51r7-on50	55715	15003	11	5.929	5.969	1.0068	48.50	0.0000	0.0231	0.0728	0.2199	0.0000
work-pr51r7-on50	55715	15010	25	14.402	14.729	1.0227	39.07	0.2174	0.1273	0.0870	0.2407	0.0000
work-pr51r7-on50	55715	15011	27	15.267	15.556	1.0189	44.25	0.1200	0.0951	0.0519	0.1327	0.0000
work-pr51r7-on50	55715	21016	12	5.947	6.472	1.0882	52.99	0.3000	0.2055	0.2285	0.5428	0.0000
work-pr51r7-on50	55715	21017	15	7.450	8.186	1.0988	22.41	0.3846	0.1162	0.2731	0.9129	0.0000
work-pr51r7-on50	56211	11001	27	15.189	15.384	1.0129	12.05	0.0400	0.0507	0.1182	0.3135	0.0000
work-pr51r7-on50	56211	11002	11	6.222	6.329	1.0171	11.37	0.1111	0.0235	0.1009	0.2131	0.0000
work-pr51r7-on50	56243	9001	55	28.898	32.164	1.1130	10.19	0.2264	0.4541	0.9835	3.4743	0.0545
work-pr51r7-on50	56243	9002	122	71.817	72.612	1.0111	66.19	0.0250	0.5857	0.3812	1.1252	0.0000
work-pr51r7-on50	56243	69032	18	9.504	9.981	1.0502	40.26	0.0625	0.3232	0.1843	0.6098	0.0000
work-pr51r7-on50	56243	69033	11	5.847	6.152	1.0523	77.05	0.0000	0.2883	0.0852	0.2389	0.0000
work-pr51r7-on50	56243	70038	16	8.072	8.953	1.1092	34.56	0.3571	0.1839	0.2169	0.5082	0.0000
work-pr51r7-on50	56243	71045	35	18.322	20.675	1.1284	49.07	0.2121	0.3982	0.7762	2.1366	0.0000
work-pr51r7-on50	56463	14002	100	56.442	59.466	1.0536	22.57	0.1735	0.6822	0.2096	1.0454	0.0000
work-pr51r7-on50	56463	14003	66	35.891	39.009	1.0869	1.23	0.2500	0.0717	0.6884	1.6500	0.0000
work-pr51r7-on50	56463	14004	408	238.471	246.246	1.0326	43.92	0.0468	3.1724	1.7375	5.3101	0.0147
work-pr51r7-on50	56463	14005	279	161.491	167.039	1.0344	32.69	0.0650	0.4493	0.4518	1.6549	0.0108
work-pr51r7-on50	57441	20000	171	100.366	101.887	1.0152	40.85	0.0592	0.3011	0.2191	0.8946	0.0000
work-pr51r7-on50	57485	16003	10	5.111	5.571	1.0900	55.03	0.1250	0.1787	0.2898	0.8202	0.0000
work-pr51r7-on50	57485	16005	69	39.602	40.904	1.0329	14.96	0.1791	0.2616	0.3558	1.4035	0.0000
work-pr51r7-on50	57485	16006	79	45.501	46.661	1.0255	49.67	0.0519	0.8800	0.4134	0.9799	0.0000
work-pr51r7-on50	57575	12002	358	205.419	215.719	1.0501	15.48	0.1545	0.9916	0.9219	4.4660	0.0000
work-pr51r7-on50	57575	12005	140	79.056	83.464	1.0558	16.90	0.1739	0.1129	0.9820	3.3032	0.0000
work-pr51r7-on50	57661	18027	22	12.667	12.898	1.0182	25.12	0.1000	0.0707	0.0830	0.1747	0.0000
work-pr51r7-on50	57661	18028	187	109.458	111.654	1.0201	38.10	0.0432	1.4696	0.4951	1.7637	0.0000
work-pr51r7-on50	57661	23015	14	7.766	7.903	1.0177	0.65	0.0833	0.0823	0.0223	0.0476	0.5000
work-pr51r7-on50	57661	25017	33	17.432	19.425	1.1143	1.17	0.3226	0.2760	0.3970	0.8555	0.1212
work-pr51r7-on50	57661	25018	21	9.483	12.181	1.2845	24.94	0.4211	0.5936	0.4137	0.9099	0.7619
