label	conv	which	gate	n	median	median_lo	median_hi	peak	peak_lo	peak_hi	sigma	n_in	fudge	fudge_lo	fudge_hi	ci_excludes_135
ncpi0 + min(E)>15, vertex chord	vtx	now	ncpi0	19	137.71562840280959	132.75811026491846	146.45053877227502	139.83689291474644	134.972009896293	143.9813856313428	16.134302484060832	15	0.8288055008845755	0.7999716093212641	0.8533696791231844	0
ncpi0 + min(E)>15, shower axis	axis	now	ncpi0	21	142.62121242498984	138.09841008133193	147.9300576732301	148.04501696099754	140.06142309457059	165.81498932790575	27.29178163069405	17	0.877454596410628	0.8301362787949965	0.9827762360814941	1
all origins, vertex chord	vtx	now	all	45	137.30509700917625	132.75811026491846	141.93717724610497	140.56299913792668	136.3246530753663	144.3044944358957	19.78196635484402	34	0.8331090921576253	0.8079886503480084	0.8552847270695154	1
all origins, shower axis	axis	now	all	49	142.62121242498984	138.09841008133193	148.1986166293415	147.8887926269596	142.14489026546744	154.5434194983017	27.03197295264588	40	0.876528663455999	0.8424848730476197	0.9159702674729387	1
ncpi0, scan-time + marks, vtx	vtx	scanhand	ncpi0	19	139.23263424509608	133.8210096912716	148.10533784720272	140.77186429410222	136.53992828202803	144.5057285565649	14.989609472081879	16	0.8343470243425669	0.8092645745463104	0.8564774305306684	1
ncpi0, scan-time as reco, vtx	vtx	scanreco	ncpi0	19	138.08985754498488	132.75811026491846	146.45053877227502	137.92403298226702	132.24778108606705	142.5107738893754	17.656458162217046	16	0.8174680862623326	0.7838252564059428	0.8446534449735089	0
