cell	n	n_in	peak	ci68	fudge	fudge_ci	peak_at_084
base-pooled(pr126-4h)	45	34	140.6	[136.3,144.3]	0.833	[0.808,0.855]	133.9
overlay(pi0scan)	12	6	144.3	[126.8,185.0]	0.855	[0.751,1.096]	137.4
union	57	40	140.8	[136.6,144.6]	0.835	[0.810,0.857]	134.1
