# doc pr/141 sec 16 -- mu-typed PID set, arm work-pr140r2-off-*
# predictor pre-registered: cm_per_seg < 40 => EM.  n=6 basis, sec 16.2
sample	event	obj	kine_charge	kine_range	nseg	length	cm_per_seg	conn	predicted	run	subrun	already_typed	dump
mcp1k	283713	17007	874.1	1139.3	4	503.0	125.8	1	TRACK	18255	1		work-pr140r2-off-mcp1k/pr_evt283713/calib-pr-evt283713.json
mcp2k	99838	14004	795.3	1046.5	6	473.3	78.9	1	TRACK	18255	1		work-pr140r2-off-mcp2k/pr_evt99838/calib-pr-evt99838.json
mcp2k	499577	13031	554.5	746.9	6	341.5	56.9	1	TRACK	18255	1		work-pr140r2-off-mcp2k/pr_evt499577/calib-pr-evt499577.json
mcp2k	77328	16017	529.2	746.4	3	331.3	110.4	1	TRACK	18255	1		work-pr140r2-off-mcp2k/pr_evt77328/calib-pr-evt77328.json
mcp1k	292027	12005	467.1	667.0	3	294.4	98.1	1	TRACK	18255	1		work-pr140r2-off-mcp1k/pr_evt292027/calib-pr-evt292027.json
mcp2k	318703	17023	455.2	635.7	3	279.0	93.0	1	TRACK	18255	1		work-pr140r2-off-mcp2k/pr_evt318703/calib-pr-evt318703.json
mcp1k	321767	15006	392.4	608.4	3	263.7	87.9	1	TRACK	18255	1		work-pr140r2-off-mcp1k/pr_evt321767/calib-pr-evt321767.json
mcp2k	318769	65037	353.4	134.1	5	78.0	15.6	4	EM	18255	1		work-pr140r2-off-mcp2k/pr_evt318769/calib-pr-evt318769.json
mcp2k	294174	16028	327.2	3.8	9	159.4	17.7	1	EM	18255	1		work-pr140r2-off-mcp2k/pr_evt294174/calib-pr-evt294174.json
mcp2k	292524	9018	318.8	436.4	14	202.5	14.5	1	EM	18255	1		work-pr140r2-off-mcp2k/pr_evt292524/calib-pr-evt292524.json
mcp2k	55740	17000	317.6	418.6	2	178.0	89.0	3	TRACK	18255	1		work-pr140r2-off-mcp2k/pr_evt55740/calib-pr-evt55740.json
mcp2k	392901	15011	307.9	474.0	4	216.1	54.0	1	TRACK	18255	1		work-pr140r2-off-mcp2k/pr_evt392901/calib-pr-evt392901.json
mcp1k	292005	18005	275.4	394.9	3	171.9	57.3	1	TRACK	18255	1		work-pr140r2-off-mcp1k/pr_evt292005/calib-pr-evt292005.json
