    all            |dpos| cm: n=252 med=0.0209 p90=0.273 max=0.466 [median signed dx=+0.000 dy=+0.000 dz=+0.000] ; dq/q at |dpos|<0.1: n=154 med=0 p90=0.0281 max=0.203 (signed med +0) ; unmatched 6
    near-junction  |dpos| cm: n=36 med=0.269 p90=0.335 max=0.466 [median signed dx=-0.065 dy=-0.010 dz=-0.047] ; dq/q at |dpos|<0.1: n=6 med=0.0131 p90=0.0222 max=0.0304 (signed med +0.0124) ; unmatched 3
    all            |dpos| cm: n=186 med=0.133 p90=0.354 max=0.485 [median signed dx=-0.011 dy=+0.005 dz=+0.004] ; dq/q at |dpos|<0.1: n=69 med=0.0768 p90=0.205 max=0.866 (signed med -0.0555) ; unmatched 22
    near-junction  |dpos| cm: n=15 med=0.185 p90=0.257 max=0.257 [median signed dx=-0.011 dy=+0.003 dz=+0.120] ; dq/q at |dpos|<0.1: n=6 med=0.0452 p90=0.117 max=0.156 (signed med -0.0262) ; unmatched 1
    all            |dpos| cm: n=67 med=0.03 p90=0.38 max=0.497 [median signed dx=+0.000 dy=+0.000 dz=+0.000] ; dq/q at |dpos|<0.1: n=41 med=0.000375 p90=0.0358 max=0.227 (signed med +0) ; unmatched 0
    near-junction  |dpos| cm: n=21 med=0.306 p90=0.467 max=0.497 [median signed dx=-0.005 dy=-0.051 dz=+0.087] ; dq/q at |dpos|<0.1: n=3 med=0.00874 p90=0.139 max=0.172 (signed med -0.00874) ; unmatched 0
    all            |dpos| cm: n=80 med=0 p90=0.333 max=0.427 [median signed dx=+0.000 dy=+0.000 dz=+0.000] ; dq/q at |dpos|<0.1: n=59 med=0 p90=0.0166 max=0.244 (signed med +0) ; unmatched 5
    near-junction  |dpos| cm: n=18 med=0.254 p90=0.343 max=0.425 [median signed dx=+0.085 dy=+0.058 dz=+0.035] ; dq/q at |dpos|<0.1: n=2 med=0.18 p90=0.231 max=0.244 (signed med +0.18) ; unmatched 5
    all            |dpos| cm: n=66 med=0.264 p90=0.349 max=0.408 [median signed dx=+0.000 dy=+0.018 dz=-0.081] ; dq/q at |dpos|<0.1: n=9 med=0.158 p90=1.74 max=1.74 (signed med +0.0744) ; unmatched 1
    near-junction  |dpos| cm: n=21 med=0.187 p90=0.292 max=0.393 [median signed dx=+0.006 dy=-0.004 dz=-0.122] ; dq/q at |dpos|<0.1: n=3 med=1.74 p90=1.74 max=1.74 (signed med +1.74) ; unmatched 0
