# doc pr/141 sec 22 -- owner mu-typed PID verdicts vs the pre-registered predictor
event	obj	predicted	owner	weak	agree	kine_charge	dE_if_EM	nseg	length	cm_per_seg	kine_range	conn
283713	17007	TRACK	TRACK	0	1	874.1	574.3	4	503.0	125.8	1139.3	1
99838	14004	TRACK	TRACK	0	1	795.3	522.5	6	473.3	78.9	1046.5	1
499577	13031	TRACK	TRACK	0	1	554.5	364.3	6	341.5	56.9	746.9	1
77328	16017	TRACK	TRACK	0	1	529.2	347.7	3	331.3	110.4	746.4	1
318769	65037	EM	EM	0	1	353.4	232.2	5	78.0	15.6	134.1	4
294174	16028	EM	EM	1	1	327.2	215.0	9	159.4	17.7	3.8	1
292524	9018	EM	TRACK	0	0	318.8	209.5	14	202.5	14.5	436.4	1
397401	16012	EM	TRACK	0	0	275.1	180.7	5	159.7	31.9	334.1	1
281165	16006	EM	TRACK	0	0	236.0	155.1	4	129.9	32.5	301.7	1
286681	72040	EM	EM	0	1	205.9	135.3	11	109.2	9.9	123.3	2
392901	127030	EM	TRACK	0	0	160.3	105.3	6	82.3	13.7	190.3	2
259542	81053	EM	TRACK	1	0	138.6	91.1	7	41.0	5.9	51.8	4
396323	10009	EM	TRACK	0	0	130.4	85.7	2	54.7	27.4	154.5	1
282979	41018	EM	EM	0	1	122.4	80.4	10	27.9	2.8	19.7	4
176502	20005	EM	TRACK	1	0	85.1	55.9	3	19.5	6.5	73.5	4
348691	51080	EM	EM	0	1	79.8	52.4	2	31.9	16.0	103.5	2
235435	2024	EM	EM	0	1	79.3	52.1	3	8.7	2.9	38.1	1
170098	70030	EM	EM	0	1	51.0	33.5	9	16.9	1.9	54.4	2
