sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
mcp1k	18255	1	347129	0	6.922	3.633	13	1529408	0	nu-candidate	9	1	1	1	0	1.766	42.5	10	-196.27472	-101.12966	184.30164	-0.87053007	-15.0	1.0	0.0	0.7	0.0	784.3058
mcp1k	18255	1	347371	0	5.868	3.183	13	1530100	0	cosmic-tagged	12	1	1	1	1	1.786	5.3	15	-185.3604	-30.419584	164.10074	-2.3989363	-15.0	1.0	1.0	0.7	0.0	245.48242
mcp1k	18255	1	347833	0	4.999	1.473	11	1192920	0	no-beam-flash	15	0	0	0	0													
mcp1k	18255	1	348075	0	5.835	1.954	12	1192892	0	cosmic-tagged	12	1	1	0	1													
mcp1k	18255	1	348471	0	4.410	4.949	11	1528984	0	nu-candidate	11	1	1	1	0	0.833	130.5	14	-159.37456	41.37534	156.21603	3.392693	-2.8526456	1.0	0.0	0.7	0.0	1181.4131
mcp1k	18255	1	348515	0	3.982	3.072	10	1524368	0	nu-candidate	11	1	1	1	0	1.443	55.6	7	-27.178558	-73.12131	285.83124	-0.4135944	-15.0	1.0	0.0	0.7	0.0	565.9557
mcp1k	18255	1	348691	0	12.795	10.690	19	1523824	0	nu-candidate	9	1	1	1	0	1.631	382.9	19	14.065816	-132.87375	180.40834	4.301008	-4.300936	1.0	0.0	0.7	0.0	1310.4113
mcp1k	18255	1	348713	0	3.356	3.434	10	1529644	0	nu-candidate	10	1	1	1	0	1.230	116.6	8	132.39856	134.01294	103.651215	2.6416473	-15.0	1.0	0.0	0.7	0.0	560.02344
mcp1k	18255	1	348845	0	2.303	2.821	9	1530568	0	nu-candidate	10	1	1	1	0	0.692	73.8	1	164.5844	70.34687	435.79144	1.5134693	-15.0	1.0	0.0	0.7	0.0	641.80914
mcp1k	18255	1	348889	0	3.621	2.449	10	1192520	0	no-bundle	14	0	1	0	0													
mcp1k	18255	1	349087	0	4.220	2.960	11	1530004	0	nu-candidate	17	1	1	1	0	0.854	34.8	2	-67.15872	-34.5858	263.21384	-2.3932414	-15.0	1.0	0.0	0.7	0.0	246.93979
mcp1k	18255	1	349241	0	4.184	3.101	11	1529156	0	nu-candidate	11	1	1	1	0	2.003	51.4	18	-116.756584	-131.41597	4.247259	1.1985855	-4.300936	1.0	0.0	0.7	0.0	367.2173
mcp1k	18255	1	349373	0	4.028	0.871	10	1192480	0	nu-candidate	12	1	1	0	1													
